# peak_timing_summary avg_return_to_form_index=, median_return_to_form_index=
# peak_timing_status_counts no_baseline:348
# peak_timing_early_peakers 
# peak_timing_late_peakers 
dg_id,player_name,seasons,avg_slope,avg_r,avg_return_to_form,return_to_form_count,trend
15473,"Long, Adam",1,0.141957,0.190246,,0,fast_starter
24481,"Redman, Doc",1,0.179471,0.475666,,0,fast_starter
18634,"McNealy, Maverick",1,-0.425557,-0.267683,,0,slow_starter
7900,"Haas, Bill",1,0.275529,0.435334,,0,fast_starter
7489,"Moore, Ryan",1,-0.051643,-0.057853,,0,slow_starter
12669,"Lahiri, Anirban",1,-0.459007,-0.695471,,0,slow_starter
7097,"Wilkinson, Tim",1,0.288236,0.621302,,0,fast_starter
12359,"Stallings, Scott",1,-0.269779,-0.549022,,0,slow_starter
25908,"Whaley, Vincent",1,0.718207,0.548525,,0,fast_starter
6762,"Perez, Pat",1,-0.075150,-0.197716,,0,slow_starter
7961,"Reavie, Chez",1,0.106607,0.170424,,0,fast_starter
15475,"Pan, C.T.",1,-0.123971,-0.234097,,0,slow_starter
18417,"Scheffler, Scottie",1,0.454736,0.741395,,0,fast_starter
6892,"Howell III, Charles",1,0.082136,0.064368,,0,fast_starter
13367,"Merritt, Troy",1,0.108179,0.162824,,0,fast_starter
15330,"Griffin, Lanto",1,0.170457,0.411951,,0,fast_starter
4163,"Donald, Luke",1,-0.196257,-0.454099,,0,slow_starter
11826,"Lee, Danny",1,0.045014,0.213392,,0,fast_starter
5951,"Gay, Brian",1,0.098364,0.129832,,0,fast_starter
13026,"Zhang, Xinjun",1,-0.489829,-0.665104,,0,slow_starter
24766,"Kim, Joohyung",1,-0.004750,-0.003879,,0,slow_starter
8571,"Gomez, Fabian",1,0.640771,0.647492,,0,fast_starter
7301,"Dufner, Jason",1,0.156329,0.261978,,0,fast_starter
26096,"Bhatia, Akshay",1,-0.204571,-0.759502,,0,slow_starter
16243,"Koepka, Brooks",1,0.344707,0.287206,,0,fast_starter
14509,"Dahmen, Joel",1,-0.353586,-0.501772,,0,slow_starter
6252,"Baddeley, Aaron",1,0.209979,0.352288,,0,fast_starter
7602,"Stadler, Kevin",1,-0.084400,-0.121164,,0,slow_starter
19948,"Taylor, Ben",1,-0.103529,-0.153246,,0,slow_starter
14578,"Henley, Russell",1,0.000421,0.000573,,0,fast_starter
