
Tournament: Sony Open,Last updated: 
Course: Waialae Country Club,Found 120 players from cache
Data Date: 2026-03-03T03:53:13.175Z
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS,Scoring Average,Birdies or Better,Scrambling,Great Shots,Poor Shot Avoidance
"↓ Short Game | 📉 SG Around Green: trend reversing (0.455) | 📉 SG Approach: trend reversing (0.287) | ✅ Success aligned with model","14578","Henley, Russell",7,"T19",-8,1.2177499999999999,0.488,289.54999999999995,276.318,0.5535,0.7187,0.75675,0.149,1.2850000000000001,0.189,0.0040000000000000036,-0.061,-0.53225,0.021,0.461,0.293,0.7222500000000001,0.6604000000000001,30.836,30.666,63.581500000000005,40.411,0,68,4.75,0.79175,4.25,3.75
"↓ Overall | 📉 SG Total: trend reversing (1.175) | 📈 SG OTT: trend continuing (0.534) | 📈 SG Putting: trend continuing (0.522) | ❌ Underperformed model prediction","14636","Spieth, Jordan",12,"T24",-7,0.96775,0.765,295.75,293.797,0.518,0.5323,0.6419999999999999,-0.309,0.10024999999999998,-0.075,0.3335,0.097,0.20825,-0.331,0.32574999999999993,1.02,0.6944999999999999,0.6584,29.936,33.222,51.201249999999995,44.317,0,68.25,4.25,0.5980000000000001,2.25,1.75
"↓ Putting | 📉 SG Putting: trend reversing (28.265) | 📈 SG OTT: trend continuing (0.361) | 📉 SG Around Green: trend reversing (0.341) | ↑ Above average performer | ❌ Underperformed model prediction","18634","McNealy, Maverick",1,"T24",-7,0.96775,-0.088,298.9,291.514,0.57125,0.657,0.623,0.545,0.48050000000000004,-0.112,0.04325000000000001,0.177,0.09925,0.48,0.34475000000000006,-0.582,0.72225,0.6698999999999999,26.589000000000002,33.55,69.1355,41.887,0,68.25,4.5,0.66075,3.25,2.5
"↑ Finished better than predicted | ↓ Approach | 📉 SG Approach: trend reversing (9.352) | 📉 SG Around Green: trend reversing (7.500) | 📈 SG T2G: trend continuing (0.689)","14502","Cauley, Bud",63,"T24",-7,0.9677499999999999,-1.47,295.475,283.021,0.5715,0.6611,0.7949999999999999,-0.653,0.413,-0.204,0.21724999999999994,-0.12,0.16475,-0.328,0.17275,-0.659,0.75,0.6703,31.506999999999998,29.613,58.7925,51.75,0,68.25,4.5,0.7224999999999999,2.75,2.25
"↑ Finished better than predicted | ↑ Overall | 📈 SG Total: trend continuing (0.822) | 📈 SG Approach: trend continuing (0.254) | 📈 SG Around Green: trend reversing (0.180)","20954","Hirata, Kensei",90,"T24",-7,0.96775,-1.266,292.17499999999995,286.82,0.8035,0.6883,1.0534999999999999,-0.767,0.8280000000000001,-1.032,-0.38975000000000004,-0.136,0.6152500000000001,0.4,-0.08574999999999999,-0.493,0.8055000000000001,0.6559999999999999,27.995,35.414,69.037,62.508,0,68.25,3.5,0.6145,3.25,2.25
"↓ Approach | 📉 SG Approach: trend reversing (2.541) | 📈 SG T2G: trend continuing (0.506) | 📈 SG OTT: trend continuing (0.303)","17576","Conners, Corey",36,"T24",-7,0.96775,-0.592,290.95,286.74,0.6962499999999999,0.7061,1.772,-0.146,1.921,-0.383,-0.393,-0.089,0.24400000000000002,0.327,-0.8042499999999999,-0.321,0.77775,0.6884999999999999,21.52025,31.494,41.659,43.362,0,68.25,4.25,0.6000000000000001,3.75,3.5
"↑ Finished better than predicted | ↑ Overall | 📈 SG Total: trend continuing (61.327) | 📉 SG Approach: trend continuing (0.641) | 📉 SG T2G: trend reversing (0.431)","22002","Dumont de Chassart, Adrien",87,"T24",-7,0.96775,0.173,301.67499999999995,292.184,0.5535,0.5272,1.7674999999999998,0.369,-0.02774999999999997,0.314,1.0635,0.094,0.7317500000000001,-0.039,-0.7997500000000001,-0.5,0.7082499999999999,0.6801999999999999,26.3675,30.668,63.405,47.343,0,68.25,4,0.7295,3.25,2.25
"↑ Overall | 📈 SG T2G: trend reversing (0.983) | 📈 SG Total: trend continuing (0.491)","13470","Kizzire, Patton",27,"T24",-7,0.96775,0.329,289.3,285.58,0.5,0.5338,-0.59725,0.294,-0.023249999999999937,0.69,0.248,0.504,-0.8220000000000001,-0.9,1.5650000000000002,0.283,0.5555,0.7015,33.64375,30.467,41.832,46.387,0,68.25,3.75,0.73575,2.5,2.25
"↓ Putting | 📉 SG Putting: trend continuing (1.330) | 📉 SG Around Green: trend continuing (0.205) | ❌ Underperformed model prediction","25569","Stevens, Sam",16,"T31",-6,0.7177499999999999,1.187,300.6,293.966,0.5892499999999999,0.6138,0.785,0.911,0.981,0.347,-0.25625000000000003,0.064,0.060250000000000026,0.5,-0.06724999999999992,0.314,0.75,0.7473000000000001,27.251,28.457,56.733000000000004,41.096,0,68.5,4.75,0.5625,3.25,4.5
"↑ Finished better than predicted | ↑ Putting | 📈 SG Putting: trend continuing (2.191) | 📉 SG Approach: trend reversing (2.699) | 📈 SG Around Green: trend continuing (1.307)","17543","Kim, Michael",106,"T31",-6,0.7177499999999999,-1.803,289.27500000000003,288.029,0.5,0.5752,-0.9385000000000001,-1.043,0.482,-0.277,0.04124999999999995,-0.451,-1.4617499999999999,-0.315,1.65625,-0.697,0.6527499999999999,0.6481999999999999,31.82625,32.316,37.865,49.397,0,68.5,4.25,0.6910000000000001,5,3.5
"↑ Finished better than predicted | ↓ Short Game | 📉 SG Around Green: trend continuing (8.041) | 📈 SG OTT: trend continuing (3.104) | 📉 SG Total: trend reversing (2.510)","25002","Wu, Dylan",85,"T31",-6,0.71775,-1.093,291.225,285.035,0.607,0.5236,-0.036500000000000005,-0.472,0.53,-0.061,-0.7282500000000001,-0.093,0.16175,-0.318,0.75425,-0.842,0.7915000000000001,0.6681999999999999,28.791999999999994,31.546,86.38575,49.581,0,68.5,4.5,0.53125,3.25,3.5
"↑ Overall | 📈 SG T2G: trend continuing (23.028) | 📉 SG Around Green: trend continuing (0.311) | 📈 SG OTT: trend reversing (0.490)","10104","Power, Seamus",33,"T31",-6,0.71775,0.441,291.375,283.726,0.6427499999999999,0.5614,0.384,-0.343,1.0875,-0.388,-0.46674999999999994,0.219,-0.23675000000000002,-0.174,0.3337500000000001,0.835,0.7637499999999999,0.6912999999999999,28.126499999999997,31.358,74.37,49.722,0,68.5,4.5,0.514,4.5,3.5
"↑ Overall | 📈 SG Total: trend continuing (3.085) | 📈 SG Around Green: trend continuing (1.214) | 📈 SG Putting: trend continuing (0.298)","19729","Kanaya, Takumi",21,"T31",-6,0.71775,0.193,293.8,286.45,0.589,0.6978,0.08025000000000003,-0.085,-0.16074999999999998,-1.024,0.16599999999999998,0.426,0.07500000000000001,0.512,0.6375,0.405,0.6804999999999999,0.6354,35.90775,35.093,65.36875,62.475,0,68.5,3,0.6285000000000001,3.5,3.25
"↑ Finished better than predicted | ↑ Approach | 📈 SG Approach: trend continuing (0.354) | 📉 SG Around Green: trend reversing (0.470) | 📈 SG Putting: trend reversing (0.366)","11451","Garnett, Brice",66,"T31",-6,0.7177500000000001,-0.816,283.92499999999995,281.977,0.67825,0.6434000000000001,0.8240000000000001,-1.087,0.9355000000000001,-0.783,0.38925000000000004,0.045,-0.50075,-0.349,-0.10624999999999998,0.517,0.7222500000000001,0.6870999999999999,27.553499999999996,32.27,77.52850000000001,49.674,0,68.5,3.75,0.6955,3.5,4.25
"↑ Finished better than predicted | ↑ Driving | 📈 Driving Accuracy: trend continuing (0.060)","25739","Yonezawa, Ren",81,"T31",-6,0.71775,1.031,288.2,280.378,0.607,0.772,1.58925,0.286,0.74325,0.581,0.687,0.199,0.159,-0.494,-0.8714999999999999,0.818,0.8055000000000001,0.7397,28.393,24.976,65.495,49.326,0,68.5,3,0.70825,2.5,1.75
"↓ Approach | 📉 SG Approach: trend continuing (2.539) | 📈 SG OTT: trend continuing (0.416) | 📈 SG T2G: trend reversing (0.750) | ❌ Underperformed model prediction","27819","Castillo, Ricky",11,"T31",-6,0.71775,1.946,300,292.819,0.6605,0.5848,-0.2925,1.212,-0.79925,0.447,-0.39449999999999996,0.379,0.90125,0.386,1.01025,0.627,0.68075,0.7195,32.6905,33.118,72.4045,42.55,0,68.5,4.5,0.6104999999999999,4.25,3
"↑ Finished better than predicted | ↓ Short Game | 📉 SG Around Green: trend reversing (0.946) | 📉 SG OTT: trend continuing (0.348)","23014","Theegala, Sahith",64,"T31",-6,0.71775,-0.017,291.82500000000005,287.785,0.5712499999999999,0.5689,0.14475000000000005,-0.296,-0.19525000000000003,0.165,1.106,-0.32,-0.766,-0.141,0.573,0.004,0.66675,0.6873999999999999,29.05525,27.44,57.122249999999994,41.994,0,68.5,5,0.7562500000000001,4.25,4.25
"↑ Finished better than predicted | ↑ Overall | 📈 SG Total: trend continuing (9.165) | 📈 SG Around Green: trend continuing (0.301) | 📉 SG Approach: trend reversing (0.252)","13997","Svensson, Adam",100,"T40",-5,0.4677499999999999,-0.447,289.57500000000005,282.64,0.6604999999999999,0.5856,1.21875,-0.454,0.3232499999999999,0.345,0.5315000000000001,-0.218,0.364,-0.581,-0.7509999999999999,-0.78,0.6387499999999999,0.6857,28.051250000000003,27.35,74.39224999999999,49.851,0,68.75,3.75,0.625,4.5,4
"↑ Putting | 📈 SG Putting: trend continuing (1.120) | 📈 SG Approach: trend continuing (0.318) | 📉 SG OTT: trend continuing (0.187) | ❌ Underperformed model prediction","28159","Meissner, Mac",19,"T40",-5,0.46774999999999994,1.02,291.875,294.628,0.607,0.5499,0.17725000000000002,1.224,0.49950000000000006,0.804,-0.28725,0.218,-0.035,0.202,0.2904999999999999,-0.256,0.7637499999999999,0.738,27.016000000000002,27.733,48.938250000000004,47.703,0,68.75,4.75,0.5535,3.5,3.75
"↑ Finished better than predicted | ↑ Approach | 📈 SG Approach: trend continuing (0.827) | 📉 SG Around Green: trend reversing (0.559) | 📉 SG Putting: trend reversing (0.335) | ↓ Below average performer","653","Singh, Vijay",105,"T40",-5,0.46775,-2.129,282.9,287.197,0.5535,0.6949,0.12225000000000001,-1.407,0.248,-0.537,0.60975,0.029,-0.7355,-0.899,0.34550000000000003,-0.716,0.6945,0.5888,31.6725,38.551,39.455,60.086,0,68.75,3.75,0.6805,2.5,3
"↑ Overall | 📈 SG Total: trend continuing (0.654) | 📉 SG Around Green: trend continuing (0.424) | 📈 SG Approach: trend reversing (0.423)","19870","McCarthy, Denny",53,"T40",-5,0.46774999999999994,-0.648,297.25,279.653,0.5715,0.5896,-0.024749999999999966,-0.964,-0.218,-0.53,-0.36000000000000004,0.091,0.55325,-0.523,0.4925,0.271,0.7222500000000001,0.7023999999999999,29.535000000000004,32.414,59.108999999999995,51.296,0,68.75,4,0.5625,2,2
"↓ Finished worse than predicted | ↑ Putting | 📈 SG Putting: trend reversing (1.781) | 📈 SG Around Green: trend reversing (0.161) | ↑ Above average performer | ❌ Underperformed model prediction","21891","Kitayama, Kurt",2,"T40",-5,0.46775,1.761,302.775,298.577,0.6427499999999999,0.624,0.97075,1.261,0.39299999999999996,0.801,-0.020749999999999977,-0.213,0.5984999999999999,0.673,-0.5029999999999999,0.551,0.778,0.7212999999999999,30.731749999999998,26.089,34.403,38.5,0,68.75,3.5,0.666,2.75,2.75
"↓ Approach | 📉 SG Approach: trend continuing (0.307) | 📉 SG OTT: trend reversing (0.202) | ❌ Underperformed model prediction","17536","Spaun, J.J.",14,"T40",-5,0.46775,-0.163,293,288.26,0.6965,0.6468,1.1817499999999999,0.46,-0.06325,-0.064,1.10575,0.275,0.13924999999999998,0.248,-0.714,-0.745,0.6805,0.6288,30.29175,30.831,47.8875,60.147,0,68.75,4.5,0.587,3,2.25
"↑ Putting | 📈 SG Putting: trend continuing (0.426) | 📈 SG Around Green: trend continuing (0.388) | 📉 SG OTT: trend reversing (0.520)","18474","Smalley, Alex",34,"T40",-5,0.46775,0.094,295.275,287.743,0.5895,0.5408,0.10550000000000004,0.931,-0.24599999999999994,0.36,0.32974999999999993,0.594,0.02174999999999999,-0.024,0.36224999999999996,-0.821,0.66675,0.7365,32.086999999999996,26.621,37.6775,54.948,0,68.75,4.75,0.6355,3.25,4.5
"↓ Short Game | 📉 SG Around Green: trend reversing (0.471) | 📈 SG Approach: trend reversing (0.333)","25908","Whaley, Vince",62,"T40",-5,0.46775,-0.552,288.9,289.127,0.589,0.5296,-0.5145000000000001,-1.471,-0.5437500000000001,-1.017,0.04124999999999998,0.09,-0.01199999999999999,-0.544,0.9822499999999998,0.847,0.6807500000000001,0.6076,32.51825,36.599,66.899,53.335,0,68.75,3.5,0.68275,1.75,2.75
"↓ Putting | 📉 SG Putting: trend continuing (1.299) | 📉 SG Around Green: trend continuing (0.178) | ❌ Underperformed model prediction","6430","Scott, Adam",10,"T40",-5,0.46775,1.381,295.65,297.895,0.8037500000000001,0.5875,0.9209999999999999,0.781,0.483,0.441,-0.36775,-0.277,0.8057500000000001,0.617,-0.45324999999999993,0.55,0.72225,0.7055,27.48325,27.56,57.109249999999996,51.429,0,68.75,3,0.6355,3.5,4.5
"↑ Putting | 📈 SG Putting: trend continuing (3.971) | 📉 SG Total: trend reversing (0.754) | 📈 SG Approach: trend continuing (0.251)","15575","Hoge, Tom",54,"T40",-5,0.46775,-0.526,291.95000000000005,282.803,0.5535,0.591,0.20825,-0.193,0.17174999999999999,0.204,0.09899999999999998,-0.225,-0.06249999999999997,-0.172,0.25950000000000006,-0.342,0.653,0.6616,26.963,29.665,54.4645,39.54,0,68.75,4,0.63325,2.5,2.75
"↓ Driving | 📉 SG OTT: trend continuing (2.357) | 📉 SG Total: trend reversing (0.996) | 📈 SG Around Green: trend reversing (0.515)","18554","Rai, Aaron",42,"T50",-4,0.21775,0.41,286,279.41,0.6072500000000001,0.7098,0.10425000000000004,1.205,0.66825,0.633,-0.14425,0.193,-0.41975,0.379,0.11350000000000002,-0.776,0.75,0.7655,29.5785,29.901,42.062,53.099,0,69,3.25,0.6992499999999999,2,2.5
"↑ Putting | 📈 SG Putting: trend reversing (0.812)","31343","Ford, David",68,"T50",-4,0.21775,0.499,297.25,290.492,0.7142499999999999,0.6307,0.831,0.993,0.03949999999999998,1.295,-0.15100000000000002,-0.529,0.9425,0.227,-0.6132500000000001,-0.211,0.778,0.7,31.121250000000003,29.924,37.45325,46.557,0,69,3.25,0.5875,2.25,2.75
"↑ Finished better than predicted | ↑ Short Game | 📈 SG Around Green: trend continuing (0.885) | 📈 SG OTT: trend reversing (0.359) | ↓ Below average performer","28016","Gonzalez, Emilio",92,"T50",-4,0.2177499999999999,-2.015,290.3,291.564,0.607,0.5745,-0.8785000000000001,-2.347,-1.081,-1.686,0.77825,0.179,-0.57575,-0.84,1.09625,-0.218,0.66675,0.5711999999999999,39.54925,37.168,63.650000000000006,57.834,0,69,3.5,0.742,2.5,3.5
"↓ Putting | 📉 SG Putting: trend continuing (0.703)","17639","Blair, Zac",44,"T50",-4,0.21775,0.847,282.575,272.695,0.6247499999999999,0.7375,0.68875,1.002,1.263,1.032,0.20624999999999996,-0.419,-0.7805,0.39,-0.47100000000000003,0.165,0.7222500000000001,0.6990999999999999,31.136750000000003,26.604,49.96,41.051,0,69,3.5,0.74175,2,2.75
"↑ Overall | 📈 SG T2G: trend continuing (0.755) | 📉 SG Approach: trend reversing (1.265) | 📈 SG Total: trend continuing (0.512)","23504","Hoey, Rico",60,"T50",-4,0.21775,-1.22,295.575,293.922,0.5715,0.599,0.04999999999999995,-0.381,0.0605,-0.145,-0.35649999999999993,-0.485,0.346,0.249,0.16775000000000007,-1.052,0.6807500000000001,0.7062,29.1785,27.858,61.13074999999999,48.102,0,69,3.25,0.70075,3.75,3
