,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,23602,"Hojgaard, Nicolai",0.76,0.10,0.00,0.92,21.98,0.02,184.00,0.74,0.06,0.00,0.96,29.36,0.04,309.00,0.89,0.09,0.00,0.95,16.84,0.03,78.00,0.33,0.05,0.00,0.93,70.21,-0.02,120.00,0.58,0.06,0.00,0.97,39.85,0.09,142.00,0.62,0.07,0.00,0.97,37.48,0.04,96
,13508,"Vegas, Jhonattan",0.85,0.08,0.00,0.95,22.55,0.02,263.00,0.70,0.08,0.00,0.97,29.44,0.04,324.00,0.92,0.04,0.00,0.96,20.44,-0.08,74.00,0.34,0.03,0.00,0.99,63.46,0.01,123.00,0.54,0.10,0.00,0.96,45.13,0.06,163.00,0.56,0.06,0.00,0.94,39.76,0.02,123
,22085,"Morikawa, Collin",0.82,0.08,0.00,0.96,20.14,0.05,347.00,0.67,0.07,0.00,0.95,29.06,0.04,482.00,0.88,0.11,0.00,0.96,15.40,0.06,91.00,0.36,0.10,0.00,0.97,57.74,0.05,112.00,0.41,0.05,0.00,0.96,48.26,-0.02,252.00,0.64,0.10,0.00,0.90,40.62,-0.02,72
,24550,"Ghim, Doug",0.83,0.06,0.00,0.95,19.92,0.03,343.00,0.71,0.07,0.00,0.96,30.15,0.04,474.00,0.89,0.08,0.00,0.96,16.41,0.04,110.00,0.32,0.03,0.00,0.97,60.40,-0.01,117.00,0.50,0.07,0.00,0.97,46.00,0.02,232.00,0.65,0.08,0.00,0.98,35.11,0.05,132
,18554,"Rai, Aaron",0.86,0.07,0.00,0.96,21.29,0.03,333.00,0.72,0.05,0.00,0.97,29.86,0.04,540.00,0.82,0.09,0.00,0.95,17.62,0.00,92.00,0.35,0.10,0.00,0.97,65.77,0.04,112.00,0.49,0.06,0.00,0.97,47.31,0.03,318.00,0.60,0.06,0.00,0.94,41.10,-0.03,90
,10873,"Skinns, David",0.78,0.06,0.00,0.90,23.51,-0.02,282.00,0.69,0.06,0.00,0.97,29.60,0.04,384.00,0.84,0.10,0.00,0.96,16.51,0.03,88.00,0.39,0.05,0.00,0.98,62.42,0.02,159.00,0.52,0.05,0.00,0.97,47.26,0.03,183.00,0.58,0.08,0.00,0.92,39.46,0.00,170
,21891,"Kitayama, Kurt",0.83,0.06,0.00,0.94,21.05,0.01,271.00,0.70,0.06,0.00,0.94,28.94,0.03,405.00,0.89,0.14,0.00,0.92,14.95,0.09,74.00,0.37,0.04,0.00,0.97,58.80,0.04,129.00,0.46,0.07,0.00,0.96,43.60,0.04,190.00,0.58,0.07,0.00,0.99,34.37,0.05,134
,32330,"Clanton, Luke",0.83,0.07,0.00,0.95,22.26,0.01,164.00,0.68,0.10,0.00,0.96,31.02,0.03,183.00,0.78,0.09,0.00,0.96,16.91,-0.02,53.00,0.39,0.04,0.00,0.96,62.37,0.02,53.00,0.53,0.07,0.00,0.97,41.13,0.09,95.00,0.53,0.10,0.00,0.90,40.56,0.01,70
,8825,"Harman, Brian",0.85,0.06,0.00,0.96,21.82,0.02,344.00,0.70,0.07,0.00,0.96,28.62,0.03,538.00,0.89,0.10,0.00,0.94,17.84,0.01,143.00,0.39,0.05,0.00,0.97,70.07,0.01,134.00,0.52,0.04,0.00,0.96,45.68,0.02,278.00,0.60,0.05,0.00,0.94,39.12,0.00,118
,14502,"Cauley, Bud",0.75,0.07,0.00,0.96,23.01,-0.02,229.00,0.75,0.03,0.00,0.96,30.17,0.03,288.00,0.95,0.07,0.00,0.99,14.28,0.11,68.00,0.35,0.05,0.00,0.95,66.67,-0.03,101.00,0.40,0.05,0.00,0.97,50.29,-0.04,129.00,0.52,0.08,0.00,0.93,41.14,-0.01,107
,17550,"Van Rooyen, Erik",0.80,0.07,0.00,0.94,22.47,0.01,279.00,0.71,0.06,0.00,0.94,29.94,0.03,456.00,0.86,0.07,0.00,0.97,17.88,-0.02,117.00,0.35,0.07,0.00,0.95,53.30,0.02,150.00,0.51,0.04,0.00,0.97,46.47,0.02,226.00,0.55,0.03,0.00,0.90,42.90,-0.07,144
