,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,10873,"Skinns, David",0.77,0.06,0.00,0.89,23.72,-0.04,266.00,0.71,0.06,0.00,0.97,29.13,0.04,362.00,0.83,0.10,0.00,0.94,16.75,0.03,87.00,0.40,0.05,0.00,0.97,61.74,0.03,156.00,0.51,0.05,0.00,0.97,46.98,0.03,170.00,0.57,0.07,0.00,0.93,39.67,-0.01,168
,20730,"Perez, Victor",0.83,0.08,0.00,0.95,22.74,0.02,239.00,0.73,0.06,0.00,0.97,29.77,0.04,411.00,0.78,0.06,0.00,0.94,20.67,-0.09,63.00,0.39,0.04,0.00,0.97,58.49,0.03,125.00,0.46,0.04,0.00,0.94,50.79,-0.03,181.00,0.57,0.06,0.00,0.94,39.85,-0.01,141
,12294,"Fleetwood, Tommy",0.90,0.09,0.00,0.97,19.62,0.07,303.00,0.72,0.06,0.00,0.96,29.09,0.04,426.00,0.89,0.10,0.00,0.96,17.30,0.00,72.00,0.33,0.06,0.00,0.97,70.06,0.02,124.00,0.51,0.03,0.00,0.97,48.26,0.01,231.00,0.66,0.04,0.00,0.96,36.58,0.02,77
,24550,"Ghim, Doug",0.83,0.07,0.00,0.96,19.96,0.04,337.00,0.70,0.07,0.00,0.96,30.09,0.04,449.00,0.89,0.08,0.00,0.95,16.43,0.03,109.00,0.33,0.03,0.00,0.97,60.16,0.00,110.00,0.48,0.07,0.00,0.97,45.37,0.02,213.00,0.66,0.08,0.00,0.98,35.09,0.06,131
,7399,"Glover, Lucas",0.85,0.09,0.00,0.95,20.03,0.06,367.00,0.68,0.07,0.00,0.96,29.21,0.04,510.00,0.90,0.11,0.00,0.97,15.81,0.03,103.00,0.36,0.07,0.00,0.95,63.20,0.01,114.00,0.47,0.08,0.00,0.97,45.92,0.01,232.00,0.58,0.06,0.00,0.97,39.63,-0.01,100
,11460,"Manassero, Matteo",0.85,0.08,0.00,0.99,20.64,0.06,74.00,0.71,0.07,0.00,0.95,30.16,0.04,151.00,0.97,0.08,0.00,1.00,17.07,0.02,24.00,0.39,0.06,0.00,0.92,63.72,0.00,49.00,0.44,0.05,0.00,0.96,52.70,-0.02,74.00,0.58,0.13,0.00,0.90,37.06,0.05,38
,14502,"Cauley, Bud",0.75,0.07,0.00,0.95,23.40,-0.03,224.00,0.74,0.04,0.00,0.96,29.50,0.04,286.00,0.95,0.09,0.00,0.99,14.34,0.11,67.00,0.34,0.07,0.00,0.94,65.81,-0.02,103.00,0.41,0.06,0.00,0.96,48.59,-0.05,128.00,0.52,0.10,0.00,0.92,40.97,0.00,116
,21891,"Kitayama, Kurt",0.83,0.07,0.00,0.95,20.78,0.01,271.00,0.69,0.07,0.00,0.94,28.89,0.04,403.00,0.88,0.13,0.00,0.92,15.02,0.09,76.00,0.36,0.04,0.00,0.97,59.07,0.04,128.00,0.47,0.08,0.00,0.96,43.00,0.04,186.00,0.59,0.08,0.00,0.99,34.76,0.04,139
,13997,"Svensson, Adam",0.81,0.05,0.00,0.94,22.01,0.01,341.00,0.70,0.07,0.00,0.95,30.69,0.04,544.00,0.83,0.05,0.00,0.93,19.88,-0.03,101.00,0.39,0.06,0.00,0.99,55.56,0.03,163.00,0.49,0.06,0.00,0.96,46.37,0.02,264.00,0.58,0.07,0.00,0.94,36.58,0.01,148
,12577,"Woodland, Gary",0.76,0.08,0.00,0.89,24.86,-0.05,288.00,0.72,0.07,0.00,0.95,30.69,0.03,453.00,0.83,0.05,0.00,0.93,19.21,-0.03,93.00,0.38,0.06,0.00,0.95,56.46,0.03,175.00,0.50,0.08,0.00,0.93,45.58,0.05,213.00,0.62,0.06,0.00,0.95,36.72,0.03,173
