,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,dg_id,player_name,am,event_name,course_name,course,early_late,pga_number,current_round,start_hole,r1_teetime,r2_teetime,r3_teetime,r4_teetime,unofficial
,26657,"Fisk, Steven",0,Sony Open in Hawaii,,,1,57123,1,1,2026-01-15 8:05,2026-01-16 12:35,,,0
,31343,"Ford, David",0,Sony Open in Hawaii,,,1,65256,1,10,2026-01-15 8:16,2026-01-16 12:46,,,0
,11451,"Garnett, Brice",0,Sony Open in Hawaii,,,1,29535,1,1,2026-01-15 7:10,2026-01-16 11:40,,,0
,29767,"Gerard, Ryan",0,Sony Open in Hawaii,,,,59018,1,10,2026-01-15 12:24,2026-01-16 7:54,,,0
,24550,"Ghim, Doug",0,Sony Open in Hawaii,,,,52375,1,1,2026-01-15 12:02,2026-01-16 7:32,,,0
,28016,"Gonzalez, Emilio",0,Sony Open in Hawaii,,,,59567,1,10,2026-01-15 13:19,2026-01-16 8:49,,,0
,27774,"Gotterup, Chris",0,Sony Open in Hawaii,,,1,59095,1,10,2026-01-15 7:54,2026-01-16 12:24,,,0
,24968,"Griffin, Ben",0,Sony Open in Hawaii,,,1,54591,1,10,2026-01-15 7:54,2026-01-16 12:24,,,0
,12808,"Grillo, Emiliano",0,Sony Open in Hawaii,,,1,31646,1,1,2026-01-15 7:32,2026-01-16 12:02,,,0
,27194,"Hall, Harry",0,Sony Open in Hawaii,,,1,57975,1,1,2026-01-15 7:54,2026-01-16 12:24,,,0
,8825,"Harman, Brian",0,Sony Open in Hawaii,,,,27644,1,1,2026-01-15 12:35,2026-01-16 8:05,,,0
,14578,"Henley, Russell",0,Sony Open in Hawaii,,,1,34098,1,10,2026-01-15 7:54,2026-01-16 12:24,,,0
,15756,"Higa, Kazuki",0,Sony Open in Hawaii,,,,35778,1,1,2026-01-15 13:19,2026-01-16 8:49,,,0
,28469,"Highsmith, Joe",0,Sony Open in Hawaii,,,,60067,1,10,2026-01-15 12:13,2026-01-16 7:43,,,0
,20954,"Hirata, Kensei",0,Sony Open in Hawaii,,,1,49120,1,1,2026-01-15 8:38,2026-01-16 13:08,,,0
,22760,"Hisatsune, Ryo",0,Sony Open in Hawaii,,,1,51287,1,10,2026-01-15 8:16,2026-01-16 12:46,,,0
,25157,"Hodges, Lee",0,Sony Open in Hawaii,,,,54628,1,1,2026-01-15 11:40,2026-01-16 7:10,,,0
,23504,"Hoey, Rico",0,Sony Open in Hawaii,,,1,51696,1,1,2026-01-15 8:16,2026-01-16 12:46,,,0
,15575,"Hoge, Tom",0,Sony Open in Hawaii,,,,35532,1,1,2026-01-15 11:40,2026-01-16 7:10,,,0
,11276,"Horschel, Billy",0,Sony Open in Hawaii,,,,29420,1,10,2026-01-15 12:35,2026-01-16 8:05,,,0
,15470,"Hossler, Beau",0,Sony Open in Hawaii,,,,35461,1,10,2026-01-15 12:02,2026-01-16 7:32,,,0
,16333,"Hubbard, Mark",0,Sony Open in Hawaii,,,,36801,1,1,2026-01-15 11:51,2026-01-16 7:21,,,0
,6986,"Johnson, Zach",0,Sony Open in Hawaii,,,,24024,1,10,2026-01-15 12:02,2026-01-16 7:32,,,0
,19729,"Kanaya, Takumi",0,Sony Open in Hawaii,,,1,47917,1,10,2026-01-15 8:38,2026-01-16 13:08,,,0
,28268,"Kaneko, Kota",0,Sony Open in Hawaii,,,1,61148,1,10,2026-01-15 8:38,2026-01-16 13:08,,,0
,21889,"Kang, Jeffrey",0,Sony Open in Hawaii,,,,47393,1,1,2026-01-15 13:08,2026-01-16 8:38,,,0
,32457,"Keefer, Johnny",0,Sony Open in Hawaii,,,,63454,1,1,2026-01-15 12:24,2026-01-16 7:54,,,0
,17543,"Kim, Michael",0,Sony Open in Hawaii,,,1,39975,1,1,2026-01-15 7:10,2026-01-16 11:40,,,0
,21688,"Kim, S.H.",0,Sony Open in Hawaii,,,,50188,1,1,2026-01-15 12:46,2026-01-16 8:16,,,0
,14609,"Kim, Si Woo",0,Sony Open in Hawaii,,,,37455,1,1,2026-01-15 12:35,2026-01-16 8:05,,,0
,24766,"Kim, Tom",0,Sony Open in Hawaii,,,1,55182,1,1,2026-01-15 7:32,2026-01-16 12:02,,,0
