"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Birdies or Better (Actual)","Birdies or Better (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"⚠️ Missed model by 39","19846","Bauchou, Zach",76,37,"","-0.257","","285.101","","49.84%","","-0.047","","0.452","","0.249","","-0.747","","-0.296","","56.55%","","64.49%","","2.888","","3.818","","71.948","","3.492","","30.963","","50.652","","83.10%","","-0.450","","19.066","","89.30%","","0.720","","19.709","","61.20%","","-0.774","","36.882","","38.10%","","1.062","","50.810","","65.40%","","0.288","","31.565","","57.70%","","1.170","","40.979"
"⚠️ Missed model by 26","25319","VanDerLaan, John",76,50,"","0.264","","286.122","","60.31%","","0.039","","0.137","","0.081","","-0.179","","-0.217","","68.01%","","63.48%","","2.244","","3.792","","70.734","","3.935","","32.778","","65.579","","100.00%","","-0.252","","19.297","","87.00%","","0.648","","20.229","","53.80%","","-1.638","","48.589","","39.50%","","0.108","","68.512","","61.80%","","-0.504","","33.933","","50.20%","","-0.522","","49.411"
"⚠️ Missed model by 23","24550","Ghim, Doug",76,53,"","0.051","","284.739","","54.82%","","0.223","","-0.291","","0.453","","0.060","","-0.304","","59.39%","","69.29%","","2.697","","3.518","","70.839","","3.273","","31.422","","57.323","","99.20%","","2.376","","11.704","","82.30%","","-0.252","","22.681","","49.10%","","-1.314","","46.922","","13.50%","","-2.052","","79.384","","64.60%","","-0.522","","34.306","","51.30%","","-0.234","","43.592"
"⚠️ Missed model by 21","20766","Brown, Dan",76,55,"","-0.479","","286.675","","64.88%","","0.471","","0.579","","-0.282","","0.173","","-1.125","","64.79%","","60.78%","","2.677","","3.935","","71.186","","3.131","","29.196","","50.865","","83.50%","","0.450","","15.153","","82.50%","","0.936","","18.894","","37.50%","","-2.142","","47.606","","26.70%","","-0.324","","61.021","","66.60%","","-0.288","","30.515","","57.40%","","1.026","","40.471"
"⚠️ Missed model by 19","23465","Greyserman, Max",76,57,"","-1.073","","294.148","","43.72%","","-1.755","","-0.350","","0.035","","-1.440","","0.662","","56.82%","","67.08%","","3.576","","4.702","","72.490","","4.098","","30.181","","45.245","","76.20%","","-0.864","","17.798","","77.40%","","0.036","","21.671","","63.30%","","1.422","","32.469","","31.70%","","1.026","","43.686","","68.30%","","-0.090","","32.227","","49.80%","","0.414","","41.734"
"⚠️ Missed model by 18","30620","Chatfield, Davis",76,58,"","0.045","","271.698","","63.24%","","0.361","","-0.069","","0.474","","-0.044","","-0.604","","59.93%","","73.06%","","2.867","","2.957","","70.952","","2.911","","29.468","","53.794","","76.40%","","-0.810","","17.687","","75.00%","","0.000","","20.696","","35.10%","","-2.430","","47.871","","32.30%","","-2.178","","74.903","","63.30%","","-0.180","","32.591","","46.70%","","0.720","","38.999"
"⚠️ Missed model by 15","20954","Hirata, Kensei",76,61,"","-0.511","","277.150","","66.73%","","-1.130","","-1.358","","-0.028","","0.255","","0.886","","54.84%","","73.80%","","2.578","","3.052","","71.556","","2.556","","33.601","","47.114","","66.40%","","-3.582","","21.361","","76.90%","","-1.494","","24.478","","57.40%","","-0.450","","41.107","","29.00%","","0.252","","64.331","","67.90%","","-0.594","","32.130","","63.90%","","0.378","","41.955"
"⚠️ Missed model by 13","21688","Kim, S.H.",76,63,"","0.752","","282.558","","58.22%","","-0.034","","-0.087","","0.021","","0.032","","0.614","","59.55%","","71.58%","","2.248","","2.895","","70.449","","3.587","","32.124","","50.892","","62.00%","","-5.400","","26.831","","73.00%","","-0.756","","22.742","","51.80%","","-0.252","","33.783","","32.10%","","-0.414","","64.052","","65.90%","","-0.684","","33.051","","40.40%","","-0.810","","46.090"
"⚠️ Missed model by 11","25094","Fishburn, Patrick",76,65,"","-0.812","","286.074","","54.98%","","-0.059","","-0.236","","0.133","","0.044","","-0.190","","64.07%","","64.39%","","2.985","","2.934","","71.726","","2.447","","34.696","","52.648","","80.20%","","-0.666","","21.747","","72.10%","","-2.142","","27.774","","67.00%","","1.134","","38.208","","50.90%","","-0.486","","64.561","","69.30%","","-0.324","","35.864","","32.90%","","-1.872","","52.691"
"⚠️ Missed model by 10","15310","Li, Haotong",76,66,"","-0.542","","294.622","","57.57%","","-0.594","","-0.354","","-0.447","","0.207","","-0.007","","63.78%","","64.01%","","3.057","","3.932","","71.889","","3.511","","30.925","","56.702","","69.90%","","-0.972","","17.726","","70.70%","","-0.864","","23.229","","68.40%","","1.170","","41.810","","47.20%","","0.018","","61.753","","71.30%","","0.306","","28.543","","47.00%","","0.594","","41.984"
"≈ Near model (-7)","17780","Pendrith, Taylor",76,69,"","-0.578","","297.639","","64.95%","","1.071","","-0.077","","0.335","","0.813","","-1.882","","65.90%","","59.60%","","3.501","","3.627","","72.182","","3.046","","32.506","","59.876","","84.30%","","-0.396","","17.320","","76.40%","","-0.036","","22.221","","66.80%","","0.684","","41.474","","44.70%","","0.522","","58.033","","69.40%","","0.126","","33.274","","45.90%","","-0.594","","45.700"
"≈ Near model (-4)","15651","Ventura, Kris",76,72,"","0.057","","290.270","","55.68%","","-0.314","","-0.719","","-0.051","","0.456","","0.417","","60.10%","","74.45%","","3.261","","2.985","","71.101","","2.514","","31.777","","46.017","","81.30%","","-2.592","","22.046","","77.90%","","-0.252","","21.740","","57.20%","","-1.098","","31.347","","38.60%","","0.036","","65.722","","57.80%","","-0.864","","33.949","","27.50%","","-1.134","","43.890"
"≈ Near model (-3)","17881","Yu, Kevin",76,73,"","-0.672","","289.507","","48.26%","","-0.259","","-0.246","","0.072","","-0.085","","-0.517","","60.48%","","57.73%","","3.131","","4.810","","71.781","","3.864","","31.367","","56.191","","73.20%","","-1.314","","20.753","","86.10%","","0.144","","21.180","","56.40%","","-1.530","","41.219","","36.80%","","-0.072","","63.864","","67.60%","","-0.414","","34.463","","51.20%","","0.630","","41.453"
"≈ Near model (+3)","22833","Echavarria, Nico",76,79,"","-0.632","","285.630","","63.43%","","-0.825","","-0.124","","-0.525","","-0.176","","0.251","","62.75%","","63.31%","","3.260","","3.952","","72.278","","3.610","","35.251","","59.235","","88.00%","","0.198","","16.901","","74.50%","","-0.558","","20.622","","72.20%","","1.872","","29.278","","40.90%","","-0.108","","57.841","","71.00%","","0.522","","27.892","","45.50%","","0.162","","51.373"
"≈ Near model (+4)","15556","Hughes, Mackenzie",76,80,"","-0.343","","288.341","","46.21%","","-0.787","","-0.043","","-0.385","","-0.359","","0.577","","61.80%","","69.14%","","2.526","","3.989","","71.348","","2.609","","33.162","","60.674","","88.80%","","0.666","","17.096","","81.90%","","-0.468","","24.341","","53.30%","","-0.684","","38.127","","23.00%","","-1.188","","64.726","","78.10%","","1.314","","29.873","","45.50%","","-1.638","","53.931"
"≈ Near model (+7)","13997","Svensson, Adam",76,83,"","-0.524","","278.514","","63.14%","","-0.242","","-0.239","","-0.006","","0.003","","-1.245","","63.66%","","58.96%","","2.668","","3.968","","71.486","","3.041","","28.736","","57.446","","93.70%","","-1.458","","22.952","","67.10%","","-1.674","","19.056","","36.70%","","1.206","","32.048","","37.80%","","0.234","","70.698","","67.00%","","0.720","","28.459","","43.80%","","1.080","","39.755"
"≈ Near model (+9)","28469","Highsmith, Joe",76,85,"","-1.084","","290.023","","50.28%","","-0.125","","0.332","","-0.057","","-0.399","","-1.018","","58.45%","","65.92%","","3.635","","4.826","","72.496","","2.940","","29.193","","74.847","","79.90%","","-0.378","","18.788","","77.50%","","0.810","","20.337","","58.10%","","-1.494","","42.324","","36.80%","","-0.360","","66.850","","63.60%","","-0.630","","30.459","","46.90%","","0.900","","40.985"
"✅ Beat model by 10","13470","Kizzire, Patton",76,86,"","-1.224","","282.793","","51.04%","","-0.674","","0.281","","0.284","","-1.238","","-0.306","","60.05%","","59.39%","","2.657","","5.069","","72.443","","3.059","","31.967","","55.463","","91.50%","","0.342","","16.963","","77.50%","","0.252","","20.858","","57.60%","","0.954","","28.644","","29.40%","","0.072","","53.628","","70.30%","","0.306","","31.528","","50.70%","","0.360","","45.354"
"✅ Beat model by 11","32055","Shipley, Neal",76,87,"","-0.928","","292.551","","62.54%","","-0.600","","-1.361","","-0.053","","0.790","","-0.278","","60.04%","","57.87%","","2.623","","3.711","","72.059","","3.137","","32.841","","61.316","","90.20%","","-0.342","","21.598","","73.90%","","-1.602","","24.760","","45.70%","","-0.990","","39.599","","14.00%","","-3.096","","78.071","","60.80%","","-0.288","","31.837","","51.40%","","0.846","","41.559"
"✅ Beat model by 13","28309","Coody, Pierceson",76,89,"","-0.926","","293.469","","50.20%","","-1.198","","-0.059","","-1.077","","-0.063","","0.216","","54.41%","","61.33%","","3.544","","4.670","","72.092","","3.408","","33.322","","52.902","","92.30%","","1.764","","12.503","","84.80%","","0.720","","19.969","","53.70%","","-0.468","","38.459","","42.60%","","0.144","","55.975","","63.40%","","-0.342","","33.752","","64.60%","","1.008","","41.303"
"✅ Beat model by 14","17032","Tosti, Alejandro",76,90,"","-0.783","","293.913","","50.77%","","-0.485","","-0.326","","-0.360","","0.201","","-0.817","","55.39%","","62.77%","","3.363","","4.621","","71.707","","3.418","","31.847","","54.321","","88.90%","","3.348","","14.939","","69.70%","","-1.062","","23.710","","62.60%","","2.538","","25.233","","36.20%","","-1.350","","62.877","","49.90%","","-3.276","","40.220","","45.10%","","-1.008","","46.320"
"✅ Beat model by 18","18761","Mullinax, Trey",76,94,"","-0.750","","290.907","","51.65%","","0.254","","0.302","","-0.026","","-0.023","","0.122","","66.62%","","61.94%","","3.033","","3.302","","70.503","","3.634","","27.739","","50.150","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 20","19428","Zalatoris, Will",76,96,"","-0.059","","294.464","","60.70%","","0.624","","0.078","","0.127","","0.419","","-0.778","","66.22%","","60.07%","","1.911","","3.171","","70.384","","3.711","","31.731","","80.112","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 23","23133","Russell, Casey",76,99,"","0.000","","0.000","","0.00%","","0.000","","0.000","","0.000","","0.000","","0.000","","0.00%","","0.00%","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 24","19864","Hammer, Cole",76,100,"","-1.190","","290.534","","56.55%","","-0.781","","-0.125","","-0.414","","-0.242","","-0.229","","51.89%","","58.58%","","3.406","","4.050","","72.325","","3.199","","34.614","","46.641","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 25","22051","Wise, Aaron",76,101,"","-1.491","","296.653","","48.68%","","-1.316","","-0.941","","0.502","","-0.877","","-0.554","","56.86%","","56.55%","","2.602","","5.346","","72.633","","3.681","","35.588","","51.723","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 26","13497","Lee, K.H.",76,102,"","-2.337","","282.917","","49.67%","","-1.900","","-1.164","","-0.510","","-0.226","","-0.626","","52.85%","","62.69%","","2.421","","5.092","","73.323","","2.760","","32.023","","57.586","","84.90%","","2.160","","14.695","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 29","21407","Reitan, Kristoffer",76,105,"","-0.183","","290.797","","62.24%","","-0.059","","-0.706","","0.059","","0.588","","-0.172","","59.60%","","60.26%","","3.296","","4.349","","71.736","","3.566","","36.872","","56.624","","72.80%","","-2.106","","20.511","","77.00%","","-0.864","","23.261","","53.60%","","0.162","","36.896","","39.90%","","0.072","","71.317","","71.20%","","-0.684","","31.936","","35.60%","","-2.124","","49.517"
"✅ Beat model by 30","27183","Salinda, Isaiah",76,106,"","-0.212","","291.148","","48.57%","","0.108","","0.226","","-0.408","","0.290","","-0.718","","66.87%","","55.10%","","3.354","","4.580","","71.173","","3.176","","30.755","","61.183","","92.20%","","0.540","","17.407","","78.90%","","0.738","","21.595","","60.00%","","-1.746","","41.882","","45.10%","","0.954","","65.415","","66.30%","","-0.990","","32.662","","49.60%","","0.216","","40.965"
"✅ Beat model by 33","11276","Horschel, Billy",76,109,"","-0.508","","284.931","","47.64%","","-0.918","","0.019","","-0.313","","-0.624","","0.397","","55.72%","","67.23%","","3.406","","4.200","","71.462","","3.560","","30.907","","71.119","","86.80%","","-1.278","","19.782","","79.70%","","0.090","","21.702","","51.10%","","-1.044","","47.591","","32.70%","","-0.846","","65.618","","73.30%","","0.702","","30.471","","48.70%","","0.576","","47.018"
"✅ Beat model by 35","33759","Howell, Mason",76,111,"","-3.494","","302.343","","50.00%","","-2.100","","-1.041","","-1.268","","0.209","","-1.081","","53.45%","","45.05%","","2.395","","5.144","","73.948","","1.747","","32.675","","114.016","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 38","21554","Poston, J.T.",76,114,"","-0.593","","289.976","","64.54%","","-1.170","","-0.941","","-0.444","","0.214","","0.565","","61.67%","","61.13%","","2.843","","3.953","","72.196","","3.769","","32.936","","64.896","","68.60%","","-1.134","","20.404","","72.50%","","-2.178","","26.045","","70.40%","","1.188","","36.081","","31.20%","","-0.810","","66.980","","74.90%","","0.162","","29.678","","38.20%","","-0.288","","45.669"
"✅ Beat model by 39","16333","Hubbard, Mark",76,115,"","-1.153","","282.572","","55.86%","","-0.638","","0.185","","-0.204","","-0.619","","-0.929","","56.82%","","63.29%","","2.683","","4.734","","72.481","","3.219","","31.687","","53.281","","83.30%","","-2.034","","20.779","","84.30%","","0.036","","21.729","","49.40%","","-0.612","","43.359","","31.80%","","-1.872","","65.735","","66.70%","","-0.108","","31.524","","49.50%","","0.504","","39.403"
"✅ Beat model by 40","27164","Phillips, Chandler",76,116,"","-1.356","","282.353","","64.76%","","-1.273","","-1.054","","-0.355","","0.137","","-0.172","","55.52%","","61.65%","","3.071","","4.987","","72.396","","3.013","","33.277","","54.712","","90.00%","","0.774","","16.297","","82.10%","","0.036","","22.939","","51.80%","","-0.846","","42.956","","22.80%","","-0.954","","61.956","","54.50%","","-1.890","","34.135","","40.60%","","-1.746","","51.261"
"✅ Beat model by 41","23841","Neergaard-Petersen, Rasmus",76,117,"","-0.856","","284.766","","57.30%","","0.111","","0.365","","-0.393","","0.139","","-0.452","","60.77%","","62.42%","","2.623","","3.846","","71.795","","3.194","","31.726","","59.658","","65.00%","","-3.762","","19.279","","77.60%","","-1.098","","26.011","","52.50%","","-1.260","","47.979","","26.70%","","-0.666","","71.286","","67.30%","","0.180","","31.853","","59.40%","","2.286","","38.648"
"✅ Beat model by 42","24343","Lamprecht, Christo",76,118,"","-0.751","","312.185","","40.69%","","-1.868","","-1.101","","-0.448","","-0.319","","-0.058","","62.17%","","57.81%","","3.024","","3.823","","71.391","","3.754","","36.471","","53.692","","76.30%","","-1.368","","18.214","","82.60%","","-0.594","","21.833","","46.70%","","-1.674","","44.331","","36.50%","","0.180","","63.703","","57.50%","","-1.620","","35.583","","40.80%","","-3.096","","67.269"
"✅ Beat model by 46","18628","Campbell, Brian",76,122,"","-1.591","","274.006","","62.04%","","-1.282","","-0.692","","0.092","","-0.683","","-0.561","","55.78%","","65.37%","","2.797","","4.846","","73.014","","2.605","","34.117","","68.246","","83.30%","","-0.144","","16.287","","75.10%","","-0.360","","25.704","","60.80%","","-1.746","","38.389","","11.10%","","-2.952","","74.667","","60.30%","","-0.414","","28.775","","46.60%","","0.378","","46.511"
"✅ Beat model by 47","19477","Schenk, Adam",76,123,"","-2.024","","289.203","","51.47%","","-0.814","","-1.329","","0.528","","-0.013","","-1.429","","55.22%","","55.64%","","3.885","","6.270","","73.250","","3.239","","34.585","","68.158","","83.60%","","-0.882","","17.244","","64.70%","","-1.926","","25.985","","53.90%","","-0.666","","43.554","","29.20%","","-0.702","","66.720","","66.40%","","-0.504","","33.285","","58.60%","","0.018","","49.204"
"✅ Beat model by 50","28270","Dunlap, Nick",76,126,"","-1.755","","278.790","","44.18%","","-2.217","","-0.165","","-0.436","","-1.616","","0.512","","58.10%","","61.41%","","2.324","","3.751","","72.709","","2.560","","29.667","","68.934","","85.00%","","1.404","","14.069","","79.90%","","1.890","","16.186","","42.30%","","-2.142","","35.641","","47.30%","","1.188","","73.438","","64.70%","","-0.864","","30.683","","57.20%","","0.594","","46.826"
"✅ Beat model by 55","5768","Hoffman, Charley",76,131,"","-2.267","","289.611","","47.77%","","-2.269","","-0.691","","-1.128","","-0.450","","-0.045","","55.14%","","56.77%","","3.165","","5.531","","73.209","","2.646","","31.602","","56.776","","90.50%","","-0.504","","19.088","","70.40%","","-0.090","","21.060","","44.60%","","-0.936","","50.930","","29.80%","","-1.224","","61.286","","68.30%","","0.450","","29.714","","21.00%","","-3.384","","52.331"
"✅ Beat model by 56","12909","Campos, Rafael",76,132,"","-1.418","","288.531","","57.08%","","-2.537","","-0.880","","-1.123","","-0.534","","-0.046","","58.68%","","54.60%","","2.312","","5.790","","72.500","","3.166","","34.381","","57.102","","89.00%","","-0.432","","17.633","","71.60%","","-0.720","","25.452","","57.70%","","-0.738","","37.026","","42.90%","","0.396","","61.213","","69.70%","","0.180","","31.522","","37.20%","","-2.142","","50.506"
"✅ Beat model by 57","30814","Sargent, Gordon",76,133,"","-0.697","","302.586","","53.04%","","-0.965","","-1.195","","-0.114","","0.345","","-0.759","","65.33%","","54.20%","","3.653","","4.522","","71.729","","3.467","","33.864","","74.455","","93.60%","","1.710","","17.252","","79.00%","","-2.916","","28.716","","53.70%","","-2.934","","60.402","","10.10%","","-2.844","","84.023","","75.30%","","-0.792","","33.775","","47.10%","","-0.540","","47.018"
"","21944","",76,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","10104","",76,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","17723","",76,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","18417","Scheffler, Scottie","",5,"","1.640","","295.814","","57.53%","","1.234","","0.055","","0.857","","0.322","","0.492","","62.61%","","68.58%","","3.673","","2.646","","69.955","","4.542","","31.212","","80.190","","98.50%","","2.070","","13.388","","77.00%","","-1.044","","23.220","","44.70%","","-1.548","","47.916","","38.70%","","-0.072","","67.166","","75.50%","","1.152","","28.259","","42.90%","","-0.954","","48.928"
"","14502","Cauley, Bud","",84,"","-0.945","","283.827","","52.44%","","-0.532","","-0.074","","0.083","","-0.542","","-0.581","","54.82%","","67.21%","","2.302","","2.492","","72.230","","2.647","","32.128","","54.204","","86.30%","","0.918","","17.544","","87.50%","","0.810","","19.663","","49.10%","","-1.260","","44.729","","28.70%","","0.126","","60.579","","72.80%","","0.648","","30.322","","35.10%","","-0.738","","48.389"
"","18554","Rai, Aaron","",92,"","-0.665","","277.401","","61.85%","","-0.183","","-0.189","","0.033","","-0.027","","-0.551","","61.33%","","58.82%","","2.803","","4.165","","71.792","","3.222","","34.417","","54.420","","58.90%","","-4.104","","28.643","","85.50%","","0.594","","21.401","","66.00%","","-0.594","","40.429","","31.10%","","-0.990","","67.574","","80.00%","","1.440","","30.573","","41.00%","","-0.378","","42.631"
"","16591","Rozo, Marcelo","",121,"","-1.454","","279.236","","50.40%","","-0.706","","0.308","","-0.340","","-0.674","","-0.973","","62.75%","","52.56%","","2.869","","5.370","","72.579","","3.176","","30.723","","54.900","","89.10%","","2.250","","16.434","","84.20%","","-0.720","","22.817","","59.40%","","-0.252","","34.886","","39.00%","","-0.828","","67.507","","68.60%","","-0.072","","31.856","","46.30%","","0.432","","43.453"
