"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Birdies or Better (Actual)","Birdies or Better (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"≈ Near model (+5)","16757","Dou, Zecheng",21,26,"","-0.549","","287.671","","52.28%","","-0.065","","-0.033","","0.420","","-0.452","","-0.032","","54.87%","","66.56%","","4.170","","4.117","","72.034","","2.843","","30.540","","63.333","","81.80%","","1.512","","14.055","","83.40%","","1.278","","18.189","","44.50%","","-1.638","","44.300","","36.70%","","0.216","","63.396","","76.50%","","0.882","","29.847","","64.10%","","1.962","","41.981"
"≈ Near model (+6)","6430","Scott, Adam",21,27,"","0.474","","297.326","","43.45%","","0.352","","0.923","","-0.056","","-0.515","","-0.053","","62.01%","","68.31%","","4.315","","4.352","","71.172","","3.881","","26.674","","55.073","","80.10%","","0.810","","14.605","","85.00%","","0.054","","19.562","","52.70%","","-0.396","","37.961","","26.30%","","0.558","","60.321","","69.50%","","1.548","","26.108","","55.30%","","1.026","","38.739"
"✅ Beat model by 12","14577","English, Harris",21,33,"","-0.528","","293.254","","57.74%","","-1.355","","-1.222","","-0.161","","0.028","","0.916","","58.41%","","65.47%","","3.476","","4.272","","71.944","","4.269","","33.078","","75.415","","83.20%","","-0.108","","17.857","","73.50%","","-1.332","","25.533","","49.50%","","-0.702","","37.680","","25.50%","","-1.278","","75.932","","69.80%","","0.396","","28.584","","52.00%","","1.458","","43.353"
"✅ Beat model by 17","19483","Burns, Sam",21,38,"","1.181","","293.872","","55.12%","","-0.121","","-0.390","","-0.039","","0.309","","1.459","","63.97%","","64.37%","","4.164","","4.365","","70.398","","4.071","","31.774","","60.660","","98.30%","","2.196","","13.302","","77.70%","","-0.504","","23.438","","57.80%","","-0.180","","42.611","","40.90%","","0.000","","53.741","","67.40%","","0.720","","30.114","","42.80%","","-1.224","","49.066"
"✅ Beat model by 31","18474","Smalley, Alex",21,52,"","0.142","","284.357","","48.21%","","0.518","","-0.014","","0.519","","0.013","","-0.599","","58.88%","","66.40%","","3.127","","3.738","","71.021","","3.417","","32.642","","66.265","","84.50%","","-0.450","","17.462","","84.00%","","0.576","","21.000","","60.20%","","0.342","","34.735","","34.70%","","0.090","","67.310","","71.00%","","0.252","","31.891","","47.70%","","1.152","","39.080"
"✅ Beat model by 43","15470","Hossler, Beau",21,64,"","-0.769","","285.294","","53.30%","","-0.526","","-0.926","","0.644","","-0.250","","0.041","","57.44%","","67.78%","","2.824","","4.306","","71.709","","2.622","","33.447","","50.787","","89.50%","","0.144","","20.846","","76.00%","","-0.450","","22.906","","28.60%","","-3.330","","51.527","","29.20%","","-0.324","","59.005","","66.00%","","-0.216","","35.329","","33.00%","","-0.648","","44.516"
"✅ Beat model by 108","27900","Potgieter, Aldrich",21,129,"","-1.905","","301.914","","59.27%","","-0.600","","-0.549","","-0.512","","0.461","","-1.377","","61.46%","","53.00%","","3.935","","6.745","","73.235","","3.244","","30.100","","65.607","","67.00%","","-3.762","","25.629","","76.00%","","-1.188","","24.881","","44.10%","","-2.484","","47.382","","41.10%","","1.332","","61.441","","68.20%","","-0.774","","31.752","","59.60%","","2.610","","36.498"
"≈ Near model (-6)","16394","Jaeger, Stephan",28,22,"","0.947","","291.851","","48.61%","","0.599","","0.312","","0.313","","-0.025","","0.409","","59.08%","","68.12%","","3.478","","3.448","","70.412","","3.632","","31.669","","56.895","","84.10%","","-1.026","","21.229","","79.40%","","-0.666","","25.417","","58.70%","","0.666","","33.018","","21.80%","","-1.098","","64.463","","68.50%","","0.396","","30.121","","46.10%","","-0.738","","46.417"
"≈ Near model (-3)","13900","Lowry, Shane",28,25,"","0.101","","287.423","","62.97%","","-0.058","","0.104","","-0.281","","0.119","","0.116","","63.46%","","58.92%","","3.461","","3.261","","71.300","","4.094","","29.613","","54.508","","95.80%","","1.764","","12.465","","79.80%","","0.720","","20.575","","63.90%","","2.124","","30.255","","37.20%","","0.468","","64.669","","64.80%","","-0.432","","31.780","","57.00%","","0.972","","39.218"
"≈ Near model (+3)","19840","Ramey, Chad",28,31,"","-0.274","","284.766","","52.55%","","-0.304","","-0.447","","0.156","","-0.014","","0.262","","56.99%","","61.90%","","3.174","","3.597","","71.503","","3.131","","31.059","","53.530","","83.50%","","1.188","","15.145","","82.90%","","0.108","","20.735","","66.20%","","-0.882","","41.760","","30.90%","","-0.702","","62.775","","63.00%","","-0.396","","32.517","","51.80%","","0.486","","48.944"
"✅ Beat model by 18","23838","Hojgaard, Rasmus",28,46,"","-0.693","","299.154","","43.67%","","-0.620","","-0.080","","-0.329","","-0.210","","0.397","","60.66%","","60.39%","","3.286","","4.405","","71.869","","3.008","","31.236","","55.281","","87.30%","","0.432","","14.737","","87.10%","","0.378","","20.983","","56.50%","","-0.954","","47.387","","44.30%","","0.684","","51.112","","68.90%","","0.054","","33.776","","64.50%","","2.142","","37.706"
"✅ Beat model by 31","23504","Hoey, Rico",28,59,"","-0.026","","288.913","","56.28%","","0.419","","-0.174","","-0.104","","0.697","","-0.430","","56.30%","","59.77%","","3.640","","2.591","","71.349","","3.704","","36.691","","56.569","","91.10%","","-0.846","","18.138","","74.20%","","-1.890","","24.656","","60.20%","","0.936","","31.520","","28.60%","","-0.072","","55.978","","61.80%","","0.198","","30.921","","56.80%","","1.530","","40.318"
