
Tournament: AT&T - Pebble Beach (2026),Last updated: 2026-02-19T02:22:22.149Z
Course: Spyglass Hill Golf Course,Found 80 players from historical_csv
Data Date: 2026-02-23T18:01:30.252Z
DG ID,Player Name,Finish Position,SG Total Z,SG Total Z Adj,Driving Distance Z,Driving Distance Z Adj,Driving Accuracy Z,Driving Accuracy Z Adj,SG T2G Z,SG T2G Z Adj,SG Approach Z,SG Approach Z Adj,SG Around Green Z,SG Around Green Z Adj,SG OTT Z,SG OTT Z Adj,SG Putting Z,SG Putting Z Adj,Greens in Regulation Z,Greens in Regulation Z Adj,Fairway Proximity Z,Fairway Proximity Z Adj,Rough Proximity Z,Rough Proximity Z Adj
"23465","Greyserman, Max","T37",0.069669,0.069669,0.67545,0.67545,-1.566685,-1.566685,-0.20254,-0.20254,-1.125035,-1.125035,1.35885,1.35885,-0.005423,-0.005423,0.457499,0.457499,-0.761517,-0.761517,1.242163,-1.242163,-0.968985,0.968985
"6093","Rose, Justin","T37",0.215974,0.215974,0.052071,0.052071,-0.325288,-0.325288,-0.476978,-0.476978,0.277336,0.277336,-0.834259,-0.834259,-0.723535,-0.723535,1.18328,1.18328,-0.247198,-0.247198,-0.193009,0.193009,-1.227413,1.227413
"14609","Kim, Si Woo","T45",-0.069669,-0.069669,-0.274287,-0.274287,0.499416,0.499416,0.460301,0.460301,0.407142,0.407142,-0.415124,-0.415124,0.832807,0.832807,-0.857585,-0.857585,1.040918,1.040918,-1.09023,1.09023,-0.993571,0.993571
"29767","Gerard, Ryan","T45",0.076636,0.076636,-0.167946,-0.167946,0.293964,0.293964,-0.091515,-0.091515,0.485182,0.485182,-1.702767,-1.702767,0.730837,0.730837,0.299038,0.299038,0.262488,0.262488,0.115639,-0.115639,-0.563616,0.563616
"17536","Spaun, J.J.","T45",-0.069669,-0.069669,0.019068,0.019068,0.293964,0.293964,0.584745,0.584745,0.61889,0.61889,-0.197577,-0.197577,0.549797,0.549797,-1.050879,-1.050879,0.526598,0.526598,-0.458097,0.458097,-1.511343,1.511343
"21891","Kitayama, Kurt","T48",-0.209007,-0.209007,0.715787,0.715787,0.707763,0.707763,-0.347939,-0.347939,0.068711,0.068711,-1.99171,-1.99171,1.117114,1.117114,0.112311,0.112311,0.526598,0.526598,-0.684862,0.684862,-1.3376,1.3376
"23475","Novak, Andrew","T48",-0.209007,-0.209007,-0.083606,-0.083606,0.50231,0.50231,0.643198,0.643198,0.202158,0.202158,0.245916,0.245916,0.923111,0.923111,-1.427188,-1.427188,0.521965,0.521965,-1.729741,1.729741,1.170838,-1.170838
"11276","Horschel, Billy","T48",-0.209007,-0.209007,-0.263286,-0.263286,1.121562,1.121562,0.021899,0.021899,-0.599048,-0.599048,0.597435,0.597435,0.43184,0.43184,-0.462146,-0.462146,0.781442,0.781442,-0.42017,0.42017,2.475947,-2.475947
"28309","Coody, Pierceson","T48",-0.209007,-0.209007,1.29883,1.29883,-0.739087,-0.739087,0.102227,0.102227,0.492206,0.492206,-1.787182,-1.787182,1.261428,1.261428,-0.586916,-0.586916,-0.502041,-0.502041,-1.557962,1.557962,1.220754,-1.220754
"12423","Kirk, Chris","T52",-0.20204,-0.20204,-0.655649,-0.655649,0.707763,0.707763,-0.178276,-0.178276,1.144617,1.144617,-1.048446,-1.048446,-1.241595,-1.241595,-0.137229,-0.137229,0.781442,0.781442,-1.132361,1.132361,-0.63764,0.63764
