
Tournament: AT&T - Pebble Beach (2026),Last updated: 2026-02-19T02:22:22.149Z
Course: Spyglass Hill Golf Course,Found 80 players from historical_csv
Data Date: 2026-02-23T18:01:30.252Z
DG ID,Player Name,Finish Position,Model Rank,Finish Highlight,Finish Bg,Finish Font,Finish Bold,Model Rank Highlight,Model Rank Bg,Model Rank Font,Model Rank Bold,SG Total Color,Driving Distance Color,Driving Accuracy Color,SG T2G Color,SG Approach Color,SG Around Green Color,SG OTT Color,SG Putting Color,Greens in Regulation Color,Fairway Proximity Color,Rough Proximity Color
"22833","Echavarria, Nico","T8",57,"top10","#CD7F32","#000000","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"13562","Matsuyama, Hideki","T8",2,"top10","#CD7F32","#000000","","good_prediction","#C6EFCE","#006100","bold","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"29433","Bridgeman, Jacob","T8",42,"top10","#CD7F32","#000000","","","","","","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"15466","Cantlay, Patrick","T14",8,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"10091","McIlroy, Rory","T14",21,"","","","","","","","","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"17646","Fitzpatrick, Matt","T14",33,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8"
"15575","Hoge, Tom","T14",36,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"11676","Finau, Tony","18",56,"","","","","","","","","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"12965","Fowler, Rickie","T19",35,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"19895","Schauffele, Xander","T19",16,"","","","","","","","","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"18474","Smalley, Alex","T19",53,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"8825","Harman, Brian","T19",27,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE"
"14578","Henley, Russell","T19",6,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"9771","Day, Jason","T24",29,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"11889","Fox, Ryan","T24",25,"","","","","","","","","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8"
"13126","Taylor, Nick","T24",47,"","","","","","","","","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8"
"27194","Hall, Harry","T24",55,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"14577","English, Harris","T24",49,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"14636","Spieth, Jordan","T29",61,"","","","","","","","","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"23505","McGreevy, Max","T29",52,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE"
"18634","McNealy, Maverick","T29",23,"","","","","","","","","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8"
"10419","Noren, Alex","T29",71,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"13872","Bradley, Keegan","T29",51,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8"
"23816","Valimaki, Sami","T34",30,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8"
"17780","Pendrith, Taylor","T34",64,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"15556","Hughes, Mackenzie","T34",58,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE"
"21554","Poston, J.T.","T37",54,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"23950","Aberg, Ludvig","T37",69,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"27774","Gotterup, Chris","T37",18,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8"
"24968","Griffin, Ben","T37",24,"","","","","","","","","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8"
"23323","MacIntyre, Robert","T37",50,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"14502","Cauley, Bud","T37",43,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"23465","Greyserman, Max","T37",78,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"6093","Rose, Justin","T37",15,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8"
"14609","Kim, Si Woo","T45",9,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8"
