
Tournament: AT&T Pebble Beach Pro-Am,Last updated: 
Course: Spyglass Hill Golf Course,Found 80 players from cache
Data Date: 2026-03-03T21:27:53.310Z
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS,Scoring Average,Birdies or Better,Scrambling,Great Shots,Poor Shot Avoidance
"↑ Overall | 📈 SG T2G: trend continuing (4.761) | 📈 SG OTT: trend reversing (0.509) | 📉 SG Total: trend reversing (0.365)","27194","Hall, Harry",46,"T24",-14,1.1375000000000002,0.629,275.675,297.289,0.6247499999999999,0.6122,0.42125,0.195,-0.18524999999999997,-0.117,1.09675,0.262,-0.49025,0.049,0.7162499999999999,-0.359,0.6942499999999999,0.721,30.267750000000003,30.03,39.289249999999996,50.93,0,68.5,5.25,0.7677499999999999,4,3.25
"↓ Approach | 📉 SG Approach: trend continuing (0.984) | 📈 SG Putting: trend continuing (0.960) | ❌ Underperformed model prediction","14577","English, Harris",17,"T24",-14,1.1375,0.223,289.5,291.213,0.6427499999999999,0.6303,0.2574999999999999,-0.149,-0.33425,-0.33,-0.41774999999999995,-0.122,1.0095,0.302,0.8799999999999999,1.019,0.7224999999999999,0.6951,31.516,28.144,52.36625000000001,45.665,0,68.5,5.5,0.64325,3.75,3.75
"↓ Driving | 📉 SG OTT: trend continuing (4.173) | 📈 SG Putting: trend continuing (1.462) | 📉 SG Total: trend reversing (1.066)","14636","Spieth, Jordan",52,"T29",-13,0.8875,0.649,283.425,294.531,0.625,0.5211,-0.56825,0.096,-0.36624999999999996,-0.025,0.18375000000000002,0.182,-0.38575000000000004,-0.06,1.45575,1.058,0.66675,0.6773,37.32875,32.337,47.57525,43.803,0,68.75,5.5,0.6849999999999999,2.75,2.5
"↑ Finished better than predicted | ↑ Putting | 📈 SG Putting: trend reversing (0.413)","23505","McGreevy, Max",62,"T29",-13,0.625,0.571,277.975,285.273,0.732,0.6662,0.8895,0.8,0.03174999999999997,0.623,0.43574999999999997,0.021,0.42200000000000004,0.156,-0.26425,-0.953,0.73625,0.7619,30.492,27.106,41.629000000000005,57.202,0,68.75,4.75,0.67075,2.5,2.75
"↓ Putting | 📉 SG Putting: trend continuing (0.878) | 📈 SG OTT: trend continuing (0.445) | 📉 SG Around Green: trend reversing (0.355)","18634","McNealy, Maverick",27,"T29",-13,0.6249999999999998,0.598,278.85,298.317,0.71425,0.5854,1.07375,0.437,0.6052500000000001,0.062,0.22375,0.084,0.24475,0.29,-0.4485,-0.42,0.6945,0.6916,28.0595,31.465,43.75725,58.969,0,68.75,5.75,0.7045,3.75,5.5
"↑ Driving | 📈 SG OTT: trend continuing (0.399) | 📈 SG Around Green: trend continuing (0.254) | 📉 Driving Accuracy: trend reversing (0.028)","10419","Noren, Alex",30,"T29",-13,0.8875,0.788,271.55,287.325,0.73225,0.648,0.5242500000000001,0.364,0.12675000000000003,0.287,0.29975,0.229,0.09775,-0.152,0.36325,0.753,0.736,0.7106,29.644,33.07,59.945750000000004,37.049,0,68.75,5.75,0.634,3.75,3.25
"↑ Overall | 📈 SG Total: trend continuing (5.181) | 📈 SG Putting: trend continuing (0.864) | 📈 SG Around Green: trend continuing (0.717)","13872","Bradley, Keegan",53,"T29",-13,0.8874999999999997,-0.276,285.67499999999995,293.408,0.6785,0.6701999999999999,0.2639999999999999,0.485,-1.0037500000000001,-0.107,1.136,0.053,0.13175,0.539,0.6234999999999999,-1.539,0.6944999999999999,0.691,33.43475,31.089,42.15925,45.997,0,68.75,6,0.7034999999999999,4,4
"↓ Short Game | 📉 SG Around Green: trend reversing (8.678) | 📈 SG T2G: trend continuing (1.086) | 📈 SG Approach: trend continuing (0.917)","23816","Valimaki, Sami",22,"T34",-12,0.6375000000000001,0.824,272.77500000000003,273.78,0.732,0.6277,0.37875000000000003,-0.061,0.18225000000000002,0.277,0.79825,-0.142,-0.60175,-0.196,0.25875000000000004,0.075,0.70825,0.67,27.006,27.764,26.2345,47.759,0,69,6,0.60825,4,4.75
"↑ Overall | 📈 SG T2G: trend reversing (3.584) | 📉 SG Total: trend reversing (0.979) | 📉 SG Around Green: trend reversing (0.760)","17780","Pendrith, Taylor",41,"T34",-12,0.6375,0.854,289.925,301.457,0.518,0.5660000000000001,-0.09250000000000003,0.407,-0.29850000000000004,-0.066,0.13324999999999998,0.155,0.07275,0.318,0.73,-0.04,0.6664999999999999,0.6834,32.55825,31.726,48.970000000000006,52.794,0,69,5.25,0.7195,3.25,3.25
"↑ Overall | 📈 SG Total: trend continuing (4.596) | 📉 SG Putting: trend continuing (1.516) | 📈 SG OTT: trend continuing (0.557)","15556","Hughes, Mackenzie",39,"T34",-12,0.6375,0.459,279.05,289.073,0.6785,0.5564,0.8039999999999999,0.659,0.51975,0.201,0.07875000000000001,0.661,0.2055,-0.203,-0.1665,-0.458,0.736,0.7151000000000001,25.606749999999998,29.844,39.21525,52.523,0,69,4.5,0.66325,4.25,4.25
