
Tournament: The Genesis Invitational,Last updated: 2026-02-22 23:33:51 UTC
Course: The Riviera Country Club,Found 72 players from api
Data Date: 2026-02-23T16:13:41.178Z
DG ID,Player Name,Finish Position,Model Rank,Finish Highlight,Finish Bg,Finish Font,Finish Bold,Model Rank Highlight,Model Rank Bg,Model Rank Font,Model Rank Bold,SG Total Color,Driving Distance Color,Driving Accuracy Color,SG T2G Color,SG Approach Color,SG Around Green Color,SG OTT Color,SG Putting Color,Greens in Regulation Color,Fairway Proximity Color,Rough Proximity Color
"16841","Lee, Min Woo","12",47,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8"
"18417","Scheffler, Scottie","12",1,"","","","","","","","","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE"
"14636","Spieth, Jordan","12",43,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"10419","Noren, Alex","12",45,"","","","","","","","","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"25569","Stevens, Sam","16",61,"","","","","","","","","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8"
"28309","Coody, Pierceson","16",64,"","","","","","","","","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8"
"26096","Bhatia, Akshay","16",20,"","","","","","","","","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"22465","Penge, Marco","16",60,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE"
"23950","Aberg, Ludvig","20",12,"","","","","","","","","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8"
"23323","MacIntyre, Robert","20",30,"","","","","","","","","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE"
