
Tournament: Genesis Invitational,Last updated: 
Course: The Riviera Country Club,Found 72 players from cache
Data Date: 2026-03-03T22:18:01.961Z
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS,Scoring Average,Birdies or Better,Scrambling,Great Shots,Poor Shot Avoidance
"↑ Finished better than predicted | ↓ Overall | 📉 SG T2G: trend reversing (0.827) | 📉 SG Approach: trend reversing (0.759) | 📉 SG Around Green: trend continuing (0.225) | ↓ Below average performer","23014","Theegala, Sahith",63,"T22",-8,0.6535,-1.327,288.85,290.222,0.536,0.5492,0.18425000000000002,-0.866,0.49574999999999997,0.066,-0.4355,-0.399,0.12399999999999999,-0.533,0.46975,-0.17,0.6944999999999999,0.6459,25.771,32.166,42.501749999999994,54.877,0,69,2.75,0.7070000000000001,3.5,2.75
"↑ Driving | 📈 SG OTT: trend continuing (0.744) | 📉 SG Around Green: trend reversing (0.674) | 📈 Greens in Regulation: trend continuing (0.019) | ❌ Underperformed model prediction","17646","Fitzpatrick, Matt",17,"T24",-7,0.4035000000000001,1.27,289.9,289.704,0.6784999999999999,0.6890000000000001,1.46225,1.011,0.763,0.796,0.2839999999999999,-0.067,0.41524999999999995,0.281,-1.0585,0.202,0.6527499999999999,0.6587999999999999,26.597250000000003,30.952,36.08475,89.396,0,69.25,4.25,0.62,2.75,4.5
"↑ Putting | 📈 SG Putting: trend continuing (0.461) | 📈 SG Around Green: trend reversing (0.259) | 📉 SG OTT: trend reversing (0.204) | ❌ Underperformed model prediction","13900","Lowry, Shane",3,"T24",-7,0.40349999999999997,1.16,285.8,286.06,0.58925,0.6743000000000001,0.38349999999999995,0.719,0.5425,0.947,-0.3505,-0.06,0.1915,-0.169,0.020249999999999907,1.015,0.6942499999999999,0.7037,25.857,28.483,46.91725,49.718,0,69.25,4,0.5267499999999999,2.25,3.25
"↑ Approach | 📈 SG Approach: trend continuing (3.213) | 📈 SG T2G: trend reversing (1.764) | 📈 SG Around Green: trend reversing (0.177)","28635","McCarty, Matt",53,"T24",-7,0.40349999999999997,-0.298,283.2,286.365,0.53575,0.7166,-0.038250000000000006,-1.086,0.5569999999999999,-0.593,-0.10300000000000001,-0.588,-0.49225,0.087,0.44225,0.855,0.639,0.6289,28.33475,35.34,37.73075,46.928,0,69.25,4.5,0.66225,2.75,3.75
"↑ Finished better than predicted | ↑ Approach | 📈 SG Approach: trend continuing (0.593) | 📉 SG Around Green: trend reversing (0.686) | 📉 SG Putting: trend reversing (0.566)","23465","Greyserman, Max",57,"T24",-7,0.40349999999999997,0.355,295.34999999999997,294.571,0.5535,0.5842,0.34875000000000006,0.035,0.06275000000000003,-0.187,0.1545,0.212,0.13149999999999995,0.01,0.05499999999999994,0.031,0.6112500000000001,0.6059,28.978,33.902,35.862,42.95,0,69.25,4.5,0.68825,4,4.75
"↑ Driving | 📈 SG OTT: trend continuing (0.236) | ❌ Underperformed model prediction","13562","Matsuyama, Hideki",4,"T28",-6,0.15350000000000003,1.053,284.875,285.725,0.6964999999999999,0.5605,-0.11050000000000003,0.403,-0.369,0.032,0.18025000000000002,0.784,0.07824999999999999,-0.412,0.2645,0.574,0.5972500000000001,0.6067,25.393749999999997,30.044,56.759,57.321,0,69.5,3.25,0.7617499999999999,2,3.5
"↑ Approach | 📈 SG Approach: trend continuing (3.208) | 📉 SG Putting: trend continuing (0.908) | 📉 SG Around Green: trend reversing (0.649)","13126","Taylor, Nick",34,"T28",-6,0.15350000000000003,0.929,285.22499999999997,282.889,0.5355,0.6626000000000001,0.4745,0.712,0.01874999999999999,0.66,0.84575,0.248,-0.39,-0.197,-0.32075000000000004,-0.128,0.653,0.6990000000000001,27.62525,29.813,42.20399999999999,61.987,0,69.5,3.25,0.72925,3.25,5
"↑ Short Game | 📈 SG Around Green: trend reversing (0.584) | ❌ Underperformed model prediction","12965","Fowler, Rickie",14,"T28",-6,0.15350000000000003,0.947,289.55,286.637,0.6247499999999999,0.685,-0.69775,0.729,-0.15150000000000002,0.439,-0.9825000000000002,-0.055,0.43625,0.346,0.8514999999999999,0.623,0.7222500000000001,0.6644,26.79675,31.671,70.731,57.299,0,69.5,4.25,0.5735,3.25,4.25
"↓ Driving | 📉 SG OTT: trend continuing (32.284) | 📉 SG Total: trend reversing (1.625) | 📉 SG Around Green: trend reversing (0.422)","18554","Rai, Aaron",47,"T28",-6,0.15349999999999997,-0.234,279.125,280.212,0.6072500000000001,0.7378,-0.043749999999999956,0.399,0.20450000000000002,0.093,0.33825,0.12,-0.5865,0.187,0.19774999999999987,-0.8,0.66675,0.68,27.918499999999998,33.467,82.207,48.61,0,69.5,4.75,0.58225,3.25,3.5
"↓ Putting | 📉 SG Putting: trend continuing (0.247) | 📈 SG Around Green: trend reversing (0.140) | ❌ Underperformed model prediction","29767","Gerard, Ryan",15,"T28",-6,0.15350000000000003,0.963,289.9,288.365,0.5715,0.6664,1.0897499999999998,1.29,1.17425,0.759,-0.29100000000000004,-0.123,0.20650000000000002,0.654,-0.9360000000000002,0.142,0.73625,0.6555,23.04625,30.122,44.346000000000004,71.48,0,69.5,4.25,0.538,3,3.75
