"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Birdies or Better (Actual)","Birdies or Better (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Beat model by 115 | ⚠️ Success despite model prediction","26649","Thorbjornsen, Michael",18,133,"","-1.367","","299.316","","67.77%","","-0.568","","-0.588","","-0.251","","0.270","","-2.308","","64.19%","","58.79%","","3.490","","4.530","","72.069","","3.280","","32.070","","52.305","","88.00%","","0.000","","17.820","","79.00%","","-0.540","","23.980","","63.00%","","0.360","","39.480","","37.00%","","-0.360","","57.210","","65.00%","","-0.180","","31.070","","52.00%","","0.720","","40.760"
"≈ Near model (-9) | ❌ Underperformed model prediction","14577","English, Harris",22,13,"","1.490","","290.041","","65.51%","","0.413","","0.184","","-0.093","","0.321","","1.196","","65.42%","","60.60%","","3.153","","3.310","","70.631","","4.312","","33.294","","54.468","","86.00%","","0.540","","15.420","","75.00%","","-0.540","","23.250","","57.00%","","-0.720","","39.580","","41.00%","","0.720","","55.880","","73.00%","","0.540","","29.570","","47.00%","","-0.360","","46.370"
"≈ Near model (-5) | ❌ Underperformed model prediction","23602","Hojgaard, Nicolai",22,17,"","0.993","","312.987","","48.47%","","0.293","","0.874","","-0.381","","-0.201","","0.128","","69.83%","","57.87%","","5.169","","4.516","","70.479","","4.605","","31.654","","59.392","","88.00%","","1.260","","15.270","","76.00%","","-0.540","","21.840","","64.00%","","0.360","","37.450","","35.00%","","0.180","","56.350","","73.00%","","0.540","","30.340","","55.00%","","1.080","","39.750"
"❌ Underperformed model prediction","15651","Ventura, Kris",22,20,"","0.275","","289.770","","61.40%","","-0.102","","-0.953","","0.150","","0.701","","0.838","","66.93%","","81.04%","","4.096","","2.640","","69.562","","4.035","","30.494","","36.109","","88.00%","","-1.080","","20.580","","80.00%","","-0.360","","22.890","","49.00%","","-0.720","","39.720","","37.00%","","0.180","","53.270","","71.00%","","0.180","","31.000","","42.00%","","-0.360","","45.540"
"","26651","Young, Cameron",22,24,"","0.597","","300.939","","60.05%","","0.489","","0.045","","-0.184","","0.628","","0.024","","64.26%","","57.84%","","4.285","","3.987","","71.568","","3.987","","32.933","","60.132","","82.00%","","-0.540","","18.130","","78.00%","","0.540","","20.600","","61.00%","","0.180","","37.700","","40.00%","","0.540","","59.300","","68.00%","","0.180","","29.300","","41.00%","","-0.900","","49.280"
"✅ Beat model by 117","19840","Ramey, Chad",22,139,"","-0.955","","288.314","","53.50%","","-0.987","","-0.281","","-0.407","","-0.300","","0.403","","65.73%","","50.52%","","3.212","","4.839","","71.695","","3.498","","29.598","","72.878","","87.00%","","0.900","","16.000","","75.00%","","-0.540","","23.270","","53.00%","","-0.180","","38.790","","29.00%","","-1.260","","67.170","","65.00%","","0.000","","32.810","","49.00%","","-0.180","","45.720"
"✅ Beat model by 65","16283","Rodgers, Patrick",27,92,"","-1.014","","294.491","","49.52%","","-0.694","","-0.499","","0.086","","-0.280","","0.183","","53.51%","","55.50%","","3.502","","4.138","","72.687","","3.665","","34.752","","67.393","","81.00%","","-0.720","","18.790","","76.00%","","-0.360","","22.920","","57.00%","","-0.360","","38.920","","38.00%","","0.720","","58.000","","67.00%","","0.540","","29.940","","42.00%","","-0.540","","46.530"
"✅ Beat model by 74","21756","Cole, Eric",27,101,"","-0.753","","287.110","","58.01%","","-0.872","","-0.596","","0.667","","-0.943","","-0.244","","51.52%","","66.92%","","3.412","","5.318","","72.955","","3.228","","35.445","","68.391","","82.00%","","1.080","","15.780","","80.00%","","0.720","","20.010","","53.00%","","0.720","","35.270","","30.00%","","-0.360","","63.380","","67.00%","","0.540","","29.160","","44.00%","","-0.360","","46.650"
"✅ Beat model by 94","18103","Bezuidenhout, Christiaan",27,121,"","-0.741","","281.734","","63.54%","","-0.100","","0.037","","0.071","","-0.207","","0.634","","59.03%","","58.41%","","2.350","","4.071","","72.834","","3.147","","33.013","","68.452","","85.00%","","1.080","","14.720","","85.00%","","0.180","","22.160","","47.00%","","-0.900","","39.520","","38.00%","","0.180","","66.260","","70.00%","","0.540","","30.940","","44.00%","","0.000","","48.440"
"⚠️ Missed model by 25 | ❌ Underperformed model prediction","6430","Scott, Adam",30,5,"","0.993","","296.512","","58.74%","","0.881","","-0.122","","0.337","","0.665","","0.892","","62.09%","","62.81%","","3.979","","3.851","","71.035","","3.772","","30.416","","60.170","","87.00%","","1.800","","14.200","","80.00%","","-0.180","","21.090","","62.00%","","0.900","","34.930","","33.00%","","0.360","","56.830","","66.00%","","-0.180","","31.440","","47.00%","","0.360","","43.540"
