
Tournament: WM Phoenix Open (2026),Last updated: 2026-02-11T16:43:11.377Z
Course: TPC Scottsdale (Stadium Course),Found 123 players from historical_csv
Data Date: 2026-02-23T18:01:31.782Z
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS,Scoring Average,Birdies or Better,Scrambling,Great Shots,Poor Shot Avoidance
"↓ Putting | 📉 SG Putting: trend reversing (6.248) | 📈 SG Around Green: trend continuing (1.189) | 📉 SG Approach: trend reversing (0.456) | ✅ Success aligned with model","28159","Meissner, Mac",5,"T18",-9,1.4235,-0.499,306.9,271.656,0.41075,0.5407,-0.08949999999999997,-0.154,0.12149999999999998,-0.854,0.17224999999999996,0.813,-0.38325000000000004,-0.113,1.51275,-0.47,0.66675,0.6159,26.72175,28.828,54.92100000000001,42.58,0,68.75,5,0.7847500000000001,4.25,2.5
"↑ Finished better than predicted | ↓ Overall | 📉 SG T2G: trend continuing (2.701) | 📉 SG Total: trend reversing (0.979) | 📉 SG OTT: trend reversing (0.936) | ⚠️ Success despite model prediction","29433","Bridgeman, Jacob",62,"T18",-9,1.4235,-0.346,307.15,253.631,0.5895,0.5809000000000001,-0.31475,-0.753,0.06350000000000006,-0.834,-0.53175,-0.157,0.15350000000000003,0.238,1.7382499999999999,0.648,0.6945,0.5592,32.550999999999995,26.668,57.15175000000001,47.366,0,68.75,4.25,0.63975,4,1.25
"↑ Finished better than predicted | ↑ Overall | 📈 SG T2G: trend continuing (31.658) | 📉 SG OTT: trend reversing (1.078) | 📉 SG Total: trend reversing (0.540)","23504","Hoey, Rico",72,"T24",-8,1.1735,-1.745,312.15,285.79,0.66075,0.6069,1.96175,-0.004,0.8892500000000001,-0.18,0.33999999999999997,-0.464,0.7324999999999999,0.64,-0.78825,-1.291,0.6942499999999999,0.6209,28.452499999999997,31.067,58.76050000000001,40.259,0,69,4.5,0.55725,4.25,3
"↑ Finished better than predicted | ↓ Short Game | 📉 SG Around Green: trend continuing (1.170)","23838","Hojgaard, Rasmus",77,"T24",-8,1.1735000000000002,1.589,318.375,283.216,0.393,0.5654,0.08575000000000005,1.052,0.5062500000000001,0.191,-0.44575,-0.259,0.025249999999999995,1.12,1.08775,-0.213,0.77775,0.6846,29.002000000000002,24.951,53.498,35.754,0,69,4.5,0.54275,3.75,2.5
"↓ Short Game | 📉 SG Around Green: trend reversing (0.464) | 📉 SG OTT: trend continuing (0.170) | 📉 Driving Accuracy: trend reversing (0.112) | ❌ Underperformed model prediction","21891","Kitayama, Kurt",13,"T24",-8,1.1735,0.273,319.275,274.165,0.5,0.4805,1.127,0.702,0.8634999999999999,0.331,0.39325,0.139,-0.12975000000000003,0.232,0.046249999999999986,0.159,0.75,0.6157,28.520749999999996,25.638,36.179500000000004,40.24,0,69,4,0.725,4.25,2.5
"❌ Underperformed model prediction","11889","Fox, Ryan",19,"T24",-8,1.1735,-0.427,320.1,314.34,0.411,0.49479999999999996,0.6375,-0.813,0.5045,-0.329,0.006249999999999978,0.048,0.12674999999999995,-0.532,0.53575,0.474,0.6945,0.6347,29.88475,29.638,63.328500000000005,50.581,0,69,4.75,0.64375,3.75,3
"↑ Overall | 📈 SG Total: trend continuing (0.608) | 📈 SG Approach: trend reversing (0.756) | 📉 SG OTT: trend continuing (0.217) | ❌ Underperformed model prediction","16394","Jaeger, Stephan",17,"T28",-7,0.9235000000000001,0.315,312.775,265.424,0.58925,0.4747,-0.06700000000000006,0.49,-0.20525,0.405,0.8455,0.345,-0.70725,-0.26,0.9904999999999999,-0.207,0.6525,0.6047,32.22225,27.785,57.61775,37.47,0,69.25,4.5,0.79125,4.5,3.25
"↑ Finished better than predicted | ↑ Putting | 📈 SG Putting: trend reversing (1.802) | 📈 SG Around Green: trend continuing (0.419)","21883","Ewart, A.J.",82,"T28",-7,0.9235,0.519,303.65,197.903,0.589,0.4061,1.46275,-0.573,0.7070000000000001,-0.318,0.40125,-0.336,0.35450000000000004,0.081,-0.5392499999999999,0.472,0.7637499999999999,0.494,30.154749999999996,18.115,49.0795,37.625,0,69.25,3.75,0.66525,2.75,3
"↑ Approach | 📈 SG Approach: trend continuing (0.652) | 📉 SG T2G: trend reversing (0.429) | 📈 SG Around Green: trend reversing (0.280)","13126","Taylor, Nick",46,"T28",-7,0.9235,0.048,303.825,266.016,0.58925,0.5807,0.34675000000000006,-0.452,0.69075,-0.606,-0.32375,0.193,-0.020250000000000004,-0.04,0.5767500000000001,0.486,0.66675,0.6149,29.1475,27.436,53.446250000000006,51.189,0,69.25,3.75,0.60075,3,2.5
"↓ Driving | 📉 Driving Accuracy: trend reversing (0.056) | 📉 Greens in Regulation: trend reversing (0.052) | ❌ Underperformed model prediction","24968","Griffin, Ben",14,"T28",-7,0.9235000000000001,0.669,303.65,271.465,0.5895,0.6073,0.5885,0.399,0.48349999999999993,0.033,0.9515000000000001,0.215,-0.8465,0.151,0.335,-0.135,0.7084999999999999,0.6292,35.4035,29.607,50.95,37.001,0,69.25,3.5,0.7050000000000001,2.5,1.75
