
Tournament: WM Phoenix Open (2026),Last updated: 2026-02-11T16:43:11.377Z
Course: TPC Scottsdale (Stadium Course),Found 123 players from historical_csv
Data Date: 2026-02-23T18:01:31.782Z
DG ID,Player Name,Finish Position,SG Total Z,SG Total Z Adj,Driving Distance Z,Driving Distance Z Adj,Driving Accuracy Z,Driving Accuracy Z Adj,SG T2G Z,SG T2G Z Adj,SG Approach Z,SG Approach Z Adj,SG Around Green Z,SG Around Green Z Adj,SG OTT Z,SG OTT Z Adj,SG Putting Z,SG Putting Z Adj,Greens in Regulation Z,Greens in Regulation Z Adj,Fairway Proximity Z,Fairway Proximity Z Adj,Rough Proximity Z,Rough Proximity Z Adj
"18474","Smalley, Alex","T35",0.5602,0.5602,0.306653,0.306653,-0.38515,-0.38515,0.172881,0.172881,0.404727,0.404727,-0.51695,-0.51695,0.309848,0.309848,0.851942,0.851942,0.5126,0.5126,-0.580613,0.580613,-0.380338,0.380338
"17365","Mitchell, Keith","T41",0.438072,0.438072,1.427665,1.427665,0.696401,0.696401,-0.218658,-0.218658,-1.158981,-1.158981,-0.235957,-0.235957,1.110166,1.110166,1.250916,1.250916,0.036548,0.036548,0.19942,-0.19942,-0.742442,0.742442
"23816","Valimaki, Sami","T41",0.438072,0.438072,-0.402363,-0.402363,-0.746509,-0.746509,0.21175,0.21175,0.478664,0.478664,0.021384,0.021384,-0.15318,-0.15318,0.539507,0.539507,0.355816,0.355816,-0.838199,0.838199,0.455898,-0.455898
"32457","Keefer, Johnny","T41",0.438072,0.438072,1.149808,1.149808,0.698928,0.698928,0.788179,0.788179,1.133824,1.133824,-0.982213,-0.982213,1.077987,1.077987,-0.412675,-0.412675,1.77827,1.77827,-1.273073,1.273073,-0.991009,0.991009
"21407","Reitan, Kristoffer","T41",0.438072,0.438072,0.641999,0.641999,0.335042,0.335042,0.487284,0.487284,-0.078428,-0.078428,-0.249372,-0.249372,1.268978,1.268978,0.084493,0.084493,0.9858,0.9858,0.051302,-0.051302,-0.105982,0.105982
"23841","Neergaard-Petersen, Rasmus","T41",0.438072,0.438072,0.124609,0.124609,1.239703,1.239703,0.055374,0.055374,-0.51794,-0.51794,-0.477414,-0.477414,1.11404,1.11404,0.798134,0.798134,0.829017,0.829017,-0.285295,0.285295,1.329472,-1.329472
"26651","Young, Cameron","T41",0.438072,0.438072,1.105095,1.105095,0.519512,0.519512,0.063478,0.063478,-0.297928,-0.297928,0.349327,0.349327,0.176959,0.176959,0.784744,0.784744,-0.75307,-0.75307,0.021458,-0.021458,-0.936435,0.936435
"19895","Schauffele, Xander","T41",0.438072,0.438072,1.172164,1.172164,0.158152,0.158152,0.50079,0.50079,0.575706,0.575706,-0.771115,-0.771115,0.976978,0.976978,0.062176,0.062176,0.5126,0.5126,-0.778695,0.778695,-0.695554,0.695554
"23505","McGreevy, Max","T48",0.315945,0.315945,-0.756871,-0.756871,0.340096,0.340096,0.758315,0.758315,0.396769,0.396769,0.210242,0.210242,0.867627,0.867627,-0.611294,-0.611294,0.5126,0.5126,0.292743,-0.292743,-0.278594,0.278594
"24343","Lamprecht, Christo","T48",0.315945,0.315945,1.976993,1.976993,-0.743982,-0.743982,-0.49149,-0.49149,-1.16694,-1.16694,-0.167474,-0.167474,0.519909,0.519909,1.45375,1.45375,-0.117385,-0.117385,1.780646,-1.780646,-0.041876,0.041876
"29197","Brennan, Michael","T48",0.315945,0.315945,3.056486,3.056486,-0.026318,-0.026318,0.621449,0.621449,0.822418,0.822418,-0.563194,-0.563194,0.754701,0.754701,-0.385151,-0.385151,-0.123086,-0.123086,-0.726835,0.726835,-1.236562,1.236562
"19846","Bauchou, Zach","T48",0.315945,0.315945,0.201259,0.201259,-0.20068,-0.20068,0.172731,0.172731,1.106355,1.106355,0.062686,0.062686,-0.99402,-0.99402,0.356262,0.356262,0.039399,0.039399,-0.261995,0.261995,-0.84185,0.84185
