"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"⚠️ Missed model by 10","12808","Grillo, Emiliano",74,64,"","-0.992","","292.652","","60.47%","","-0.781","","-0.668","","-0.060","","-0.052","","0.027","","64.39%","","58.65%","","2.989","","3.281","","71.121","","32.181","","54.402","","85.60%","","1.242","","14.993","","80.30%","","0.414","","20.762","","54.50%","","0.180","","37.966","","33.20%","","-0.900","","58.351","","68.90%","","0.396","","30.227","","51.00%","","0.882","","40.732"
"≈ Near model (-9)","8825","Harman, Brian",74,65,"","-1.380","","293.197","","65.54%","","-0.620","","-0.837","","0.167","","0.050","","-0.274","","62.99%","","60.56%","","2.331","","3.134","","71.362","","32.552","","67.201","","90.60%","","1.728","","14.486","","81.30%","","0.504","","20.965","","61.70%","","0.360","","35.150","","35.40%","","-0.054","","64.743","","66.40%","","0.000","","29.565","","46.60%","","-0.540","","47.632"
"≈ Near model (-7)","28016","Gonzalez, Emilio",74,67,"","-1.794","","291.112","","53.86%","","-2.330","","-1.785","","0.401","","-0.945","","0.053","","56.20%","","64.22%","","2.410","","3.360","","72.327","","37.333","","61.801","","97.00%","","2.556","","14.074","","0.00%","","0.000","","0.000","","60.40%","","1.008","","29.266","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"≈ Near model (-6)","16394","Jaeger, Stephan",74,68,"","-0.311","","305.954","","55.47%","","-0.469","","-0.203","","0.368","","-0.633","","-0.283","","66.23%","","69.31%","","3.580","","4.328","","70.456","","32.627","","54.979","","88.70%","","1.656","","15.225","","75.90%","","-0.054","","20.488","","52.60%","","0.072","","39.150","","38.60%","","0.990","","60.734","","71.20%","","0.234","","29.748","","45.00%","","-0.144","","44.082"
"≈ Near model (-5)","15004","Kim, Chan",74,69,"","-0.403","","282.635","","63.20%","","-0.077","","-0.292","","0.229","","-0.014","","-0.767","","71.28%","","64.51%","","3.025","","3.160","","70.288","","31.174","","54.335","","83.10%","","0.864","","15.362","","80.30%","","-0.072","","23.319","","51.90%","","-0.198","","38.279","","38.30%","","0.468","","57.462","","70.30%","","0.342","","30.809","","47.80%","","0.018","","48.856"
"","20954","Hirata, Kensei",74,73,"","-0.997","","289.316","","70.34%","","-0.483","","-0.853","","-0.061","","0.432","","0.131","","66.63%","","61.80%","","2.089","","3.250","","71.481","","35.635","","66.989","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"","23816","Valimaki, Sami",74,74,"","-0.555","","295.015","","52.79%","","-0.764","","-0.157","","-0.070","","-0.537","","0.063","","67.26%","","62.88%","","2.796","","3.381","","70.650","","29.535","","52.891","","86.50%","","-0.162","","18.122","","81.10%","","0.522","","21.695","","64.90%","","0.486","","38.208","","40.40%","","0.594","","60.134","","68.80%","","0.324","","29.317","","51.20%","","0.792","","42.647"
"","23048","Stanger, Jimmy",74,75,"","-1.064","","290.749","","58.87%","","-0.830","","-0.554","","-0.445","","0.169","","-0.301","","70.39%","","52.58%","","3.165","","3.726","","71.036","","33.567","","51.194","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"","11676","Finau, Tony",74,76,"","-0.136","","298.797","","47.13%","","-0.473","","-0.550","","0.306","","-0.228","","0.218","","62.59%","","66.28%","","3.878","","4.258","","70.130","","31.191","","53.913","","81.30%","","-0.252","","18.745","","83.10%","","0.234","","20.870","","56.50%","","-0.594","","40.077","","38.70%","","0.450","","50.887","","68.50%","","0.414","","30.085","","45.40%","","-0.306","","45.043"
"≈ Near model (+5)","20722","Schmid, Matti",74,79,"","-0.627","","301.787","","54.98%","","-0.157","","-0.474","","0.376","","-0.059","","0.262","","64.46%","","65.00%","","3.148","","3.873","","70.651","","33.721","","50.144","","81.20%","","-1.008","","18.253","","72.60%","","-0.756","","24.760","","58.20%","","0.216","","37.871","","37.40%","","0.558","","54.384","","73.00%","","0.414","","30.215","","55.60%","","0.576","","42.142"
"≈ Near model (+6)","14000","Landry, Andrew",74,80,"","-2.424","","286.777","","53.53%","","-1.988","","-0.942","","-0.403","","-0.643","","1.102","","57.59%","","56.02%","","3.747","","5.492","","72.406","","36.577","","61.431","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"≈ Near model (+7)","24343","Lamprecht, Christo",74,81,"","-1.310","","313.106","","46.18%","","-1.858","","-1.329","","-0.336","","-0.193","","0.410","","60.37%","","61.29%","","2.965","","3.593","","71.735","","37.816","","54.277","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"≈ Near model (+8)","25094","Fishburn, Patrick",74,82,"","-0.111","","296.343","","57.64%","","-0.623","","-0.538","","-0.134","","0.050","","-0.234","","69.78%","","56.85%","","3.798","","3.045","","69.961","","36.041","","50.323","","91.90%","","-0.522","","18.140","","83.50%","","0.072","","22.882","","58.00%","","-0.738","","42.225","","37.10%","","0.234","","58.125","","69.50%","","-0.108","","32.951","","54.00%","","0.270","","44.575"
"≈ Near model (+9)","25475","Nyholm, Pontus",74,83,"","0.018","","295.473","","43.46%","","-0.493","","0.211","","-0.270","","-0.434","","0.420","","65.67%","","59.94%","","2.967","","3.381","","70.247","","33.023","","58.759","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 10","13997","Svensson, Adam",74,84,"","-0.119","","295.718","","58.26%","","0.647","","0.515","","0.094","","0.038","","-0.651","","70.99%","","58.45%","","2.922","","3.404","","70.135","","29.092","","47.103","","82.60%","","-0.792","","19.665","","80.20%","","0.162","","21.108","","53.10%","","-0.360","","39.471","","32.60%","","-0.774","","64.831","","69.50%","","0.324","","29.939","","50.10%","","0.486","","43.413"
"✅ Beat model by 11","17723","Lower, Justin",74,85,"","-0.370","","293.533","","50.18%","","-0.298","","0.163","","0.088","","-0.549","","0.092","","69.46%","","53.53%","","3.818","","4.701","","70.558","","30.438","","46.388","","84.70%","","0.990","","16.606","","79.60%","","-0.198","","21.796","","55.10%","","0.126","","38.189","","41.30%","","0.090","","60.931","","65.40%","","-0.216","","30.764","","40.70%","","-1.026","","45.115"
"✅ Beat model by 13","21943","Lebioda, Hank",74,87,"","-0.916","","293.304","","56.52%","","-0.616","","-0.392","","-0.408","","0.183","","0.061","","66.71%","","55.58%","","2.289","","3.586","","71.016","","35.057","","55.747","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 18","16591","Rozo, Marcelo",74,92,"","-2.242","","283.539","","61.04%","","-0.243","","-0.177","","0.219","","-0.285","","-2.181","","64.11%","","49.03%","","2.321","","5.377","","73.063","","32.408","","61.388","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 19","19729","Kanaya, Takumi",74,93,"","0.359","","292.208","","67.94%","","-0.418","","-1.200","","0.179","","0.603","","0.202","","62.60%","","65.98%","","4.055","","2.673","","69.674","","37.348","","63.065","","84.40%","","-0.234","","17.932","","80.90%","","-0.468","","23.387","","58.70%","","-0.018","","35.231","","34.00%","","0.342","","59.183","","59.30%","","-0.864","","34.590","","41.30%","","-0.828","","49.782"
"✅ Beat model by 23","9171","Villegas, Camilo",74,97,"","-0.650","","289.065","","51.07%","","-0.661","","0.079","","0.203","","-0.943","","0.035","","69.19%","","60.28%","","2.680","","3.401","","70.781","","33.251","","53.525","","89.60%","","0.144","","17.250","","82.10%","","0.846","","19.919","","62.60%","","0.990","","32.255","","31.40%","","0.036","","56.493","","67.40%","","-0.414","","32.845","","45.00%","","-1.494","","50.176"
"✅ Beat model by 24","24956","Blanchet, Chandler",74,98,"","-1.158","","287.989","","60.54%","","-0.116","","0.551","","-0.559","","-0.107","","-1.294","","63.35%","","54.97%","","2.887","","5.054","","72.064","","30.378","","70.783","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 25","21074","Nakajima, Keita",74,99,"","-1.854","","301.862","","58.49%","","-0.568","","0.645","","-0.720","","-0.493","","-0.446","","64.98%","","42.04%","","2.826","","4.440","","72.256","","32.397","","47.678","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","55.30%","","0.162","","33.606","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","53.00%","","1.062","","44.279"
"✅ Beat model by 26","12333","Block, Michael",74,100,"","-3.134","","275.779","","58.03%","","-2.729","","-0.656","","-0.999","","-1.074","","0.042","","52.95%","","49.52%","","2.509","","4.796","","74.002","","30.595","","49.525","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","63.90%","","0.414","","32.199","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 27","14502","Cauley, Bud",74,101,"","-1.080","","295.999","","59.52%","","0.201","","0.551","","-0.359","","0.009","","-0.520","","67.67%","","51.52%","","2.764","","3.450","","70.976","","31.906","","56.880","","88.40%","","1.656","","15.590","","82.80%","","0.684","","19.836","","53.50%","","-0.144","","35.369","","36.10%","","0.162","","64.168","","72.20%","","0.486","","30.652","","43.30%","","-0.450","","46.118"
"✅ Beat model by 28","21889","Kang, Jeffrey",74,102,"","-1.920","","292.227","","37.90%","","-1.452","","-0.038","","0.297","","-1.711","","-0.578","","55.68%","","57.15%","","2.447","","4.828","","72.715","","37.343","","43.804","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 29","26657","Fisk, Steven",74,103,"","-0.333","","288.003","","56.94%","","0.368","","-0.200","","0.535","","0.032","","-0.950","","64.79%","","69.17%","","3.046","","3.488","","70.298","","31.613","","59.399","","91.50%","","0.954","","16.201","","84.90%","","0.054","","23.064","","51.40%","","-0.666","","44.983","","38.30%","","1.134","","51.065","","69.80%","","-0.198","","33.271","","44.80%","","-0.072","","43.927"
"✅ Beat model by 30","26649","Thorbjornsen, Michael",74,104,"","-0.245","","304.598","","66.31%","","0.250","","-0.206","","0.034","","0.422","","-1.168","","70.16%","","65.28%","","3.618","","3.670","","70.467","","30.235","","54.292","","88.10%","","-0.162","","18.131","","78.60%","","-0.486","","23.920","","64.10%","","0.378","","39.429","","39.00%","","0.108","","56.455","","65.50%","","-0.198","","31.242","","51.60%","","0.702","","40.804"
"✅ Beat model by 31","17881","Yu, Kevin",74,105,"","0.253","","305.460","","60.16%","","0.557","","0.155","","-0.265","","0.668","","-0.992","","71.86%","","55.26%","","2.478","","3.403","","69.793","","32.115","","50.632","","83.80%","","-0.162","","17.736","","84.50%","","0.324","","21.792","","49.90%","","-0.882","","41.712","","33.90%","","-0.720","","58.410","","71.50%","","0.396","","29.441","","51.00%","","0.864","","41.877"
"✅ Beat model by 32","25157","Hodges, Lee",74,106,"","-0.726","","299.039","","53.86%","","-0.448","","0.009","","-0.569","","0.112","","0.469","","66.20%","","58.27%","","2.208","","3.551","","70.664","","34.108","","50.010","","85.30%","","0.288","","17.638","","83.20%","","0.198","","21.687","","53.20%","","0.522","","36.421","","33.90%","","-0.180","","53.938","","69.90%","","0.486","","29.859","","51.10%","","1.170","","42.914"
"✅ Beat model by 34","29770","Mouw, William",74,108,"","-0.265","","289.561","","67.64%","","-0.538","","-0.039","","-0.562","","0.064","","-0.119","","70.98%","","68.97%","","2.957","","4.043","","70.338","","36.024","","53.694","","75.50%","","-1.422","","20.746","","75.30%","","-0.936","","23.216","","63.10%","","0.702","","37.488","","37.20%","","-0.054","","65.300","","67.10%","","-0.162","","31.771","","51.00%","","0.810","","44.237"
"✅ Beat model by 35","32055","Shipley, Neal",74,109,"","-1.222","","303.058","","61.66%","","-0.503","","-0.594","","-0.569","","0.661","","-0.729","","64.59%","","52.57%","","2.836","","4.060","","71.540","","31.278","","84.763","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","49.40%","","0.576","","27.733","","0.00%","","0.000","","0.000","","67.40%","","-0.324","","31.371","","0.00%","","0.000","","0.000"
"✅ Beat model by 36","27364","Thompson, Davis",74,110,"","-0.709","","304.441","","64.08%","","0.167","","-0.100","","-0.096","","0.363","","-1.085","","71.16%","","57.33%","","2.432","","2.453","","70.694","","32.438","","55.379","","85.70%","","0.450","","16.814","","83.60%","","0.648","","20.619","","52.50%","","-0.846","","39.173","","30.50%","","-1.080","","65.808","","71.00%","","0.702","","27.877","","42.70%","","-0.702","","47.180"
"✅ Beat model by 38","26653","Eckroat, Austin",74,112,"","-0.748","","301.988","","62.39%","","0.049","","0.336","","-0.458","","0.179","","-0.347","","67.33%","","52.73%","","2.923","","4.181","","70.869","","29.056","","51.476","","84.10%","","-0.342","","20.098","","80.80%","","0.234","","22.312","","61.80%","","0.828","","34.496","","31.00%","","-0.612","","66.044","","72.50%","","0.504","","30.008","","51.10%","","0.702","","41.236"
"✅ Beat model by 39","16333","Hubbard, Mark",74,113,"","-0.568","","296.026","","59.17%","","-0.130","","-0.424","","0.227","","0.067","","-0.589","","65.93%","","68.12%","","2.314","","3.048","","70.695","","29.928","","60.006","","84.40%","","-0.432","","17.445","","75.10%","","-0.288","","22.422","","52.70%","","-0.702","","39.734","","38.80%","","0.306","","57.516","","66.20%","","-0.018","","30.997","","53.50%","","0.774","","43.119"
"✅ Beat model by 42","12423","Kirk, Chris",74,116,"","-1.219","","297.680","","56.05%","","-0.038","","-0.047","","0.006","","0.002","","-1.691","","66.82%","","60.41%","","1.973","","3.585","","71.573","","31.910","","60.619","","88.30%","","0.792","","16.258","","83.10%","","1.494","","18.743","","60.30%","","0.900","","34.501","","31.60%","","-0.558","","65.204","","65.30%","","-0.234","","30.786","","51.40%","","0.774","","43.016"
"✅ Beat model by 45","8480","Streelman, Kevin",74,119,"","-1.331","","291.347","","53.22%","","-1.086","","-0.530","","-0.223","","-0.333","","0.355","","63.35%","","53.74%","","1.903","","3.783","","71.276","","36.303","","54.140","","89.10%","","0.432","","15.558","","83.30%","","1.458","","19.055","","67.10%","","0.522","","37.530","","18.50%","","-1.602","","66.013","","61.50%","","-0.360","","31.860","","41.50%","","-0.054","","49.414"
"✅ Beat model by 51","14926","Malnati, Peter",74,125,"","-0.797","","299.543","","44.81%","","-1.050","","-1.189","","1.098","","-0.959","","0.394","","58.82%","","62.16%","","3.092","","5.091","","71.200","","40.128","","61.342","","80.60%","","-0.936","","19.953","","73.50%","","-0.792","","22.959","","58.20%","","0.126","","35.787","","30.50%","","-0.450","","69.826","","68.90%","","0.252","","31.671","","31.80%","","-2.268","","54.101"
"✅ Beat model by 52","13508","Vegas, Jhonattan",74,126,"","-1.369","","303.970","","55.34%","","-0.741","","-0.200","","-0.518","","-0.024","","-0.468","","65.79%","","54.03%","","2.898","","4.198","","70.850","","30.211","","59.487","","83.70%","","-0.342","","18.473","","82.10%","","-0.324","","23.729","","60.10%","","0.414","","36.593","","39.10%","","0.342","","67.115","","66.80%","","-0.036","","31.709","","48.60%","","0.342","","42.454"
"✅ Beat model by 54","7301","Dufner, Jason",74,128,"","-1.723","","293.197","","63.36%","","-0.815","","-0.030","","-0.173","","-0.610","","-1.544","","65.75%","","60.00%","","3.310","","4.481","","71.089","","30.492","","55.552","","85.90%","","1.602","","16.269","","71.30%","","-1.638","","22.182","","45.70%","","-1.746","","47.273","","0.00%","","0.000","","0.000","","58.80%","","-1.800","","33.321","","0.00%","","0.000","","0.000"
"✅ Beat model by 55","17550","Van Rooyen, Erik",74,129,"","-1.194","","307.812","","54.60%","","-0.790","","-0.769","","-0.073","","0.052","","0.509","","62.21%","","54.94%","","3.387","","5.079","","71.457","","34.099","","51.394","","86.80%","","0.018","","18.238","","80.00%","","0.036","","22.951","","60.10%","","-0.162","","38.007","","33.20%","","-0.018","","57.498","","65.10%","","-0.072","","31.391","","42.70%","","-0.342","","45.639"
"✅ Beat model by 57","19477","Schenk, Adam",74,131,"","-1.661","","302.846","","47.23%","","-0.728","","-0.773","","0.233","","-0.188","","0.645","","63.78%","","62.63%","","3.631","","4.832","","71.741","","32.855","","60.400","","81.60%","","-0.864","","19.136","","75.20%","","0.378","","20.839","","54.70%","","-0.576","","36.847","","23.00%","","-1.134","","74.584","","63.60%","","-0.054","","30.188","","48.50%","","-0.018","","43.481"
"✅ Beat model by 58","25003","Walker, Danny",74,132,"","-0.867","","292.388","","47.48%","","-0.393","","-0.005","","0.242","","-0.745","","0.113","","57.86%","","58.73%","","4.133","","5.601","","71.103","","35.011","","49.681","","75.60%","","-0.936","","19.183","","78.20%","","0.090","","22.959","","66.30%","","1.368","","34.075","","25.10%","","-0.810","","63.613","","67.70%","","-0.018","","31.639","","37.90%","","-1.350","","46.673"
"✅ Beat model by 62","27183","Salinda, Isaiah",74,136,"","-1.022","","301.867","","56.21%","","-0.309","","-0.045","","-0.559","","0.295","","-0.180","","62.84%","","50.47%","","3.584","","5.312","","71.437","","27.436","","54.704","","84.80%","","-0.090","","18.798","","81.10%","","-0.036","","22.512","","49.30%","","-1.116","","39.562","","27.10%","","-0.702","","62.303","","72.10%","","0.234","","30.335","","40.70%","","-0.486","","45.445"
"✅ Beat model by 63","25908","Whaley, Vince",74,137,"","-0.808","","300.583","","46.53%","","-2.101","","-1.049","","-0.445","","-0.608","","0.795","","58.82%","","63.54%","","3.879","","3.354","","71.047","","38.826","","56.459","","86.00%","","0.486","","17.864","","77.50%","","-0.216","","22.879","","60.60%","","0.216","","38.761","","37.50%","","-0.558","","68.187","","66.70%","","-0.162","","31.640","","48.20%","","0.162","","45.791"
"✅ Beat model by 64","23475","Novak, Andrew",74,138,"","-1.748","","299.136","","54.09%","","-1.582","","-0.938","","-0.092","","-0.551","","0.847","","59.86%","","56.31%","","2.877","","4.737","","71.758","","33.254","","53.188","","85.90%","","0.594","","15.859","","78.60%","","-0.018","","21.600","","51.90%","","-0.864","","40.916","","31.60%","","0.126","","65.596","","67.60%","","0.270","","29.593","","42.40%","","-0.180","","43.235"
"✅ Beat model by 66","8820","Snedeker, Brandt",74,140,"","-1.246","","281.411","","65.33%","","-1.326","","-0.755","","-0.307","","-0.263","","0.376","","64.85%","","55.19%","","2.228","","3.291","","71.208","","33.680","","63.641","","89.60%","","1.512","","13.701","","81.10%","","0.756","","21.353","","48.70%","","-0.702","","43.361","","34.80%","","-0.648","","65.824","","66.80%","","-0.090","","30.596","","40.30%","","-0.972","","53.379"
"✅ Beat model by 70","30814","Sargent, Gordon",74,144,"","-1.079","","303.249","","50.95%","","-1.334","","-1.371","","-0.118","","0.155","","0.153","","66.60%","","52.72%","","2.746","","3.314","","71.428","","34.622","","69.698","","84.20%","","0.216","","15.461","","79.50%","","-0.954","","25.374","","59.80%","","0.342","","39.391","","20.60%","","-1.908","","86.347","","58.30%","","-1.332","","36.281","","32.90%","","-1.458","","50.105"
"✅ Beat model by 71","11451","Garnett, Brice",74,145,"","-1.671","","287.522","","67.04%","","-1.256","","-0.489","","-0.043","","-0.724","","0.274","","62.16%","","63.25%","","1.591","","4.046","","72.010","","32.595","","62.422","","78.30%","","-0.594","","19.105","","80.80%","","-0.126","","22.465","","60.70%","","-0.576","","42.270","","34.10%","","-1.242","","68.959","","70.60%","","0.108","","31.476","","42.30%","","-0.216","","47.208"
"✅ Beat model by 72","5768","Hoffman, Charley",74,146,"","-1.475","","300.633","","50.86%","","-1.257","","-0.402","","-0.580","","-0.275","","-0.763","","61.98%","","54.35%","","3.461","","4.396","","71.816","","33.527","","55.132","","85.20%","","-0.270","","18.216","","73.00%","","-0.540","","24.498","","57.20%","","-0.630","","39.190","","41.50%","","0.738","","52.223","","63.20%","","0.720","","28.958","","45.30%","","-0.180","","42.281"
"✅ Beat model by 74","28469","Highsmith, Joe",74,148,"","-1.295","","297.907","","54.00%","","-0.908","","-0.325","","-0.616","","0.037","","-0.546","","64.86%","","56.06%","","2.755","","4.342","","71.231","","31.319","","50.285","","78.40%","","-0.828","","18.971","","73.40%","","-0.360","","22.740","","52.10%","","-0.684","","39.062","","30.90%","","0.216","","56.585","","67.00%","","0.108","","30.775","","42.80%","","0.054","","44.386"
"✅ Beat model by 75","17032","Tosti, Alejandro",74,149,"","-3.401","","301.450","","46.26%","","-1.840","","-1.060","","-0.078","","-0.701","","-0.152","","57.52%","","52.72%","","3.185","","6.274","","73.890","","35.604","","55.078","","74.10%","","-1.278","","20.721","","69.20%","","-0.558","","22.773","","60.60%","","1.062","","30.716","","31.70%","","-0.558","","59.991","","65.00%","","0.000","","30.395","","47.70%","","0.324","","42.565"
"✅ Beat model by 76","29279","Suber, Jackson",74,150,"","-1.832","","289.225","","52.24%","","-1.175","","-0.412","","-0.361","","-0.403","","-1.180","","68.70%","","70.74%","","2.701","","4.318","","72.001","","30.078","","49.026","","81.40%","","-0.072","","18.049","","79.00%","","0.036","","23.370","","54.80%","","-0.396","","40.137","","32.50%","","-0.954","","59.647","","69.30%","","-0.018","","31.197","","51.20%","","0.702","","39.605"
"✅ Beat model by 77","14140","Higgs, Harry",74,151,"","-1.842","","288.679","","53.17%","","-1.916","","-0.621","","-0.874","","-0.420","","-0.382","","64.19%","","53.96%","","3.022","","4.352","","71.968","","33.224","","41.130","","83.20%","","-0.090","","19.176","","77.60%","","-0.216","","23.264","","57.00%","","-0.216","","39.340","","36.10%","","0.576","","55.961","","63.20%","","-0.810","","34.822","","54.10%","","0.432","","43.912"
"✅ Beat model by 79","18628","Campbell, Brian",74,153,"","-2.533","","275.811","","61.43%","","-2.755","","-1.162","","-0.696","","-0.898","","-0.396","","58.71%","","55.56%","","2.726","","5.409","","72.461","","31.010","","55.257","","87.90%","","-0.234","","19.941","","80.90%","","0.342","","21.498","","55.20%","","-0.324","","36.948","","37.90%","","0.252","","57.717","","67.50%","","0.540","","29.890","","40.30%","","-0.162","","47.360"
"✅ Beat model by 80","17786","Davis, Cam",74,154,"","-3.591","","295.612","","54.23%","","-2.381","","-0.736","","-0.270","","-1.375","","-1.025","","54.41%","","54.17%","","2.258","","5.292","","73.739","","33.019","","57.862","","81.70%","","0.648","","15.767","","81.90%","","0.288","","21.911","","47.00%","","-0.054","","37.601","","27.00%","","-1.116","","67.491","","66.30%","","-0.108","","29.870","","47.90%","","-0.558","","43.188"
"✅ Beat model by 82","21412","Capan III, Frankie",74,156,"","-2.839","","280.421","","39.01%","","-3.151","","-1.310","","0.514","","-2.355","","-0.581","","55.04%","","63.31%","","2.244","","4.050","","73.360","","32.269","","56.145","","84.20%","","0.360","","19.139","","72.20%","","-0.918","","24.726","","50.60%","","-0.450","","39.032","","36.90%","","0.108","","50.326","","58.70%","","-0.882","","34.070","","44.40%","","-1.386","","51.909"
