"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Beat model by 88","19483","Burns, Sam",27,115,"","-0.777","","308.270","","51.53%","","-0.611","","0.208","","-0.879","","0.060","","0.010","","69.02%","","56.96%","","3.616","","4.671","","70.855","","32.164","","48.206","","81.80%","","-0.090","","17.586","","80.70%","","0.468","","20.171","","56.80%","","0.036","","37.913","","35.50%","","0.108","","65.048","","68.10%","","0.144","","30.196","","43.10%","","-0.684","","48.447"
"✅ Beat model by 93","32457","Keefer, Johnny",27,120,"","-0.254","","308.076","","57.21%","","-0.093","","0.185","","-0.923","","0.644","","-0.262","","75.85%","","47.72%","","3.739","","3.491","","70.727","","28.115","","50.081","","71.10%","","-1.674","","18.848","","80.70%","","-0.360","","24.367","","52.70%","","0.810","","36.984","","39.00%","","1.368","","56.141","","69.40%","","0.450","","29.213","","43.90%","","-0.378","","40.278"
"✅ Beat model by 94","23505","McGreevy, Max",27,121,"","-0.387","","294.162","","59.00%","","0.330","","0.033","","0.055","","0.242","","-0.965","","67.56%","","55.83%","","2.493","","3.521","","70.413","","32.880","","63.801","","91.90%","","1.152","","18.259","","80.40%","","0.180","","21.156","","57.70%","","-0.234","","37.036","","31.90%","","0.036","","52.088","","63.50%","","-0.486","","32.289","","50.30%","","0.306","","42.330"
"✅ Beat model by 95","19960","Pavon, Matthieu",27,122,"","0.003","","294.913","","53.18%","","-1.133","","-1.058","","-0.136","","0.061","","0.736","","64.75%","","64.38%","","4.454","","3.784","","70.192","","34.532","","59.613","","85.60%","","-1.566","","21.274","","78.40%","","-0.342","","23.035","","58.00%","","0.468","","37.806","","39.30%","","-0.036","","65.664","","61.60%","","-0.342","","32.885","","44.90%","","-0.162","","47.224"
"✅ Beat model by 115","17538","Homa, Max",27,142,"","-0.730","","300.999","","54.98%","","-1.002","","-0.516","","-0.233","","-0.253","","-0.240","","64.54%","","62.26%","","1.882","","3.251","","70.729","","32.506","","74.710","","79.80%","","0.036","","17.915","","83.50%","","0.144","","20.673","","52.40%","","-0.522","","38.832","","35.80%","","-0.036","","63.146","","64.60%","","-0.396","","31.046","","46.90%","","0.162","","44.575"
"✅ Beat model by 120","21756","Cole, Eric",27,147,"","-2.586","","297.310","","47.88%","","-2.021","","-0.905","","0.000","","-1.116","","-0.384","","58.90%","","61.99%","","2.939","","5.082","","72.788","","39.831","","51.770","","81.30%","","1.044","","15.957","","79.20%","","0.684","","19.935","","52.40%","","0.666","","34.826","","28.90%","","-0.414","","65.024","","66.30%","","0.486","","29.450","","44.30%","","-0.468","","46.873"
"⚠️ Missed model by 35 | ❌ Underperformed model prediction","23323","MacIntyre, Robert",38,3,"","1.474","","296.227","","63.09%","","0.277","","-0.371","","0.104","","0.544","","1.038","","68.18%","","74.52%","","4.160","","2.910","","68.087","","31.932","","39.927","","90.30%","","-0.486","","18.442","","80.20%","","-0.234","","22.293","","67.00%","","1.404","","33.842","","37.70%","","0.630","","56.566","","68.70%","","0.198","","29.879","","48.10%","","0.612","","39.351"
"⚠️ Missed model by 32 | ❌ Underperformed model prediction","16841","Lee, Min Woo",38,6,"","1.025","","314.958","","59.00%","","1.033","","-0.687","","1.040","","0.680","","0.553","","65.51%","","71.23%","","3.825","","3.560","","68.813","","32.534","","58.102","","92.50%","","0.666","","14.954","","75.00%","","-0.306","","22.614","","52.70%","","-0.900","","40.902","","29.50%","","-1.476","","69.836","","70.10%","","-0.198","","30.799","","46.10%","","-0.144","","47.889"
"≈ Near model (+5)","14509","Dahmen, Joel",38,43,"","-0.340","","294.539","","75.29%","","0.412","","-0.403","","0.185","","0.630","","0.263","","69.66%","","69.31%","","3.466","","4.034","","70.467","","31.609","","52.622","","82.40%","","-0.126","","17.119","","75.90%","","0.180","","21.735","","54.80%","","0.270","","35.853","","32.40%","","0.342","","64.488","","65.40%","","0.144","","31.422","","55.50%","","-0.036","","43.149"
"≈ Near model (+6)","21554","Poston, J.T.",38,44,"","0.799","","300.583","","62.38%","","0.352","","0.107","","-0.191","","0.437","","0.275","","71.75%","","59.32%","","3.606","","3.989","","69.086","","30.157","","49.556","","81.70%","","-0.864","","19.427","","81.00%","","0.072","","21.346","","54.00%","","-0.360","","39.607","","32.20%","","1.206","","55.737","","72.90%","","0.432","","29.854","","44.90%","","0.252","","47.171"
