run_timestamp,event_id,season,market_type,player_id,player_name,opponent_ids,p_model,p_win,p_top_n,score,summary
2026-03-24T10:34:35-05:00,20,2026,top_10,29925,"Yellamaraju, Sudarshan",,0.999999999999833,0.01553507265240902,0.999999999999833,0.8678467383421558,"Yellamaraju, Sudarshan | market=top_10 | p_model=1.000000 | p_win=0.015535 | score=0.867847"
2026-03-24T10:34:35-05:00,20,2026,top_10,24550,"Ghim, Doug",,3.5975730212980236e-9,0.007799354087212183,3.5975730212980236e-9,0.17878743975105074,"Ghim, Doug | market=top_10 | p_model=0.000000 | p_win=0.007799 | score=0.178787"
2026-03-24T10:34:35-05:00,20,2026,top_10,19870,"McCarthy, Denny",,4.553909258605078e-9,0.007825323553890508,4.553909258605078e-9,0.18211160312754052,"McCarthy, Denny | market=top_10 | p_model=0.000000 | p_win=0.007825 | score=0.182112"
2026-03-24T10:34:35-05:00,20,2026,top_10,20766,"Brown, Dan",,8.176894204852151e-9,0.007890182184842174,8.176894204852151e-9,0.19036574400839296,"Brown, Dan | market=top_10 | p_model=0.000000 | p_win=0.007890 | score=0.190366"
2026-03-24T10:34:35-05:00,20,2026,top_10,27819,"Castillo, Ricky",,6.432912981755232e-9,0.007863536343449032,6.432912981755232e-9,0.18698294054454886,"Castillo, Ricky | market=top_10 | p_model=0.000000 | p_win=0.007864 | score=0.186983"
2026-03-24T10:34:35-05:00,20,2026,top_10,23465,"Greyserman, Max",,5.981632570813084e-10,0.007604500219156151,5.981632570813084e-10,0.15348672496571555,"Greyserman, Max | market=top_10 | p_model=0.000000 | p_win=0.007605 | score=0.153487"
2026-03-24T10:34:35-05:00,20,2026,top_10,30620,"Chatfield, Davis",,1.2441658836485083e-9,0.007683442881507219,1.2441658836485083e-9,0.16381425738588104,"Chatfield, Davis | market=top_10 | p_model=0.000000 | p_win=0.007683 | score=0.163814"
2026-03-24T10:34:35-05:00,20,2026,top_10,23504,"Hoey, Rico",,4.006955419826186e-12,0.0070861989821634115,4.006955419826186e-12,0.0828956058930329,"Hoey, Rico | market=top_10 | p_model=0.000000 | p_win=0.007086 | score=0.082896"
2026-03-24T10:34:35-05:00,20,2026,top_10,12577,"Woodland, Gary",,7.54340583392966e-12,0.007149700470419103,7.54340583392966e-12,0.09181698239549307,"Woodland, Gary | market=top_10 | p_model=0.000000 | p_win=0.007150 | score=0.091817"
2026-03-24T10:34:35-05:00,20,2026,top_10,20954,"Hirata, Kensei",,1.0042300355176271e-10,0.007415526492223539,1.0042300355176271e-10,0.12832249555682665,"Hirata, Kensei | market=top_10 | p_model=0.000000 | p_win=0.007416 | score=0.128322"
2026-03-24T10:34:35-05:00,20,2026,top_10,27774,"Gotterup, Chris",,9.212907035809149e-12,0.007169886717096726,9.212907035809149e-12,0.09463637373477296,"Gotterup, Chris | market=top_10 | p_model=0.000000 | p_win=0.007170 | score=0.094636"
2026-03-24T10:34:35-05:00,20,2026,top_10,21688,"Kim, S.H.",,1.1250064842513852e-10,0.007427412017210123,1.1250064842513852e-10,0.12992400155503345,"Kim, S.H. | market=top_10 | p_model=0.000000 | p_win=0.007427 | score=0.129924"
