,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,dg_id,player_name,am,event_name,course_name,course,early_late,pga_number,current_round,start_hole,r1_teetime,r2_teetime,r3_teetime,r4_teetime,unofficial
,27164,"Phillips, Chandler",0,Farmers Insurance Open,,,,57900,1,1,2026-01-29 11:00,2026-01-30 9:54,,,1899-12-30 0:00
,27900,"Potgieter, Aldrich",0,Farmers Insurance Open,,,1,63343,1,10,2026-01-29 9:32,2026-01-30 10:38,,,1899-12-30 0:00
,10104,"Power, Seamus",0,Farmers Insurance Open,,,,28252,1,1,2026-01-29 10:16,2026-01-30 9:10,,,1899-12-30 0:00
,14704,"Putnam, Andrew",0,Farmers Insurance Open,,,1,34256,1,1,2026-01-29 9:54,2026-01-30 11:00,,,1899-12-30 0:00
,18554,"Rai, Aaron",0,Farmers Insurance Open,,,1,46414,1,10,2026-01-29 9:43,2026-01-30 10:49,,,1899-12-30 0:00
,19840,"Ramey, Chad",0,Farmers Insurance Open,,,1,47983,1,1,2026-01-29 9:10,2026-01-30 10:16,,,1899-12-30 0:00
,21407,"Reitan, Kristoffer",0,Farmers Insurance Open,,,,49855,1,10,2026-01-29 11:00,2026-01-30 9:54,,,1899-12-30 0:00
,19872,"Riley, Davis",0,Farmers Insurance Open,,,,47995,1,10,2026-01-29 11:00,2026-01-30 9:43,,,1899-12-30 0:00
,16283,"Rodgers, Patrick",0,Farmers Insurance Open,,,,36699,1,1,2026-01-29 10:27,2026-01-30 9:21,,,1899-12-30 0:00
,6093,"Rose, Justin",0,Farmers Insurance Open,,,,22405,1,10,2026-01-29 10:38,2026-01-30 9:32,,,1899-12-30 0:00
,22736,"Rosenmueller, Thomas",0,Farmers Insurance Open,,,1,60882,1,1,2026-01-29 10:05,2026-01-30 11:11,,,1899-12-30 0:00
,18424,"Roy, Kevin",0,Farmers Insurance Open,,,,39335,1,1,2026-01-29 10:16,2026-01-30 9:10,,,1899-12-30 0:00
,16591,"Rozo, Marcelo",0,Farmers Insurance Open,,,,37076,1,1,2026-01-29 11:00,2026-01-30 9:54,,,1899-12-30 0:00
,16715,"Ryder, Sam",0,Farmers Insurance Open,,,1,37275,1,10,2026-01-29 9:54,2026-01-30 11:00,,,1899-12-30 0:00
,14792,"Saddier, Adrien",0,Farmers Insurance Open,,,,34371,1,10,2026-01-29 10:16,2026-01-30 11:22,,,1899-12-30 0:00
,27183,"Salinda, Isaiah",0,Farmers Insurance Open,,,,56781,1,1,2026-01-29 11:11,2026-01-30 10:05,,,1899-12-30 0:00
,30814,"Sargent, Gordon",0,Farmers Insurance Open,,,,64442,1,1,2026-01-29 10:49,2026-01-30 9:43,,,1899-12-30 0:00
,19895,"Schauffele, Xander",0,Farmers Insurance Open,,,1,48081,1,1,2026-01-29 9:43,2026-01-30 10:49,,,1899-12-30 0:00
,19477,"Schenk, Adam",0,Farmers Insurance Open,,,1,47347,1,1,2026-01-29 9:32,2026-01-30 10:38,,,1899-12-30 0:00
,20722,"Schmid, Matti",0,Farmers Insurance Open,,,,48867,1,10,2026-01-29 10:38,2026-01-30 9:21,,,1899-12-30 0:00
,6430,"Scott, Adam",0,Farmers Insurance Open,,,,24502,1,10,2026-01-29 10:49,2026-01-30 9:43,,,1899-12-30 0:00
,32055,"Shipley, Neal",0,Farmers Insurance Open,,,,63807,1,10,2026-01-29 10:16,2026-01-30 11:22,,,1899-12-30 0:00
,18474,"Smalley, Alex",0,Farmers Insurance Open,,,,46340,1,10,2026-01-29 10:27,2026-01-30 9:21,,,1899-12-30 0:00
,18586,"Smith, Jordan",0,Farmers Insurance Open,,,,46464,1,10,2026-01-29 11:22,2026-01-30 10:05,,,1899-12-30 0:00
,22985,"Smotherman, Austin",0,Farmers Insurance Open,,,,50095,1,1,2026-01-29 11:11,2026-01-30 10:05,,,1899-12-30 0:00
,8820,"Snedeker, Brandt",0,Farmers Insurance Open,,,,27649,1,10,2026-01-29 11:00,2026-01-30 9:54,,,1899-12-30 0:00
,17536,"Spaun, J.J.",0,Farmers Insurance Open,,,1,39324,1,1,2026-01-29 9:43,2026-01-30 10:49,,,1899-12-30 0:00
,25569,"Stevens, Sam",0,Farmers Insurance Open,,,,55893,1,10,2026-01-29 10:16,2026-01-30 9:10,,,1899-12-30 0:00
,8480,"Streelman, Kevin",0,Farmers Insurance Open,,,,27214,1,1,2026-01-29 10:27,2026-01-30 9:21,,,1899-12-30 0:00
,29279,"Suber, Jackson",0,Farmers Insurance Open,,,1,60019,1,1,2026-01-29 9:54,2026-01-30 11:00,,,1899-12-30 0:00
,13997,"Svensson, Adam",0,Farmers Insurance Open,,,,40115,1,1,2026-01-29 10:16,2026-01-30 9:10,,,1899-12-30 0:00
,26850,"Svensson, Jesper",0,Farmers Insurance Open,,,,57586,1,1,2026-01-29 11:11,2026-01-30 10:05,,,1899-12-30 0:00
