,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,18554,"Rai, Aaron",0.87,0.08,0.00,0.95,20.08,0.03,278.00,0.76,0.06,0.00,0.97,28.96,0.04,463.00,0.85,0.14,0.00,0.96,15.25,0.03,71.00,0.37,0.09,0.00,0.97,53.40,0.07,89.00,0.52,0.05,0.00,0.97,43.71,0.04,243.00,0.60,0.03,0.00,0.93,39.83,-0.02,71
,32457,"Keefer, Johnny",0.81,0.06,0.00,0.95,23.74,-0.02,64.00,0.71,0.05,0.00,0.95,29.15,0.04,86.00,0.77,0.19,0.00,0.86,16.62,0.02,21.00,0.42,0.19,0.00,0.90,56.63,0.09,31.00,0.46,0.06,0.00,0.90,40.36,-0.01,52.00,0.53,0.06,0.00,0.97,37.35,0.04,34
,17536,"Spaun, J.J.",0.81,0.09,0.00,0.95,20.24,0.04,344.00,0.71,0.07,0.00,0.94,29.18,0.03,456.00,0.90,0.11,0.00,0.94,15.01,0.07,85.00,0.43,0.10,0.00,0.99,61.86,0.08,136.00,0.52,0.06,0.00,0.96,42.40,0.05,238.00,0.61,0.03,0.00,0.96,34.16,0.03,128
,17780,"Pendrith, Taylor",0.81,0.06,0.00,0.94,22.44,0.00,323.00,0.73,0.05,0.00,0.95,30.07,0.03,366.00,0.82,0.11,0.00,0.95,19.40,-0.04,93.00,0.37,0.08,0.00,0.96,62.38,0.04,134.00,0.44,0.05,0.00,0.97,47.24,-0.02,203.00,0.57,0.06,0.00,0.94,38.68,0.02,144
,21891,"Kitayama, Kurt",0.79,0.10,0.00,0.93,21.09,0.03,258.00,0.70,0.05,0.00,0.95,29.67,0.03,328.00,0.81,0.09,0.00,0.93,16.89,0.02,86.00,0.31,0.05,0.00,0.97,59.70,0.01,109.00,0.47,0.07,0.00,0.97,38.32,0.05,164.00,0.56,0.09,0.00,0.94,39.20,0.02,141
,22833,"Echavarria, Nico",0.76,0.06,0.00,0.91,22.77,-0.04,244.00,0.72,0.06,0.00,0.95,28.90,0.03,398.00,0.79,0.06,0.00,0.91,17.79,-0.05,84.00,0.35,0.06,0.00,0.95,58.77,0.01,116.00,0.43,0.04,0.00,0.95,46.32,-0.02,199.00,0.63,0.11,0.00,0.94,34.04,0.05,108
,25157,"Hodges, Lee",0.83,0.04,0.00,0.96,21.83,0.01,226.00,0.71,0.06,0.00,0.97,29.86,0.03,312.00,0.84,0.10,0.00,0.98,17.63,-0.01,63.00,0.34,0.02,0.00,0.97,54.86,-0.01,93.00,0.53,0.09,0.00,0.98,42.57,0.07,166.00,0.53,0.09,0.00,0.95,35.97,0.03,106
,14578,"Henley, Russell",0.85,0.08,0.00,0.96,19.62,0.04,295.00,0.76,0.04,0.00,0.96,29.22,0.03,410.00,0.83,0.14,0.00,0.93,13.16,0.10,87.00,0.34,0.04,0.00,0.99,56.63,0.04,99.00,0.49,0.08,0.00,0.96,40.85,0.07,221.00,0.60,0.13,0.00,0.95,36.48,0.07,85
,12577,"Woodland, Gary",0.76,0.06,0.00,0.92,22.96,-0.01,262.00,0.68,0.06,0.00,0.96,29.70,0.03,387.00,0.87,0.09,0.00,0.93,17.96,-0.01,103.00,0.37,0.08,0.00,0.95,56.76,0.04,128.00,0.56,0.06,0.00,0.95,41.44,0.06,180.00,0.53,0.06,0.00,0.94,37.68,-0.01,143
,21074,"Nakajima, Keita",,,,,,,,0.75,0.06,1.00,0.98,30.46,0.03,50.00,,,,,,,,,,,,,,,0.54,0.03,1.00,1.00,43.65,0.07,32.00,0.63,0.11,0.00,1.00,34.34,0.03,18
,23602,"Hojgaard, Nicolai",0.76,0.07,0.00,0.93,21.84,-0.03,148.00,0.73,0.08,0.00,0.97,30.34,0.03,264.00,0.88,0.10,0.00,0.98,15.27,0.07,50.00,0.35,0.09,0.00,0.94,56.35,0.01,106.00,0.55,0.04,0.00,0.98,39.75,0.06,130.00,0.64,0.04,0.00,0.90,37.45,0.02,81
,24342,"Higgo, Garrick",0.80,0.04,0.00,0.94,22.34,-0.02,96.00,0.67,0.09,0.00,0.95,31.75,0.03,117.00,0.88,0.05,0.00,0.96,18.19,-0.04,44.00,0.38,0.07,0.00,0.91,66.24,-0.01,46.00,0.48,0.03,0.00,0.94,42.57,-0.02,71.00,0.51,0.05,0.00,0.92,38.88,-0.02,78
,21756,"Cole, Eric",0.80,0.07,0.00,0.94,20.01,0.04,296.00,0.67,0.06,0.00,0.94,29.16,0.03,443.00,0.82,0.12,0.00,0.93,15.78,0.06,90.00,0.30,0.04,0.00,0.97,63.38,-0.02,160.00,0.44,0.05,0.00,0.94,46.65,-0.02,219.00,0.53,0.09,0.00,0.94,35.27,0.04,193
,27820,"Pak, John",0.84,0.08,0.00,0.94,21.15,0.04,198.00,0.69,0.06,0.00,0.95,29.40,0.03,276.00,0.84,0.06,0.00,0.94,17.63,-0.01,68.00,0.27,0.06,0.00,0.99,58.02,0.02,82.00,0.48,0.04,0.00,0.94,44.53,-0.01,143.00,0.49,0.10,0.00,0.89,40.05,-0.06,79
