,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,dg_id,player_name,am,event_name,course_name,course,early_late,pga_number,current_round,start_hole,r1_teetime,r2_teetime,r3_teetime,r4_teetime,unofficial
,15473,"Long, Adam",0,The American Express,,,1,35449,1,1,2026-01-22 9:03,2026-01-23 8:30,2026-01-24 10:20,,1899-12-30 0:00
,17723,"Lower, Justin",0,The American Express,,,,40162,1,10,2026-01-22 9:58,2026-01-23 9:25,2026-01-24 8:52,,1899-12-30 0:00
,23323,"MacIntyre, Robert",0,The American Express,,,,52215,1,10,2026-01-22 9:47,2026-01-23 9:14,2026-01-24 8:41,,1899-12-30 0:00
,14926,"Malnati, Peter",0,The American Express,,,,34466,1,10,2026-01-22 9:36,2026-01-23 9:03,2026-01-24 8:30,,1899-12-30 0:00
,19870,"McCarthy, Denny",0,The American Express,,,,47993,1,1,2026-01-22 9:36,2026-01-23 9:03,2026-01-24 8:30,,1899-12-30 0:00
,28635,"McCarty, Matt",0,The American Express,,,,59141,1,10,2026-01-22 10:09,2026-01-23 9:36,2026-01-24 9:03,,1899-12-30 0:00
,23505,"McGreevy, Max",0,The American Express,,,,51950,1,10,2026-01-22 10:20,2026-01-23 9:47,2026-01-24 9:14,,1899-12-30 0:00
,28159,"Meissner, Mac",0,The American Express,,,1,59143,1,10,2026-01-22 8:30,2026-01-23 10:20,2026-01-24 9:47,,1899-12-30 0:00
,17365,"Mitchell, Keith",0,The American Express,,,,39546,1,1,2026-01-22 10:20,2026-01-23 9:47,2026-01-24 9:14,,1899-12-30 0:00
,21944,"Moore, Taylor",0,The American Express,,,1,49947,1,1,2026-01-22 9:03,2026-01-23 8:30,2026-01-24 10:20,,1899-12-30 0:00
,29770,"Mouw, William",0,The American Express,,,,63121,1,10,2026-01-22 10:09,2026-01-23 9:36,2026-01-24 9:03,,1899-12-30 0:00
,21074,"Nakajima, Keita",0,The American Express,,,,49228,1,1,2026-01-22 10:42,2026-01-23 10:09,2026-01-24 9:36,,1899-12-30 0:00
,10419,"Noren, Alex",0,The American Express,,,,27349,1,1,2026-01-22 10:09,2026-01-23 9:36,2026-01-24 9:03,,1899-12-30 0:00
,23475,"Novak, Andrew",0,The American Express,,,1,51997,1,10,2026-01-22 9:14,2026-01-23 8:41,2026-01-24 10:31,,1899-12-30 0:00
,25475,"Nyholm, Pontus",0,The American Express,,,1,55851,1,1,2026-01-22 8:52,2026-01-23 10:42,2026-01-24 10:09,,1899-12-30 0:00
,13764,"Parry, John",0,The American Express,,,1,28723,1,10,2026-01-22 9:25,2026-01-23 8:52,2026-01-24 10:42,,1899-12-30 0:00
,19960,"Pavon, Matthieu",0,The American Express,,,1,48153,1,1,2026-01-22 9:14,2026-01-23 8:41,2026-01-24 10:31,,1899-12-30 0:00
,17780,"Pendrith, Taylor",0,The American Express,,,,40250,1,10,2026-01-22 10:31,2026-01-23 9:58,2026-01-24 9:25,,1899-12-30 0:00
,27164,"Phillips, Chandler",0,The American Express,,,,57900,1,1,2026-01-22 10:20,2026-01-23 9:47,2026-01-24 9:14,,1899-12-30 0:00
,21554,"Poston, J.T.",0,The American Express,,,1,49771,1,10,2026-01-22 9:14,2026-01-23 8:41,2026-01-24 10:31,,1899-12-30 0:00
,27900,"Potgieter, Aldrich",0,The American Express,,,1,63343,1,1,2026-01-22 8:41,2026-01-23 10:31,2026-01-24 9:58,,1899-12-30 0:00
,10104,"Power, Seamus",0,The American Express,,,1,28252,1,1,2026-01-22 9:03,2026-01-23 8:30,2026-01-24 10:20,,1899-12-30 0:00
,14704,"Putnam, Andrew",0,The American Express,,,,34256,1,10,2026-01-22 10:20,2026-01-23 9:47,2026-01-24 9:14,,1899-12-30 0:00
,19840,"Ramey, Chad",0,The American Express,,,,47983,1,1,2026-01-22 9:36,2026-01-23 9:03,2026-01-24 8:30,,1899-12-30 0:00
