,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,dg_id,player_name,am,event_name,course_name,course,early_late,pga_number,current_round,start_hole,r1_teetime,r2_teetime,r3_teetime,r4_teetime,unofficial
,17576,"Conners, Corey",0,WM Phoenix Open,,,,39997,1,1,2026-02-05 12:00,2026-02-06 7:20,,,0
,28309,"Coody, Pierceson",0,WM Phoenix Open,,,1,59836,1,10,2026-02-05 7:31,2026-02-06 12:11,,,0
,14509,"Dahmen, Joel",0,WM Phoenix Open,,,,34076,1,1,2026-02-05 12:22,2026-02-06 7:42,,,0
,17786,"Davis, Cam",0,WM Phoenix Open,,,,45157,1,10,2026-02-05 12:55,2026-02-06 8:15,,,0
,16757,"Dou, Zecheng",0,WM Phoenix Open,,,1,37338,1,10,2026-02-05 8:48,2026-02-06 13:28,,,0
,22002,"Dumont De Chassart, Adrien",0,WM Phoenix Open,,,,50497,1,1,2026-02-05 13:39,2026-02-06 8:59,,,0
,22833,"Echavarria, Nico",0,WM Phoenix Open,,,,51349,1,10,2026-02-05 13:06,2026-02-06 8:26,,,0
,26653,"Eckroat, Austin",0,WM Phoenix Open,,,,57362,1,1,2026-02-05 13:17,2026-02-06 8:37,,,0
,14577,"English, Harris",0,WM Phoenix Open,,,1,34099,1,1,2026-02-05 8:15,2026-02-06 12:55,,,0
,21883,"Ewart, A.J.",0,WM Phoenix Open,,,1,50286,1,10,2026-02-05 8:48,2026-02-06 13:28,,,0
,11676,"Finau, Tony",0,WM Phoenix Open,,,1,29725,1,10,2026-02-05 8:26,2026-02-06 13:06,,,0
,17646,"Fitzpatrick, Matt",0,WM Phoenix Open,,,1,40098,1,10,2026-02-05 8:04,2026-02-06 12:44,,,0
,12965,"Fowler, Rickie",0,WM Phoenix Open,,,,32102,1,1,2026-02-05 12:55,2026-02-06 8:15,,,0
,11889,"Fox, Ryan",0,WM Phoenix Open,,,1,29936,1,1,2026-02-05 8:04,2026-02-06 12:44,,,0
,11451,"Garnett, Brice",0,WM Phoenix Open,,,1,29535,1,10,2026-02-05 7:42,2026-02-06 12:22,,,0
,28016,"Gonzalez, Emilio",0,WM Phoenix Open,,,,59567,1,1,2026-02-05 13:28,2026-02-06 8:48,,,0
,27774,"Gotterup, Chris",0,WM Phoenix Open,,,1,59095,1,10,2026-02-05 8:15,2026-02-06 12:55,,,0
,23465,"Greyserman, Max",0,WM Phoenix Open,,,1,51977,1,10,2026-02-05 7:31,2026-02-06 12:11,,,0
,24968,"Griffin, Ben",0,WM Phoenix Open,,,1,54591,1,10,2026-02-05 8:04,2026-02-06 12:44,,,0
,12808,"Grillo, Emiliano",0,WM Phoenix Open,,,,31646,1,10,2026-02-05 12:00,2026-02-06 7:20,,,0
,27194,"Hall, Harry",0,WM Phoenix Open,,,,57975,1,10,2026-02-05 12:44,2026-02-06 8:04,,,0
,8825,"Harman, Brian",0,WM Phoenix Open,,,1,27644,1,1,2026-02-05 8:15,2026-02-06 12:55,,,0
,24342,"Higgo, Garrick",0,WM Phoenix Open,,,,54421,1,10,2026-02-05 13:06,2026-02-06 8:26,,,0
,28469,"Highsmith, Joe",0,WM Phoenix Open,,,1,60067,1,1,2026-02-05 8:26,2026-02-06 13:06,,,0
,20954,"Hirata, Kensei",0,WM Phoenix Open,,,1,49120,1,1,2026-02-05 8:59,2026-02-06 13:39,,,0
,22760,"Hisatsune, Ryo",0,WM Phoenix Open,,,1,51287,1,10,2026-02-05 7:20,2026-02-06 12:00,,,0
,23504,"Hoey, Rico",0,WM Phoenix Open,,,,51696,1,10,2026-02-05 12:00,2026-02-06 7:20,,,0
,5768,"Hoffman, Charley",0,WM Phoenix Open,,,,12716,1,1,2026-02-05 13:17,2026-02-06 8:37,,,0
,15575,"Hoge, Tom",0,WM Phoenix Open,,,1,35532,1,1,2026-02-05 8:48,2026-02-06 13:28,,,0
,23602,"Hojgaard, Nicolai",0,WM Phoenix Open,,,1,52453,1,10,2026-02-05 7:31,2026-02-06 12:11,,,0
,23838,"Hojgaard, Rasmus",0,WM Phoenix Open,,,1,52686,1,1,2026-02-05 7:20,2026-02-06 12:00,,,0
,17538,"Homa, Max",0,WM Phoenix Open,,,,39977,1,1,2026-02-05 12:22,2026-02-06 7:42,,,0
,11276,"Horschel, Billy",0,WM Phoenix Open,,,,29420,1,1,2026-02-05 13:06,2026-02-06 8:26,,,0
,18841,"Hovland, Viktor",0,WM Phoenix Open,,,,46717,1,1,2026-02-05 12:33,2026-02-06 7:53,,,0
,16333,"Hubbard, Mark",0,WM Phoenix Open,,,1,36801,1,10,2026-02-05 7:42,2026-02-06 12:22,,,0
,15556,"Hughes, Mackenzie",0,WM Phoenix Open,,,1,35506,1,10,2026-02-05 7:20,2026-02-06 12:00,,,0
,16394,"Jaeger, Stephan",0,WM Phoenix Open,,,,36799,1,10,2026-02-05 12:33,2026-02-06 7:53,,,0
,19729,"Kanaya, Takumi",0,WM Phoenix Open,,,,47917,1,10,2026-02-05 12:00,2026-02-06 7:20,,,0
,21889,"Kang, Jeffrey",0,WM Phoenix Open,,,,47393,1,10,2026-02-05 13:50,2026-02-06 9:10,,,0
,32457,"Keefer, Johnny",0,WM Phoenix Open,,,,63454,1,10,2026-02-05 13:17,2026-02-06 8:37,,,0
,17543,"Kim, Michael",0,WM Phoenix Open,,,1,39975,1,1,2026-02-05 7:42,2026-02-06 12:22,,,0
,21688,"Kim, S.H.",0,WM Phoenix Open,,,,50188,1,10,2026-02-05 12:11,2026-02-06 7:31,,,0
,14609,"Kim, Si Woo",0,WM Phoenix Open,,,,37455,1,1,2026-02-05 12:55,2026-02-06 8:15,,,0
,24766,"Kim, Tom",0,WM Phoenix Open,,,,55182,1,1,2026-02-05 12:11,2026-02-06 7:31,,,0
,12423,"Kirk, Chris",0,WM Phoenix Open,,,1,30926,1,1,2026-02-05 7:53,2026-02-06 12:33,,,0
,21891,"Kitayama, Kurt",0,WM Phoenix Open,,,1,48117,1,1,2026-02-05 8:26,2026-02-06 13:06,,,0
,13470,"Kizzire, Patton",0,WM Phoenix Open,,,1,32757,1,1,2026-02-05 7:31,2026-02-06 12:11,,,0
,19396,"Knapp, Jake",0,WM Phoenix Open,,,1,47420,1,1,2026-02-05 7:53,2026-02-06 12:33,,,0
,16243,"Koepka, Brooks",0,WM Phoenix Open,,,,36689,1,1,2026-02-05 12:44,2026-02-06 8:04,,,0
,24343,"Lamprecht, Christo",0,WM Phoenix Open,,,,54422,1,10,2026-02-05 13:39,2026-02-06 8:59,,,0
,21943,"Lebioda, Hank",0,WM Phoenix Open,,,,49766,1,10,2026-02-05 13:17,2026-02-06 8:37,,,0
,16841,"Lee, Min Woo",0,WM Phoenix Open,,,,37378,1,1,2026-02-05 12:55,2026-02-06 8:15,,,0
,16162,"Lee, S.T.",0,WM Phoenix Open,,,1,36529,1,10,2026-02-05 8:59,2026-02-06 13:39,,,0
,15310,"Li, Haotong",0,WM Phoenix Open,,,,35296,1,1,2026-02-05 13:39,2026-02-06 8:59,,,0
,14926,"Malnati, Peter",0,WM Phoenix Open,,,1,34466,1,10,2026-02-05 8:37,2026-02-06 13:17,,,0
,13562,"Matsuyama, Hideki",0,WM Phoenix Open,,,,32839,1,1,2026-02-05 12:33,2026-02-06 7:53,,,0
