"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"⚠️ Missed model by 15","13412","Olesen, Thorbjorn",75,60,"","-0.599","","284.504","","56.13%","","0.287","","0.344","","-0.206","","0.149","","-0.762","","64.44%","","57.16%","","3.343","","3.679","","71.782","","31.128","","57.301","","81.50%","","1.098","","14.932","","89.80%","","-0.054","","25.072","","53.10%","","0.306","","44.194","","25.60%","","-0.720","","60.543","","74.00%","","0.684","","28.711","","75.00%","","2.682","","36.516"
"⚠️ Missed model by 12","28635","McCarty, Matt",75,63,"","-0.398","","287.600","","60.08%","","-1.204","","-0.571","","-0.483","","-0.152","","0.710","","54.35%","","61.35%","","3.130","","4.489","","72.054","","31.282","","64.538","","94.80%","","1.116","","14.193","","74.00%","","-0.846","","24.759","","55.20%","","0.036","","37.466","","31.70%","","0.126","","58.424","","66.50%","","0.684","","27.929","","42.40%","","-1.026","","44.695"
"⚠️ Missed model by 10","14792","Saddier, Adrien",75,65,"","-1.124","","289.787","","62.15%","","-0.535","","-0.942","","0.045","","0.362","","-0.042","","66.54%","","68.28%","","2.597","","3.696","","71.619","","31.549","","49.329","","91.70%","","-0.540","","15.651","","79.60%","","-0.198","","21.877","","63.80%","","-1.098","","37.533","","36.50%","","0.126","","64.947","","60.10%","","-0.738","","32.688","","32.60%","","-1.674","","44.767"
"≈ Near model (-6)","18554","Rai, Aaron",75,69,"","-0.552","","279.297","","71.95%","","0.275","","-0.367","","0.082","","0.561","","-0.676","","69.03%","","57.09%","","2.422","","3.769","","71.581","","33.825","","59.889","","56.90%","","-3.978","","27.385","","87.50%","","0.702","","21.037","","64.50%","","-1.656","","44.302","","32.60%","","-0.882","","67.762","","82.60%","","1.692","","30.063","","41.20%","","-0.576","","42.237"
"≈ Near model (-5)","13997","Svensson, Adam",75,70,"","0.204","","280.598","","64.00%","","-0.257","","0.228","","-0.191","","-0.294","","-1.018","","67.72%","","52.21%","","3.316","","4.297","","70.397","","28.614","","59.678","","99.00%","","-1.170","","23.956","","68.10%","","-1.260","","17.281","","43.10%","","1.638","","31.930","","40.40%","","0.630","","69.997","","62.10%","","0.414","","28.997","","45.70%","","1.602","","39.060"
"≈ Near model (-3)","25475","Nyholm, Pontus",75,72,"","0.602","","300.015","","49.21%","","-0.615","","0.113","","-0.188","","-0.540","","0.520","","68.05%","","61.29%","","3.071","","3.435","","69.898","","33.304","","59.845","","98.30%","","2.160","","14.550","","79.70%","","1.098","","19.115","","50.10%","","-2.358","","48.886","","42.60%","","0.324","","64.968","","57.80%","","-2.502","","43.052","","54.40%","","-1.278","","45.624"
"","22087","Paul, Jeremy",75,73,"","0.314","","291.081","","49.94%","","-0.993","","-0.200","","0.049","","-0.841","","0.171","","73.12%","","57.63%","","3.110","","4.930","","70.286","","35.373","","47.654","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"","21944","Moore, Taylor",75,74,"","-0.218","","293.835","","55.34%","","-0.203","","-0.266","","-0.337","","0.401","","-0.058","","58.68%","","63.52%","","3.249","","4.461","","72.125","","31.509","","72.265","","86.30%","","0.666","","16.398","","67.30%","","-0.954","","23.295","","45.30%","","-0.576","","44.526","","34.40%","","0.288","","67.885","","69.70%","","-0.288","","30.784","","47.40%","","0.198","","45.013"
"","19477","Schenk, Adam",75,77,"","-1.184","","287.920","","51.86%","","-0.295","","-0.932","","0.864","","-0.228","","-0.881","","57.21%","","62.29%","","3.398","","4.357","","72.322","","32.834","","72.464","","86.00%","","-0.702","","17.321","","63.60%","","-1.908","","24.914","","54.80%","","-0.684","","41.030","","27.20%","","-0.954","","67.406","","67.10%","","-0.432","","33.105","","61.20%","","0.216","","48.623"
"≈ Near model (+3)","12920","Willett, Danny",75,78,"","-0.561","","277.093","","56.83%","","-2.355","","-1.651","","-0.216","","-0.487","","0.638","","63.79%","","53.75%","","3.237","","4.270","","71.272","","34.351","","53.971","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 10","6169","Kuchar, Matt",75,85,"","-0.381","","275.514","","69.05%","","-0.486","","-0.271","","0.031","","-0.246","","0.378","","64.19%","","72.94%","","3.034","","2.886","","70.764","","29.856","","49.645","","79.90%","","-3.456","","23.880","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","37.80%","","-1.134","","73.192","","57.40%","","-3.114","","36.257","","0.00%","","0.000","","0.000"
"✅ Beat model by 11","13965","Hadwin, Adam",75,86,"","0.216","","292.489","","61.65%","","-0.873","","-0.233","","-0.785","","0.145","","-0.191","","67.66%","","56.67%","","2.095","","3.651","","70.250","","29.364","","60.809","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 12","16341","Peterson, Paul",75,87,"","1.657","","265.142","","72.65%","","-1.171","","0.632","","0.065","","-1.868","","-0.173","","68.00%","","69.39%","","2.453","","3.619","","68.708","","26.346","","45.447","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 13","12426","Waring, Paul",75,88,"","-1.433","","293.927","","54.25%","","-1.126","","-0.291","","-0.729","","-0.099","","0.280","","64.87%","","64.02%","","2.299","","4.750","","72.023","","30.813","","49.742","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 14","26657","Fisk, Steven",75,89,"","-0.555","","289.719","","58.30%","","-0.632","","-0.427","","0.024","","-0.228","","0.058","","63.05%","","68.12%","","2.458","","3.491","","72.057","","31.638","","53.500","","67.90%","","-1.602","","21.765","","80.40%","","-0.270","","22.106","","57.00%","","-0.792","","43.036","","35.60%","","-1.206","","65.635","","64.90%","","-0.162","","31.826","","45.90%","","0.198","","40.029"
"✅ Beat model by 16","15610","Guthrie, Luke",75,91,"","-1.674","","284.284","","54.94%","","-1.305","","0.007","","0.586","","-1.897","","-0.468","","61.15%","","53.47%","","2.860","","6.017","","72.348","","33.672","","34.085","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 17","21407","Reitan, Kristoffer",75,92,"","-0.456","","292.925","","60.36%","","-0.828","","-1.312","","0.149","","0.335","","0.355","","62.44%","","59.51%","","4.001","","4.642","","72.033","","37.964","","57.632","","70.20%","","-2.844","","21.849","","77.40%","","-0.954","","23.840","","53.70%","","-0.036","","38.247","","38.90%","","0.234","","69.698","","71.70%","","-0.702","","32.051","","39.50%","","-1.656","","46.963"
"✅ Beat model by 19","17550","Van Rooyen, Erik",75,94,"","-1.210","","296.414","","60.14%","","-1.572","","-1.630","","-0.455","","0.513","","0.477","","57.17%","","50.90%","","3.596","","4.188","","72.779","","36.824","","55.905","","89.00%","","-0.504","","18.404","","78.70%","","-1.008","","27.306","","44.40%","","-1.818","","46.441","","41.70%","","1.764","","49.172","","56.00%","","-2.016","","35.888","","24.80%","","-3.276","","50.909"
"✅ Beat model by 22","28323","Koch, Greg",75,97,"","-5.580","","281.191","","59.75%","","-3.436","","-3.036","","0.251","","-0.650","","-1.685","","44.50%","","47.96%","","2.181","","7.468","","77.249","","41.337","","91.423","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 24","28469","Highsmith, Joe",75,99,"","-0.592","","289.128","","50.25%","","-0.595","","0.384","","-0.005","","-0.974","","0.075","","59.67%","","69.91%","","3.612","","4.851","","72.091","","27.944","","101.085","","78.60%","","-0.342","","18.983","","77.70%","","0.882","","20.320","","58.30%","","-1.404","","42.496","","33.50%","","-0.684","","68.711","","63.50%","","-0.846","","30.821","","47.10%","","0.774","","40.932"
"✅ Beat model by 27","28270","Dunlap, Nick",75,102,"","-2.042","","282.258","","42.76%","","-2.263","","-0.539","","-0.339","","-1.385","","0.131","","64.02%","","65.27%","","2.879","","3.660","","72.406","","29.831","","69.563","","87.70%","","1.602","","13.356","","82.90%","","2.448","","15.190","","46.20%","","-2.016","","33.358","","47.20%","","0.432","","78.846","","65.40%","","-0.954","","30.290","","0.00%","","0.000","","0.000"
"✅ Beat model by 30","29279","Suber, Jackson",75,105,"","-1.838","","295.600","","46.60%","","-1.315","","-0.478","","-0.374","","-0.462","","-0.581","","64.53%","","69.36%","","2.855","","4.623","","72.409","","30.145","","48.737","","63.20%","","-4.302","","28.419","","78.30%","","0.324","","20.516","","57.30%","","0.540","","37.020","","58.00%","","2.736","","47.669","","68.00%","","0.198","","28.971","","36.30%","","-2.574","","43.792"
"✅ Beat model by 31","30814","Sargent, Gordon",75,106,"","0.246","","308.863","","59.07%","","-1.187","","-1.565","","0.042","","0.335","","-0.016","","72.12%","","55.92%","","2.618","","3.360","","70.337","","34.276","","68.367","","90.60%","","0.090","","20.338","","0.00%","","0.000","","0.000","","57.40%","","-2.538","","57.338","","9.10%","","-2.790","","79.980","","72.90%","","-2.070","","34.913","","49.50%","","-0.054","","45.894"
"✅ Beat model by 34","32055","Shipley, Neal",75,109,"","-1.351","","296.601","","60.66%","","-0.798","","-0.957","","-0.274","","0.417","","-0.546","","61.29%","","55.77%","","2.729","","4.236","","72.119","","31.280","","76.941","","87.30%","","-0.450","","20.930","","74.90%","","-1.368","","24.421","","41.90%","","-1.890","","44.101","","14.50%","","-3.096","","78.447","","57.50%","","-0.234","","31.269","","59.40%","","1.872","","40.357"
"✅ Beat model by 35","14926","Malnati, Peter",75,110,"","0.068","","290.586","","49.88%","","-1.361","","-0.861","","0.111","","-0.611","","0.434","","64.97%","","60.30%","","2.999","","4.441","","70.614","","37.277","","58.395","","0.00%","","0.000","","0.000","","79.60%","","-0.342","","20.176","","48.00%","","-2.232","","32.982","","14.90%","","-2.340","","73.036","","61.80%","","-1.008","","38.879","","30.90%","","-2.682","","47.137"
"✅ Beat model by 38","24968","Griffin, Ben",75,113,"","-0.989","","282.556","","57.94%","","-1.736","","-0.520","","-0.011","","-1.205","","0.677","","56.62%","","71.32%","","2.588","","4.699","","72.420","","34.011","","121.797","","79.00%","","-1.242","","15.827","","81.60%","","-0.252","","21.412","","57.60%","","-0.828","","45.818","","37.90%","","0.792","","64.454","","64.60%","","-1.062","","33.586","","49.20%","","-0.612","","50.375"
"✅ Beat model by 39","29197","Brennan, Michael",75,114,"","-0.999","","301.986","","58.18%","","-0.264","","0.533","","-0.507","","-0.289","","-1.014","","61.02%","","53.84%","","4.309","","6.164","","72.674","","30.918","","60.456","","86.20%","","2.484","","13.039","","82.30%","","0.180","","22.960","","59.70%","","-0.504","","39.727","","27.90%","","1.368","","49.925","","53.60%","","-0.846","","33.411","","40.60%","","0.540","","37.630"
"✅ Beat model by 40","18628","Campbell, Brian",75,115,"","-1.671","","274.043","","60.00%","","-1.171","","0.014","","-0.241","","-0.945","","-0.434","","56.10%","","63.40%","","2.693","","4.515","","73.171","","32.151","","73.974","","83.00%","","-0.180","","16.443","","77.10%","","-0.180","","25.684","","59.20%","","-1.908","","39.017","","11.40%","","-2.826","","73.807","","59.00%","","-0.180","","28.243","","47.10%","","0.090","","46.804"
"✅ Beat model by 42","16333","Hubbard, Mark",75,117,"","-0.837","","281.030","","58.04%","","-0.850","","0.000","","-0.241","","-0.608","","-0.432","","59.18%","","65.42%","","2.909","","4.313","","72.257","","33.150","","51.554","","80.80%","","-2.430","","21.838","","84.30%","","0.018","","22.119","","53.80%","","-0.126","","40.509","","31.70%","","-2.070","","65.543","","66.60%","","-0.288","","31.906","","48.50%","","0.414","","38.017"
"✅ Beat model by 45","16591","Rozo, Marcelo",75,120,"","-1.935","","281.476","","56.93%","","-0.532","","-0.249","","0.022","","-0.304","","-2.195","","64.94%","","49.32%","","2.480","","5.538","","72.671","","32.058","","61.665","","85.10%","","2.358","","14.541","","82.10%","","-1.440","","24.094","","56.90%","","0.018","","31.041","","34.80%","","-1.530","","68.452","","66.30%","","-0.306","","32.572","","47.00%","","0.738","","42.763"
"✅ Beat model by 46","5768","Hoffman, Charley",75,121,"","-1.656","","295.794","","54.85%","","-0.819","","-0.451","","-0.553","","0.184","","-1.054","","60.59%","","53.38%","","2.543","","4.679","","72.525","","31.732","","55.271","","87.50%","","-0.216","","18.162","","0.00%","","0.000","","0.000","","54.90%","","1.170","","46.816","","23.10%","","-1.854","","61.297","","67.40%","","0.540","","29.156","","25.90%","","-2.862","","49.740"
"✅ Beat model by 49","21889","Kang, Jeffrey",75,124,"","-1.631","","289.033","","38.99%","","-1.620","","-0.140","","0.387","","-1.867","","-0.415","","56.79%","","58.76%","","2.514","","4.581","","72.515","","35.493","","43.031","","99.00%","","0.324","","16.673","","78.00%","","-0.756","","22.143","","56.70%","","1.710","","29.853","","42.00%","","1.260","","40.106","","67.60%","","0.486","","29.784","","7.10%","","-3.438","","63.499"
"✅ Beat model by 51","17786","Davis, Cam",75,126,"","-3.046","","283.645","","53.62%","","-2.103","","-1.250","","0.020","","-0.873","","-0.920","","56.52%","","58.81%","","2.550","","5.204","","74.448","","34.568","","64.659","","100.00%","","-0.972","","19.233","","81.10%","","-0.216","","21.020","","61.70%","","1.062","","36.293","","19.90%","","-1.350","","59.797","","65.40%","","-0.504","","31.346","","48.70%","","-2.268","","49.649"
"✅ Beat model by 52","24342","Higgo, Garrick",75,127,"","-2.003","","288.396","","58.69%","","-1.310","","-0.804","","-0.524","","0.018","","-0.741","","59.66%","","57.34%","","2.943","","4.691","","73.202","","34.504","","63.796","","71.50%","","-1.332","","18.382","","83.20%","","-0.234","","22.932","","39.60%","","-2.160","","40.042","","24.60%","","-1.242","","66.560","","59.80%","","-0.432","","33.605","","44.80%","","0.270","","41.323"
"✅ Beat model by 55","12909","Campos, Rafael",75,130,"","-0.252","","292.745","","53.78%","","-2.050","","-0.667","","-1.013","","-0.370","","-0.429","","64.92%","","50.28%","","3.076","","6.130","","70.897","","32.449","","49.567","","88.90%","","-0.468","","17.896","","76.90%","","-0.540","","24.335","","47.80%","","-0.972","","35.911","","45.10%","","0.846","","60.942","","74.20%","","0.558","","31.445","","30.80%","","-3.060","","52.416"
"✅ Beat model by 56","19872","Riley, Davis",75,131,"","-3.556","","290.444","","45.45%","","-3.669","","-0.841","","-0.313","","-2.515","","-0.411","","57.85%","","59.62%","","3.289","","6.825","","75.084","","34.408","","58.707","","76.30%","","-1.062","","18.913","","88.90%","","0.756","","18.318","","48.20%","","-1.908","","46.796","","34.10%","","0.324","","73.610","","66.60%","","-1.044","","35.511","","41.50%","","-0.936","","59.454"
