"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Beat model by 38 | ⚠️ Success despite model prediction","25003","Walker, Danny",18,56,"","-0.665","","295.310","","44.18%","","-0.702","","-0.149","","0.338","","-0.932","","0.114","","62.76%","","63.79%","","3.299","","4.128","","72.393","","31.807","","69.155","","85.90%","","-0.216","","17.813","","76.30%","","0.900","","23.079","","55.80%","","0.090","","41.403","","33.50%","","-0.090","","60.275","","58.70%","","-0.378","","32.447","","47.30%","","-1.224","","43.178"
"✅ Beat model by 58 | ⚠️ Success despite model prediction","24956","Blanchet, Chandler",18,76,"","1.056","","284.450","","68.82%","","0.048","","0.638","","-0.593","","0.003","","-1.436","","70.80%","","53.86%","","2.834","","5.072","","69.660","","30.620","","66.855","","77.60%","","0.846","","17.186","","98.80%","","3.474","","14.593","","38.90%","","-2.502","","37.999","","8.10%","","-5.814","","102.529","","64.10%","","-0.270","","33.745","","77.20%","","4.986","","29.356"
"✅ Beat model by 66 | ⚠️ Success despite model prediction","11676","Finau, Tony",18,84,"","-1.370","","290.466","","49.73%","","-0.968","","-0.470","","0.044","","-0.542","","-0.477","","59.88%","","63.26%","","3.351","","6.222","","72.773","","30.270","","51.774","","85.70%","","-0.378","","18.656","","74.60%","","-1.278","","24.487","","46.80%","","-1.800","","43.923","","39.40%","","0.108","","58.225","","68.90%","","0.558","","28.956","","40.40%","","0.450","","41.871"
"✅ Beat model by 78 | ⚠️ Success despite model prediction","8820","Snedeker, Brandt",18,96,"","-0.946","","271.627","","69.60%","","-0.516","","-0.736","","0.606","","-0.386","","-0.348","","64.43%","","64.62%","","2.466","","3.276","","71.584","","30.884","","59.039","","64.90%","","-4.680","","30.457","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","22.40%","","-0.774","","81.606","","55.20%","","-2.646","","34.835","","0.00%","","0.000","","0.000"
"✅ Beat model by 85 | ⚠️ Success despite model prediction","25157","Hodges, Lee",18,103,"","-1.194","","287.408","","68.33%","","-1.127","","-0.742","","-0.874","","0.490","","0.095","","61.90%","","64.77%","","3.274","","3.755","","72.720","","31.607","","55.530","","78.20%","","-1.242","","19.271","","87.70%","","0.180","","20.186","","44.40%","","-2.268","","43.956","","8.40%","","-3.204","","69.943","","75.20%","","0.468","","30.986","","51.20%","","0.450","","46.827"
"✅ Beat model by 15","22002","Dumont De Chassart, Adrien",26,41,"","0.464","","298.899","","54.49%","","0.434","","0.321","","0.169","","-0.057","","-0.195","","66.23%","","67.31%","","4.470","","3.259","","70.016","","30.524","","53.602","","86.30%","","-0.774","","18.917","","77.40%","","-1.116","","23.221","","31.20%","","-0.648","","38.635","","24.50%","","0.180","","71.913","","75.90%","","1.116","","26.310","","42.20%","","-0.756","","42.007"
"✅ Beat model by 36","23504","Hoey, Rico",26,62,"","-1.072","","293.906","","66.77%","","-1.143","","-0.590","","-1.189","","0.637","","0.058","","57.80%","","57.58%","","3.418","","4.603","","72.774","","32.743","","49.770","","93.00%","","-0.450","","17.132","","72.20%","","-2.034","","24.989","","61.00%","","0.576","","31.239","","29.20%","","0.018","","54.149","","64.70%","","0.684","","29.548","","57.30%","","1.674","","39.112"
"✅ Beat model by 93","19870","McCarthy, Denny",26,119,"","-2.017","","279.637","","59.27%","","-1.326","","-0.187","","-0.141","","-0.999","","-0.574","","59.78%","","57.18%","","2.868","","4.828","","73.442","","32.155","","59.078","","89.00%","","0.054","","17.871","","83.70%","","0.450","","19.829","","59.90%","","-0.054","","35.320","","37.80%","","0.090","","69.404","","69.60%","","-0.702","","34.669","","38.70%","","-1.350","","45.198"
"✅ Beat model by 96","25002","Wu, Dylan",26,122,"","-0.457","","286.074","","54.92%","","-0.477","","-0.045","","-0.025","","-0.408","","-0.453","","72.16%","","53.86%","","2.631","","3.625","","70.904","","32.148","","51.043","","89.00%","","0.396","","16.454","","84.40%","","0.468","","21.557","","65.00%","","2.196","","32.310","","29.00%","","-1.458","","74.615","","68.10%","","-0.486","","35.545","","45.80%","","-0.468","","41.849"
"⚠️ Missed model by 21 | ❌ Underperformed model prediction","22760","Hisatsune, Ryo",30,9,"","1.066","","290.968","","59.07%","","1.864","","0.750","","0.559","","0.555","","-0.838","","74.26%","","63.26%","","2.568","","3.692","","70.738","","32.265","","50.570","","86.70%","","-1.584","","20.015","","89.10%","","0.126","","20.347","","70.20%","","1.548","","31.109","","36.40%","","0.630","","60.987","","72.70%","","0.666","","31.442","","54.40%","","1.422","","44.779"
