Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
36,5087463253,alassiter91 (2/3),0,302.84998,G Ludvig Aberg G Matt Fitzpatrick G Cameron Young G Akshay Bhatia G Corey Conners G Ryo Hisatsune,,J.J. Spaun,G,5.73%,29.85
37,5087347028,cantfademe (63/150),0,302.05002,G Xander Schauffele G Matt Fitzpatrick G Min Woo Lee G Brooks Koepka G Ryan Gerard G Michael Thorbjornsen,,Michael Thorbjornsen,G,5.56%,62.7
38,5087260219,pv43eee (57/76),0,301.95,G Ludvig Aberg G Matt Fitzpatrick G Cameron Young G Maverick McNealy G Jordan Spieth G J.T. Poston,,Max Homa,G,5.13%,33.7
39,5087347038,cantfademe (73/150),0,301.9,G Ludvig Aberg G Cameron Young G Jake Knapp G Min Woo Lee G Brooks Koepka G Michael Thorbjornsen,,Nicolai Hojgaard,G,4.82%,23.5
40,5087221565,tomQ5150,0,301.7,G Russell Henley G Ludvig Aberg G Cameron Young G Min Woo Lee G Corey Conners G Ryo Hisatsune,,Bud Cauley,G,4.72%,21.35
40,5087416259,emitchell412 (4/4),0,301.7,G Si Woo Kim G Ludvig Aberg G Matt Fitzpatrick G Alex Noren G Corey Conners G Michael Thorbjornsen,,Kurt Kitayama,G,4.28%,19
42,5087435934,millsat (2/14),0,301.1,G Xander Schauffele G Ludvig Aberg G Cameron Young G Jacob Bridgeman G Wyndham Clark G John Keefer,,Lucas Glover,G,4.12%,16.9
43,5087458460,Vikings_Nate (123/150),0,300.94998,G Ludvig Aberg G Viktor Hovland G Min Woo Lee G Jacob Bridgeman G Ryan Gerard G Corey Conners,,Michael Brennan,G,3.96%,25.4
44,5087370659,dodgerplayer89 (13/20),0,300.75,G Xander Schauffele G Russell Henley G Ludvig Aberg G Maverick McNealy G Corey Conners G Alex Smalley,,Taylor Pendrith,G,3.94%,41.7
45,5087347110,cantfademe (145/150),0,299.6,G Si Woo Kim G Ludvig Aberg G Matt Fitzpatrick G Corey Conners G Michael Thorbjornsen G Matthew McCarty,,Matthew McCarty,G,3.73%,32
46,5087264827,csurunnerccr (70/150),0,298.94998,G Tommy Fleetwood G Ludvig Aberg G Min Woo Lee G Daniel Berger G Corey Conners G Michael Thorbjornsen,,Jordan Spieth,G,3.69%,53.05
47,5087483804,rounder88 (4/6),0,298.85,G Ludvig Aberg G Matt Fitzpatrick G Akshay Bhatia G Jacob Bridgeman G Justin Thomas G Corey Conners,,Taylor Moore,G,3.54%,21.15
48,5087107103,ckk-244ayk (113/150),0,298.6,G Xander Schauffele G Ludvig Aberg G Min Woo Lee G Sepp Straka G Harris English G Michael Thorbjornsen,,Keith Mitchell,G,3.52%,49
49,5087401887,gtack,0,298.25,G Xander Schauffele G Cameron Young G Jacob Bridgeman G Sepp Straka G Justin Thomas G Corey Conners,,Hao-Tong Li,G,3.52%,24.45
50,5087249684,bkiesow,0,298.15,G Tommy Fleetwood G Ludvig Aberg G Cameron Young G Justin Thomas G Jordan Spieth G Patrick Rodgers,,Jason Day,G,3.49%,40.5
51,5087478402,rickybobby6526 (2/3),0,298,G Xander Schauffele G Ludvig Aberg G Matt Fitzpatrick G Ben Griffin G Corey Conners G Ryo Hisatsune,,Lee Hodges,G,3.46%,32.2
52,5087391349,habrye21 (3/4),0,297.9,G Russell Henley G Ludvig Aberg G Jacob Bridgeman G Justin Rose G Jason Day G Corey Conners,,Shane Lowry,G,3.41%,27.5
53,5087411827,larry702 (2/5),0,297.7,G Tommy Fleetwood G Ludvig Aberg G Matt Fitzpatrick G Sepp Straka G Corey Conners G Keith Mitchell,,Sungjae Im,G,3.37%,30.8
53,5087426293,4t9erz (3/4),0,297.69998,G Tommy Fleetwood G Ludvig Aberg G Cameron Young G Jason Day G Corey Conners G Patrick Rodgers,,Justin Rose,G,3.36%,45.9
55,5087428908,icrushgolfbets (5/5),0,297.65,G Xander Schauffele G Ludvig Aberg G Viktor Hovland G Corey Conners G J.J. Spaun G Wyndham Clark,,Ryo Hisatsune,G,3.29%,46.65
56,5087352429,SoCalHusker (1/2),0,297.5,G Tommy Fleetwood G Ludvig Aberg G Cameron Young G Brooks Koepka G Michael Thorbjornsen G Michael Brennan,,Alex Smalley,G,3.28%,38.35
57,5087387532,sneuman (44/150),0,297.45,G Xander Schauffele G Russell Henley G Ludvig Aberg G Rickie Fowler G Corey Conners G Alex Smalley,,Max Greyserman,G,3.19%,2.75
58,5087451948,BobLawrence,0,296.9,G Ludvig Aberg G Cameron Young G Akshay Bhatia G Jacob Bridgeman G Sepp Straka G Corey Conners,,Mac Meissner,G,3.17%,23.5
59,5087103279,rwebb2205 (7/10),0,296.75,G Tommy Fleetwood G Xander Schauffele G Ludvig Aberg G Harris English G Brian Harman G Lee Hodges,,Rasmus Hojgaard,G,2.83%,31.8
60,5087442190,FlutieFlakes84 (2/2),0,296.69998,G Ludvig Aberg G Cameron Young G Min Woo Lee G Jacob Bridgeman G Brooks Koepka G Jason Day,,Kristoffer Reitan,G,2.73%,32.2
61,5087387539,sneuman (51/150),0,296.55,G Xander Schauffele G Ludvig Aberg G Sepp Straka G Justin Thomas G Corey Conners G Tony Finau,,Nicolas Echavarria,G,2.57%,35.3
61,5087452444,kasper1221,0,296.55,G Tommy Fleetwood G Ludvig Aberg G Jacob Bridgeman G Maverick McNealy G Justin Thomas G Corey Conners,,Max McGreevy,G,2.51%,33.95
61,5087468900,BlitznRay (2/9),0,296.55,G Xander Schauffele G Ludvig Aberg G Cameron Young G Brooks Koepka G Rasmus Hojgaard G Matthew McCarty,,Patrick Rodgers,G,2.44%,37.4
64,5087321772,xmastime (2/25),0,296.5,G Xander Schauffele G Ludvig Aberg G Cameron Young G Corey Conners G J.J. Spaun G Ricky Castillo,,Aaron Rai,G,2.32%,25.45
64,5087435799,bckarkehutchins,0,296.5,G Xander Schauffele G Ludvig Aberg G Cameron Young G Adam Scott G Sahith Theegala G Corey Conners,,Pierceson Coody,G,2.30%,1.85
64,5087451279,Shonore (3/5),0,296.5,G Xander Schauffele G Ludvig Aberg G Cameron Young G Adam Scott G Sahith Theegala G Corey Conners,,Davis Thompson,G,1.89%,22.1
64,5087466415,Bkraft1122 (3/4),0,296.5,G Ludvig Aberg G Viktor Hovland G Cameron Young G Jacob Bridgeman G Corey Conners G Max Homa,,Joel Dahmen,G,1.69%,25.6
68,5087336213,raiders72317 (9/10),0,296.15,G Ludvig Aberg G Viktor Hovland G Matt Fitzpatrick G Cameron Young G Ryo Hisatsune G Keith Mitchell,,Sam Burns,G,1.57%,47.85
69,5087467155,gjeffes,0,296.05,G Xander Schauffele G Ludvig Aberg G Cameron Young G Rickie Fowler G Corey Conners G Davis Thompson,,Harry Hall,G,1.56%,32.95
70,5087431066,nsqlee (5/10),0,295.9,G Xander Schauffele G Ludvig Aberg G Matt Fitzpatrick G Corey Conners G J.J. Spaun G Denny McCarthy,,Matti Schmid,G,1.50%,28.7
71,5087264900,csurunnerccr (143/150),0,295.8,G Tommy Fleetwood G Ludvig Aberg G Matt Fitzpatrick G Ryan Gerard G Corey Conners G Nick Taylor,,J.T. Poston,G,1.48%,50.75
72,5087349151,cptnspaulding (132/150),0,295.75,G Xander Schauffele G Ludvig Aberg G Patrick Cantlay G Maverick McNealy G Ryan Gerard G Jordan Spieth,,Aldrich Potgieter,G,1.42%,11.45
73,5087427414,DraftMasterFlex (8/15),0,295.69998,G Ludvig Aberg G Cameron Young G Min Woo Lee G Jacob Bridgeman G Alex Noren G Jordan Spieth,,Seamus Power,G,1.41%,28.9
74,5087389063,shawkennkm (2/2),0,295.55002,G Xander Schauffele G Ludvig Aberg G Cameron Young G Brooks Koepka G J.J. Spaun G Sam Stevens,,Wyndham Clark,G,1.40%,37.4
75,5087264775,csurunnerccr (18/150),0,295.35,G Xander Schauffele G Ludvig Aberg G Matt Fitzpatrick G Harris English G Corey Conners G Nick Taylor,,Nick Taylor,G,1.35%,36.45
75,5087456388,mbenson,0,295.34998,G Ludvig Aberg G Matt Fitzpatrick G Jake Knapp G Justin Rose G Brooks Koepka G Corey Conners,,Andrew Putnam,G,1.34%,29.85
77,5087387490,sneuman (2/150),0,295.3,G Xander Schauffele G Ludvig Aberg G Rickie Fowler G Sepp Straka G Maverick McNealy G Corey Conners,,Sam Stevens,G,1.30%,32.95
78,5087387617,sneuman (129/150),0,295.15,G Tommy Fleetwood G Xander Schauffele G Ludvig Aberg G Sahith Theegala G Corey Conners G Alex Smalley,,Danny Walker,G,1.24%,21.15
79,5087175236,ItsDrakeo (111/150),0,295,G Russell Henley G Ludvig Aberg G Cameron Young G Min Woo Lee G Brian Harman G Matthew McCarty,,William Mouw,G,1.20%,30.8
79,5087475905,macataca (96/100),0,295,G Xander Schauffele G Ludvig Aberg G Matt Fitzpatrick G Justin Rose G Ryan Gerard G Hao-Tong Li,,Brian Harman,G,1.04%,66
79,5087481318,y2jammo (3/3),0,295,G Tommy Fleetwood G Ludvig Aberg G Brooks Koepka G Rickie Fowler G Justin Thomas G Corey Conners,,Eric Cole,G,0.99%,28.7
82,5087445114,beaker913 (17/150),0,294.84998,G Si Woo Kim G Xander Schauffele G Ludvig Aberg G Justin Thomas G Matthew McCarty G Keith Mitchell,,Tom Hoge,G,0.90%,14.8
83,5087349070,cptnspaulding (51/150),0,294.80002,G Russell Henley G Ludvig Aberg G Matt Fitzpatrick G Adam Scott G Jordan Spieth G Michael Thorbjornsen,,Chris Kirk,G,0.84%,23.25
83,5087087621,nini10 (1/2),0,294.8,G Xander Schauffele G Ludvig Aberg G Viktor Hovland G Justin Thomas G J.J. Spaun G Ryo Hisatsune,,Mackenzie Hughes,G,0.81%,13.6
85,5087387588,sneuman (100/150),0,294.6,G Tommy Fleetwood G Ludvig Aberg G Cameron Young G Sepp Straka G Corey Conners G Alex Smalley,,Sudarshan Yellamaraju,G,0.72%,32
86,5087445118,beaker913 (21/150),0,294.55,G Xander Schauffele G Ludvig Aberg G Jake Knapp G Min Woo Lee G Jordan Spieth G Nick Taylor,,John Keefer,G,0.71%,32.7
87,5087451912,base3ballmom (12/20),0,294.19998,G Xander Schauffele G Ludvig Aberg G Jake Knapp G Daniel Berger G Justin Thomas G Corey Conners,,Rico Hoey,G,0.69%,45.7
88,5087471669,CrystalWontons (2/5),0,294.15,G Xander Schauffele G Ludvig Aberg G Jacob Bridgeman G Rickie Fowler G Nicolai Hojgaard G Corey Conners,,Chad Ramey,G,0.68%,40.7
89,5087387513,sneuman (25/150),0,294,G Xander Schauffele G Ludvig Aberg G Cameron Young G Sepp Straka G Maverick McNealy G Alex Smalley,,Zecheng Dou,G,0.68%,23.25
89,5087441279,STP_Picks (2/2),0,294,G Xander Schauffele G Ludvig Aberg G Cameron Young G Jacob Bridgeman G Rickie Fowler G Lee Hodges,,Thorbjorn Olesen,G,0.68%,40.3
91,5087245420,jsf900 (137/150),0,293.85,G Hideki Matsuyama G Ludvig Aberg G Akshay Bhatia G Justin Thomas G Ryan Gerard G Michael Thorbjornsen,,Zachary Bauchou,G,0.59%,29.85
92,5087483145,Fantasy.Soto (4/4),0,293.8,G Xander Schauffele G Ludvig Aberg G Cameron Young G Min Woo Lee G Sepp Straka G Sudarshan Yellamaraju,,Takumi Kanaya,G,0.56%,30.8
93,5087477486,craftylefty (39/40),0,293.65002,G Xander Schauffele G Russell Henley G Ludvig Aberg G Ryan Gerard G Michael Thorbjornsen G Christiaan Bezuidenhout,,Michael Kim,G,0.55%,4.9
93,5087427879,Rtaam15,0,293.65,G Xander Schauffele G Russell Henley G Ludvig Aberg G Sepp Straka G Corey Conners G Austin Smotherman,,Keegan Bradley,G,0.55%,54.45
95,5087393718,jymmy8,0,293.5,G Xander Schauffele G Ludvig Aberg G Chris Gotterup G Justin Thomas G Jason Day G Taylor Pendrith,,Mark Hubbard,G,0.54%,16.65
96,5087469990,jlz7576,0,293.05,G Xander Schauffele G Ludvig Aberg G Cameron Young G Sepp Straka G Maverick McNealy G Patrick Rodgers,,Jordan L. Smith,G,0.54%,24.65
97,5087265234,dfs_ads (6/150),0,292.95,G Xander Schauffele G Chris Gotterup G Maverick McNealy G Justin Thomas G Corey Conners G Michael Thorbjornsen,,Matthieu Pavon,G,0.52%,22.55
98,5087348618,youngbc107 (2/2),0,292.55,G Xander Schauffele G Cameron Young G Min Woo Lee G Jacob Bridgeman G Sepp Straka G Corey Conners,,Jhonattan Vegas,G,0.44%,32.95
99,5087411759,jonesn34 (1/4),0,292.45,G Tommy Fleetwood G Xander Schauffele G Justin Rose G Justin Thomas G Jason Day G Corey Conners,,Kevin Roy,G,0.43%,34.1
99,5087434211,xmastime (11/25),0,292.45,G Xander Schauffele G Ludvig Aberg G Sepp Straka G Corey Conners G J.J. Spaun G Lee Hodges,,Sami Valimaki,G,0.38%,20.4
101,5087384019,Scotiapup,0,292.4,G Xander Schauffele G Ludvig Aberg G Akshay Bhatia G Jacob Bridgeman G J.J. Spaun G Ryo Hisatsune,,Garrick Higgo,G,0.38%,17.85
101,5087459544,JudyBootyMuniz (2/2),0,292.4,G Xander Schauffele G Ludvig Aberg G Akshay Bhatia G Jacob Bridgeman G J.J. Spaun G Ryo Hisatsune,,Denny McCarthy,G,0.36%,30.45
103,5087347059,cantfademe (94/150),0,292.3,G Si Woo Kim G Ludvig Aberg G Cameron Young G Brooks Koepka G Corey Conners G Kristoffer Reitan,,Kevin Yu,G,0.36%,17.9
104,5087170228,SamJF,0,292.25,G Xander Schauffele G Ludvig Aberg G Viktor Hovland G Sahith Theegala G Michael Thorbjornsen G Max Homa,,Gary Woodland,G,0.36%,27.75
105,5087260179,pv43eee (17/76),0,292.2,G Xander Schauffele G Ludvig Aberg G Akshay Bhatia G Daniel Berger G Alex Noren G Michael Thorbjornsen,,Joe Highsmith,G,0.30%,19
105,5087441945,Cowojtys (1/3),0,292.2,G Ludvig Aberg G Matt Fitzpatrick G Cameron Young G Min Woo Lee G Corey Conners G J.J. Spaun,,Andrew Novak,G,0.29%,21.15
107,5087480888,CecPetes,0,292.05,G Ludvig Aberg G Viktor Hovland G Min Woo Lee G Brooks Koepka G Sepp Straka G Corey Conners,,Brian Campbell,G,0.27%,25.6
108,5087349128,cptnspaulding (109/150),0,292,G Xander Schauffele G Ludvig Aberg G Cameron Young G Kurt Kitayama G Corey Conners G J.J. Spaun,,Marco Penge,G,0.26%,15.95
108,5087415243,Skibasher (19/150),0,292,G Xander Schauffele G Ludvig Aberg G Patrick Cantlay G Alex Noren G Corey Conners G Alex Smalley,,Chandler Phillips,G,0.25%,10.3
110,5087448978,tpranio61,0,291.95,G Russell Henley G Ludvig Aberg G Viktor Hovland G Cameron Young G Corey Conners G Chad Ramey,,David Ford,G,0.24%,28.9
111,5087458955,tkoblow (87/150),0,291.7,G Russell Henley G Ludvig Aberg G Cameron Young G Min Woo Lee G Michael Thorbjornsen G Matthew McCarty,,Adam Schenk,G,0.23%,38.35
111,5087483156,bonedog84 (16/30),0,291.69998,G Ludvig Aberg G Matt Fitzpatrick G Akshay Bhatia G Maverick McNealy G Justin Thomas G Michael Thorbjornsen,,A.J. Ewart,G,0.22%,19
113,5087141030,Qlounge (5/6),0,291.65,G Xander Schauffele G Ludvig Aberg G Cameron Young G Jacob Bridgeman G Rickie Fowler G Andrew Putnam,,Seonghyeon Kim,G,0.22%,21.35
113,5087329764,Chass55,0,291.65,G Xander Schauffele G Ludvig Aberg G Cameron Young G Jacob Bridgeman G Rickie Fowler G Andrew Putnam,,Vince Whaley,G,0.21%,29.85
115,5087158919,dr00pd0g (135/150),0,291.5,G Russell Henley G Ludvig Aberg G Cameron Young G Justin Thomas G Ryan Gerard G Taylor Pendrith,,Cameron Davis,G,0.13%,37.45
115,5087454241,HBRIVERCATS,0,291.5,G Ludvig Aberg G Matt Fitzpatrick G Cameron Young G Jacob Bridgeman G Sahith Theegala G Corey Conners,,Emiliano Grillo,G,0.13%,16.95
117,5087267802,EljefeO,0,291.25,G Ludvig Aberg G Cameron Young G Akshay Bhatia G Jacob Bridgeman G Rickie Fowler G Corey Conners,,Patton Kizzire,G,0.12%,28.9
117,5087470585,philroffi (4/5),0,291.25,G Xander Schauffele G Ludvig Aberg G Robert MacIntyre G Daniel Berger G Alex Noren G Brian Harman,,Karl Vilips,G,0.09%,13.65
119,5087382880,109stairs (104/150),0,291.19998,G Ludvig Aberg G Matt Fitzpatrick G Cameron Young G Maverick McNealy G Justin Thomas G Ryan Gerard,,Davis Riley,G,0.09%,8.2
120,5087425918,jacobstubbs (3/3),0,291.15,G Tommy Fleetwood G Russell Henley G Ludvig Aberg G Corey Conners G Michael Thorbjornsen G Ricky Castillo,,Steven Fisk,G,0.08%,33.15
121,5087107043,ckk-244ayk (53/150),0,291,G Xander Schauffele G Ludvig Aberg G Matt Fitzpatrick G Sepp Straka G Nicolas Echavarria G Taylor Pendrith,,Stephan Jaeger,G,0.08%,35.1
122,5087469062,byrnemichael21 (16/48),0,290.55002,G Tommy Fleetwood G Ludvig Aberg G Cameron Young G Maverick McNealy G Brian Harman G Matti Schmid,,Erik Van Rooyen,G,0.04%,35.3
123,5087467276,moroney_tommy,0,290.5,G Xander Schauffele G Ludvig Aberg G Robert MacIntyre G Cameron Young G Ryo Hisatsune G Austin Smotherman,,,
124,5087346996,cantfademe (31/150),0,290.3,G Russell Henley G Ludvig Aberg G Akshay Bhatia G Min Woo Lee G Michael Thorbjornsen G Rico Hoey,,,
125,5087350630,JPB2014 (21/150),0,290.15,G Si Woo Kim G Ludvig Aberg G Akshay Bhatia G Maverick McNealy G Brian Harman G J.T. Poston,,,
126,5087422938,DraftMasterFlex (1/15),0,290.09998,G Ludvig Aberg G Cameron Young G Min Woo Lee G Jacob Bridgeman G Nicolai Hojgaard G Corey Conners,,,
127,5087107080,ckk-244ayk (90/150),0,290,G Xander Schauffele G Ludvig Aberg G Cameron Young G Sepp Straka G Nick Taylor G Matthew McCarty,,,
128,5087405284,youngster201,0,289.75,G Xander Schauffele G Ludvig Aberg G Cameron Young G Jacob Bridgeman G Patrick Rodgers G Bud Cauley,,,
129,5087346968,cantfademe (3/150),0,289.55002,G Tommy Fleetwood G Xander Schauffele G Justin Rose G Ryan Gerard G Michael Thorbjornsen G Rasmus Hojgaard,,,
130,5087387619,sneuman (131/150),0,289.4,G Ludvig Aberg G Matt Fitzpatrick G Sepp Straka G Maverick McNealy G Justin Thomas G Corey Conners,,,
130,5087445139,beaker913 (42/150),0,289.4,G Xander Schauffele G Ludvig Aberg G Viktor Hovland G Akshay Bhatia G Keith Mitchell G Max McGreevy,,,
132,5087299128,mjRunner01,0,289.35,G Ludvig Aberg G Matt Fitzpatrick G Cameron Young G Rickie Fowler G Sepp Straka G Corey Conners,,,
132,5087072125,Realdealseal26,0,289.34998,G Xander Schauffele G Ludvig Aberg G Cameron Young G Maverick McNealy G Sahith Theegala G Ryo Hisatsune,,,
134,5087380595,wildcat2674,0,289.3,G Tommy Fleetwood G Xander Schauffele G Cameron Young G Jacob Bridgeman G Corey Conners G Kevin Roy,,,
135,5087142207,Trizzo67,0,289.2,G Hideki Matsuyama G Ludvig Aberg G Cameron Young G Brooks Koepka G Jordan Spieth G Nicolas Echavarria,,,
136,5087390872,joshua.denis,0,289.15,G Xander Schauffele G Ludvig Aberg G Cameron Young G Min Woo Lee G Adam Scott G Max McGreevy,,,
136,5087475362,Eazy2breezy23 (2/2),0,289.15,G Si Woo Kim G Ludvig Aberg G Cameron Young G Michael Thorbjornsen G Max Homa G Alex Smalley,,,
138,5087175185,ItsDrakeo (60/150),0,289,G Tommy Fleetwood G Ludvig Aberg G Cameron Young G Ryan Gerard G Corey Conners G Davis Thompson,,,
138,5087405634,atrain00 (10/50),0,289,G Tommy Fleetwood G Ludvig Aberg G Cameron Young G Ryan Gerard G Corey Conners G Davis Thompson,,,
138,5087470902,promomma1,0,289,G Tommy Fleetwood G Xander Schauffele G Ludvig Aberg G Sahith Theegala G Corey Conners G Lee Hodges,,,
141,5087347065,cantfademe (100/150),0,288.74997,G Xander Schauffele G Ludvig Aberg G Jake Knapp G Maverick McNealy G Corey Conners G Rasmus Hojgaard,,,
142,5087370666,dodgerplayer89 (20/20),0,288.59998,G Xander Schauffele G Ludvig Aberg G Matt Fitzpatrick G Cameron Young G Ricky Castillo G Alex Smalley,,,
143,5087347031,cantfademe (66/150),0,288.45,G Xander Schauffele G Russell Henley G Ludvig Aberg G Harris English G Michael Thorbjornsen G Kristoffer Reitan,,,
144,5087355508,BoangTao33 (127/150),0,288.4,G Tommy Fleetwood G Matt Fitzpatrick G Cameron Young G Corey Conners G Keegan Bradley G Rico Hoey,,,
