Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
50,5086831285,kylhub10 (7/8),0,258.5,G Hideki Matsuyama G Chris Gotterup G Ludvig Aberg G Ben Griffin G Max Homa G Tony Finau,,Thorbjorn Olesen,G,3.59%,7
51,5086064497,phil66150,0,258.45,G Tommy Fleetwood G Hideki Matsuyama G Brooks Koepka G Maverick McNealy G Sahith Theegala G Nicolai Hojgaard,,Ryan Fox,G,3.44%,0
52,5086206972,cptnspaulding (128/150),0,258.3,G Xander Schauffele G Ludvig Aberg G Akshay Bhatia G Sepp Straka G Maverick McNealy G J.J. Spaun,,Mac Meissner,G,3.42%,25.6
53,5085458545,OrangeJuiced (94/150),0,258.19998,G Chris Gotterup G Ludvig Aberg G Min Woo Lee G Maverick McNealy G Justin Thomas G Max Homa,,Hao-Tong Li,G,3.40%,25.4
53,5086816512,kl1717 (5/8),0,258.19998,G Chris Gotterup G Ludvig Aberg G Russell Henley G Ben Griffin G Sepp Straka G Max Greyserman,,Ryo Hisatsune,G,3.27%,34.1
55,5086261216,EHulseDC (97/150),0,258.1,G Xander Schauffele G Ludvig Aberg G Russell Henley G Sepp Straka G Nicolai Hojgaard G Bud Cauley,,Nicolas Echavarria,G,3.18%,22.3
56,5086586179,fullerf54 (1/2),0,258.05002,G Tommy Fleetwood G Robert MacIntyre G Jake Knapp G Sepp Straka G Justin Thomas G Sahith Theegala,,Justin Rose,G,3.05%,29.85
57,5086322185,salatso22 (30/41),0,257.85,G Scottie Scheffler G Maverick McNealy G Sahith Theegala G Max Homa G Lucas Glover G Max Greyserman,,Sam Burns,G,2.91%,16.9
58,5086029904,JWheel73 (1/10),0,257.44998,G Tommy Fleetwood G Ludvig Aberg G Viktor Hovland G Maverick McNealy G Nicolai Hojgaard G Ricky Castillo,,Joel Dahmen,G,2.78%,11.45
59,5086357889,ARockyW,0,257.4,G Tommy Fleetwood G Russell Henley G Matt Fitzpatrick G Maverick McNealy G Harris English G Bud Cauley,,Nick Taylor,G,2.74%,25.65
60,5085895756,Firedog50 (61/150),0,257.3,G Xander Schauffele G Russell Henley G Cameron Young G Sepp Straka G Maverick McNealy G Kurt Kitayama,,Max McGreevy,G,2.73%,33.9
61,5085680686,csurunnerccr (90/150),0,257.15,G Tommy Fleetwood G Russell Henley G Matt Fitzpatrick G Maverick McNealy G J.J. Spaun G Alex Noren,,Mackenzie Hughes,G,2.69%,24.25
62,5086313165,themtbackfield (3/5),0,257.1,G Xander Schauffele G Chris Gotterup G Cameron Young G Min Woo Lee G Sepp Straka G Austin Smotherman,,Justin Thomas,G,2.67%,50.9
